Name:		2015-06-03_rute_310174_KV_B_Midtbyen
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	3820
#Nodes:		514
#Edges:		446
#Arcs:		209
#Required N:	0
#Required E:	97
#Required A:	16

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E146132989	3820	11012	6146	55.8783918348867	55.8783918348867
E146133552	8199	11002	4062	36.9284947105803	36.9284947105803
E146133553	11002	5686	4520	41.093825044977	41.093825044977
E146133554	5686	9650	4469	40.6293948454113	40.6293948454113
E146133876	11014	11007	8853	80.4861345355695	80.4861345355695
E146134492	7980	3830	10360	94.1831877098147	94.1831877098147
E146134493	3830	5686	8117	73.7917336690273	73.7917336690273
E146134494	5686	5692	5254	47.7722962026948	47.7722962026948
E146135759	8066	11002	8584	78.0425829851592	78.0425829851592
E146136892	11019	6906	6080	55.2740078706372	55.2740078706372
E146138342	3828	914	969	8.81081721445168	8.81081721445168
E146138343	3828	5669	12018	109.258667043497	109.258667043497
E240551660	3841	20686	6533	54.4494070522412	54.4494070522412
E146134153	9660	9472	14701	133.649088517506	133.649088517506
E146136916	11016	9653	5575	50.6887046224124	50.6887046224124
E146133604	11005	7227	3600	32.7350436464979	32.7350436464979
E146134227	9652	3829	11608	96.7373739603456	96.7373739603456
E146134228	3829	11006	6811	56.7632511832989	56.7632511832989
E146136061	3551	3549	4472	40.6619622520026	40.6619622520026
E146137744	3551	1403	5355	48.6833172444197	48.6833172444197
E146148844	6912	11675	3302	27.5192708964628	27.5192708964628
E200425255	9455	8522	3794	34.4980057495476	34.4980057495476
E245609102	7404	21228	925	8.40948273037246	8.40948273037246
E30007	6900	2842	220	2	2
E30008	295	7867	220	2	2
E146135458	293	4486	4950	45.0089178154267	45.0089178154267
E146135460	8427	4565	6469	58.817054210416	58.817054210416
E200425266	292	20059	6430	58.4570146303982	58.4570146303982
E245609098	9741	9739	4144	37.6793131789531	37.6793131789531
E245626969	8518	9585	8836	80.3293221809135	80.3293221809135
E146134528	3836	11005	9244	84.0429381356439	84.0429381356439
E146132701	6869	9081	1535	13.9589761283329	13.9589761283329
E146132875	6906	6899	416	3.7828185397474	3.7828185397474
E323096223	6904	3352	3107	28.2540952944026	28.2540952944026
E146138050	2841	11672	5100	46.3685191231622	46.3685191231622
E146134503	6499	6910	8932	81.2002562978876	81.2002562978876
E323096222	7404	6904	1442	13.1172701645795	13.1172701645795
E200425265	292	20058	2591	23.5596116335247	23.5596116335247
E146132703	11526	21780	6724	61.1344964130645	61.1344964130645
E146132702	9081	11526	5307	48.2516673500886	48.2516673500886
E146136748	12054	9578	3158	28.7181715522696	28.7181715522696
E146135150	3352	9585	8315	75.5998750802324	75.5998750802324
E146132874	2808	6906	11433	103.939250091589	103.939250091589
E146134938	9580	11672	2519	22.9002958529683	22.9002958529683
E146136770	6895	6896	2881	26.1986992574166	26.1986992574166
E146151148	6004	21114	6273	52.2800633035408	52.2800633035408
E245609099	6418	6883	1187	10.7960826050433	10.7960826050433
E146135459	4486	8427	1055	9.59909285599501	9.59909285599501
E200425264	7868	9455	222	2.02247373042785	2.02247373042785
E245609097	9741	4565	466	4.24057779044494	4.24057779044494
E245626970	3246	8518	4367	39.7035262964674	39.7035262964674
E146137860	6976	9652	13639	113.659744454898	113.659744454898
E146139271	2817	21846	2112	19.207037329734	19.207037329734
E146136062	3549	22835	7729	70.2639332267664	70.2639332267664
E146137612	6893	12055	8665	78.7745928554796	78.7745928554796
E245609101	6499	21228	4067	36.975862966396	36.975862966396
E200425253	6900	9579	2772	25.2005734073059	25.2005734073059
E245609089	11672	12049	5754	52.3154623914818	52.3154623914818
E146133537	3246	9422	4063	36.9392869380681	36.9392869380681
E146138155	11550	6912	958	8.71707110618629	8.71707110618629
E146135454	9578	6884	8367	76.0662070786003	76.0662070786003
E200425261	6900	5994	7752	70.4759066440764	70.4759066440764
E200425262	9452	3101	4084	37.1338833567539	37.1338833567539
E146193965	11168	11171	308	2.80356688154303	2.80356688154303
E245604093	7149	12054	3590	32.6442364263453	32.6442364263453
E245609100	6418	6499	2937	26.7090449552341	26.7090449552341
E146136049	7868	21499	5684	51.681767853483	51.681767853483
E146137741	6898	3550	7215	65.5947617423652	65.5947617423652
E146134937	6872	9580	5544	50.4089272259278	50.4089272259278
E200425258	7867	9452	6559	59.6352822769602	59.6352822769602
E212379613	10311	11526	7482	68.0248079049032	68.0248079049032
E146138046	3352	6897	3218	29.25731675764	29.25731675764
E146138660	10926	22742	6123	55.6682450804866	55.6682450804866
E146137240	12054	6902	5623	51.1233417130645	51.1233417130645
E146138051	11672	6900	3590	32.6451603948653	32.6451603948653
E200425259	8521	9452	4196	38.1521910197977	38.1521910197977
E200425263	9455	20058	3773	34.3048885686297	34.3048885686297
E146132876	6899	11004	5482	49.8374846280702	49.8374846280702
E146135110	6877	10309	858	7.80897702345637	7.80897702345637
E146137613	12055	21114	2113	19.2114421640227	19.2114421640227
E146138049	11702	2841	3527	32.0675053676898	32.0675053676898
E245609090	12049	8569	1858	16.8928769986062	16.8928769986062
E146133603	11013	11005	3985	36.2307279478517	36.2307279478517
E245778140	6908	11673	7167	65.1567469536527	65.1567469536527
E146136917	9653	11168	14459	131.453982428287	131.453982428287
E146136771	6896	21312	6455	58.6860628706805	58.6860628706805
E146137742	3550	7377	5451	49.5547177908322	49.5547177908322
E146137743	7377	3551	5760	52.3645441552989	52.3645441552989
E146151149	2134	6004	1093	9.11456907437439	9.11456907437439
E146138052	2842	6894	6515	59.2353431784724	59.2353431784724
E146138472	10783	2841	4085	37.1402773490618	37.1402773490618
E146138473	2841	8284	7267	66.0673699719811	66.0673699719811
E146135457	297	293	1174	10.6810541482065	10.6810541482065
E146138702	8526	8516	5026	45.6964267457652	45.6964267457652
E146138703	8516	9450	3430	31.1862501565758	31.1862501565758
E107	22835	30001	1650	15	15
E108	21312	6892	1870	17	17

EDGE	FROM N.	TO N.	T. COST
NrE245435321	8993	8282	702
NrE146151174	3833	20683	5636
NrE146135169	6877	6871	4964
NrE587955082	8158	11426	1246
NrE146190770	6360	6687	1189
NrE146136311	4653	6893	6942
NrE276818324	186	12418	474
NrE146181192	10447	12348	3872
NrE480919588	6677	8275	1517
NrE255034994	162	116	2303
NrE146139249	525	11020	11877
NrE146135322	6888	6869	4470
NrE146137959	6897	3112	7565
NrE146195469	4567	140	5384
NrE146135187	6890	6880	4983
NrE200425256	5405	20056	239
NrE146133944	2785	3546	8189
NrE200425244	3101	22152	696
NrE146133119	2823	8517	4306
NrE200425251	8522	3112	7549
NrE587955084	8230	10687	413
NrE146136893	6899	21313	4552
NrE146150159	11625	9750	17869
NrE146135184	6875	2801	4838
NrE255034985	8263	21602	462
NrE146181218	154	327	13472
NrE146190760	3459	11671	827
NrE522201224	11152	5620	7015
NrE480919625	6910	8530	2674
NrE445524724	147	326	383
NrE146135182	6881	6875	748
NrE480919621	8204	8158	5030
NrE480919590	8281	21612	4962
NrE146136135	7562	4910	1450
NrE523405425	5691	21041	640
NrE146138814	9580	9579	3635
NrE146137245	7376	3549	6337
NrE146181200	174	171	5234
NrE255034996	9028	7564	2189
NrE146135193	2801	6887	1943
NrE146137957	6902	6907	11799
NrE245609108	1762	21992	1935
NrE146135321	11211	6888	7356
NrE486443018	10430	20064	3589
NrE146190761	11671	21111	8009
NrE146183964	828	750	7354
NrE146181211	5641	3806	760
NrE315659647	173	147	1833
NrE146181213	11510	164	5215
NrE146135190	7196	12050	5374
NrE146183955	12816	8195	1883
NrE245778208	9584	22277	1928
NrE146183944	10115	4114	6482
NrE146181188	1321	5405	1007
NrE486443053	327	20065	4
NrE480919591	8282	21612	254
NrE445524723	326	327	1401
NrE146136355	7539	12277	25531
NrE587955086	3843	9657	827
NrE146133567	11004	9660	487
NrE146193295	9649	3804	759
NrE146136060	291	20057	6647
NrE523405427	6680	20487	610
NrE255034991	139	20030	426
NrE146151096	7765	10113	1905
NrE146181193	12348	431	5333
NrE146181185	3112	11667	578
NrE245609105	9460	7791	19027
NrE146133498	8516	11716	6365
NrE146181227	10445	430	5988
NrE202478944	6903	297	1323
NrE480919620	8238	8204	9683
NrE146181191	10027	10447	2376
NrE255034981	8943	5487	6766
NrE481687766	2809	22109	7370
NrE146133810	8517	9422	7836
NrE146136312	6893	6876	11957
NrE255034988	9348	8281	2040
NrE146190774	12341	9028	2735
NrE202478942	6911	9585	2285
NrE200425247	1333	7562	4710
NrE146149315	8528	8266	7851
NrE146181201	171	20037	3263
NrE146183948	3834	1074	459
NrE146139206	8528	11625	8447
NrE523405430	4939	11920	683
NrE146181186	11667	7773	6281
NrE146181199	9334	174	4685
