Generation:	16	Best fitness:	436.0	Average fitness:	534.02	Fitness standard deviation:	50.957821774483264	Best genome:	A4	E11	E10	A2	N4	E2	E3	A11	E7	A8	A1	N2	N12	N3	A6	N11	E9	A10	N10	E4	A5	A9	N7	E6	E1	E5	A7	A3	E8	
Generation:	32	Best fitness:	425.0	Average fitness:	524.59	Fitness standard deviation:	37.055659486777444	Best genome:	A2	N4	E2	E3	A11	E7	A8	A1	N2	A3	N3	A6	N11	E9	A10	N10	E1	A5	A9	N7	E4	E6	E5	A7	N12	E8	A4	E11	E10	
Generation:	48	Best fitness:	406.0	Average fitness:	492.65	Fitness standard deviation:	46.306020126977	Best genome:	A2	N4	E2	E3	A11	E7	A8	A1	N2	N3	A6	N11	E9	A10	N10	E11	A9	A5	N12	A4	E8	A3	N7	E4	E6	E5	A7	E1	E10	
Generation:	64	Best fitness:	406.0	Average fitness:	509.73	Fitness standard deviation:	51.345468154453506	Best genome:	A2	N4	E2	E3	A11	E7	A8	A1	N2	N3	A6	N11	E9	A10	N10	E11	A9	A5	N12	A4	E8	A3	N7	E4	E6	E5	A7	E1	E10	
Generation:	80	Best fitness:	402.0	Average fitness:	508.4	Fitness standard deviation:	44.43962196058828	Best genome:	A2	N4	E2	E3	A11	E7	A8	A1	N2	N3	A6	N11	E9	A10	N10	E11	E5	A5	N12	A4	E8	A3	N7	E4	E6	A9	A7	E1	E10	
Generation:	96	Best fitness:	390.0	Average fitness:	481.63	Fitness standard deviation:	36.371872374129985	Best genome:	A2	N4	E2	E3	A11	E5	E9	N11	E7	A10	N10	E11	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E4	A9	E6	A7	E1	E10	
Generation:	112	Best fitness:	375.0	Average fitness:	453.27	Fitness standard deviation:	31.473117100153896	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	E11	A10	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E4	A9	E6	A7	E1	E10	
Generation:	128	Best fitness:	372.0	Average fitness:	513.58	Fitness standard deviation:	61.04935380493391	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	E11	A10	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	144	Best fitness:	369.0	Average fitness:	507.48	Fitness standard deviation:	55.09945190290009	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	160	Best fitness:	369.0	Average fitness:	501.54	Fitness standard deviation:	67.75712803831046	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	176	Best fitness:	369.0	Average fitness:	455.12	Fitness standard deviation:	32.064397702124396	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
