Generation:	16	Best fitness:	242.38503401360543	Average fitness:	333.2724625850341	Fitness standard deviation:	32.83530872554788	Best genome:	A9	A13	A16	N9	E4	A11	E5	A8	E3	A7	A14	A12	N12	A15	N3	N5	A6	N6	A10	N7	A17	
Generation:	32	Best fitness:	222.32789115646258	Average fitness:	329.2918911564626	Fitness standard deviation:	35.743205118781184	Best genome:	A16	N9	N12	E4	A11	E5	A8	A9	A6	N7	N5	N3	A12	A7	A14	N6	E3	A15	A17	A10	A13	
Generation:	48	Best fitness:	196.67074829931974	Average fitness:	323.1656054421768	Fitness standard deviation:	37.62447767730198	Best genome:	A9	N3	A7	A14	A12	A17	E4	E3	A15	A6	N7	N5	A10	N9	A13	A16	A11	N6	E5	N12	A8	
Generation:	64	Best fitness:	175.67074829931974	Average fitness:	319.36103401360543	Fitness standard deviation:	43.46840479977077	Best genome:	A9	N3	A7	A14	A12	A17	E4	E3	A15	A6	N7	N5	A11	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	80	Best fitness:	175.67074829931974	Average fitness:	324.30503401360556	Fitness standard deviation:	37.00951317304948	Best genome:	A9	N3	A7	A14	A12	A17	E4	E3	A15	A6	N7	N5	A11	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	96	Best fitness:	172.67074829931974	Average fitness:	336.51246258503414	Fitness standard deviation:	42.323441937883395	Best genome:	A9	N3	A7	A14	A12	A17	N7	A15	E3	E4	N5	A11	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	112	Best fitness:	172.67074829931974	Average fitness:	327.0610340136055	Fitness standard deviation:	35.55696165252571	Best genome:	A9	N3	A7	A14	A12	A17	N7	A15	E3	E4	N5	A11	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	128	Best fitness:	169.67074829931974	Average fitness:	324.6770340136055	Fitness standard deviation:	46.54190345072198	Best genome:	A9	N3	A7	A14	A12	A17	N7	A15	E4	N5	A11	E3	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	144	Best fitness:	168.67074829931974	Average fitness:	311.54674829931975	Fitness standard deviation:	48.05905809331188	Best genome:	A9	N3	A7	A14	A15	A17	N7	A12	E4	N5	A11	E3	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	160	Best fitness:	161.67074829931974	Average fitness:	314.78731972789114	Fitness standard deviation:	42.84624807806801	Best genome:	A9	N3	A7	A14	A15	A17	A12	N7	E4	N5	A11	E3	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	176	Best fitness:	161.67074829931974	Average fitness:	333.4490340136054	Fitness standard deviation:	53.562299430910635	Best genome:	A9	N3	A7	A14	A15	A17	A12	N7	E4	N5	A11	E3	A6	N9	A16	A13	E5	N6	A10	N12	A8	
Generation:	192	Best fitness:	143.67074829931974	Average fitness:	320.47817687074826	Fitness standard deviation:	50.39173330649238	Best genome:	A9	N3	A7	A14	A15	A17	A12	N7	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	208	Best fitness:	137.67074829931974	Average fitness:	326.9233197278913	Fitness standard deviation:	53.86630293000382	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	224	Best fitness:	137.67074829931974	Average fitness:	322.6278911564625	Fitness standard deviation:	53.400669337699185	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	240	Best fitness:	137.67074829931974	Average fitness:	310.43817687074846	Fitness standard deviation:	40.75439628620526	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	256	Best fitness:	137.67074829931974	Average fitness:	321.16960544217693	Fitness standard deviation:	45.057410347969466	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	272	Best fitness:	137.67074829931974	Average fitness:	319.64217687074836	Fitness standard deviation:	50.2357475777347	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	288	Best fitness:	137.67074829931974	Average fitness:	323.5581768707483	Fitness standard deviation:	44.32385801008255	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	304	Best fitness:	137.67074829931974	Average fitness:	320.73646258503413	Fitness standard deviation:	49.48381495860179	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	320	Best fitness:	137.67074829931974	Average fitness:	323.17074829931977	Fitness standard deviation:	48.2498887383723	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	336	Best fitness:	137.67074829931974	Average fitness:	326.1221768707483	Fitness standard deviation:	44.57193662714104	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	352	Best fitness:	137.67074829931974	Average fitness:	325.19703401360556	Fitness standard deviation:	45.2324785208909	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	368	Best fitness:	137.67074829931974	Average fitness:	318.0010340136054	Fitness standard deviation:	56.92611069354622	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	384	Best fitness:	137.67074829931974	Average fitness:	319.03131972789123	Fitness standard deviation:	47.35147809774069	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	400	Best fitness:	137.67074829931974	Average fitness:	320.3353197278911	Fitness standard deviation:	45.960553738160804	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	416	Best fitness:	137.67074829931974	Average fitness:	324.40560544217686	Fitness standard deviation:	42.48193278972863	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	432	Best fitness:	137.67074829931974	Average fitness:	325.4484625850341	Fitness standard deviation:	48.91501878289132	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	E3	A6	N9	A13	A16	E5	N6	A10	N12	A8	
Generation:	448	Best fitness:	137.6421768707483	Average fitness:	319.2410340136055	Fitness standard deviation:	55.562804166610796	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	464	Best fitness:	137.6421768707483	Average fitness:	321.83417687074825	Fitness standard deviation:	42.122388458744695	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	480	Best fitness:	137.6421768707483	Average fitness:	333.4798911564625	Fitness standard deviation:	55.10420242206059	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	496	Best fitness:	137.6421768707483	Average fitness:	325.0313197278911	Fitness standard deviation:	48.57607133777128	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	512	Best fitness:	137.6421768707483	Average fitness:	318.33989115646267	Fitness standard deviation:	55.24928917152857	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	528	Best fitness:	137.6421768707483	Average fitness:	311.77531972789114	Fitness standard deviation:	45.35797987439162	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	544	Best fitness:	137.6421768707483	Average fitness:	323.10331972789123	Fitness standard deviation:	46.819751635219866	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	560	Best fitness:	137.6421768707483	Average fitness:	326.3633197278911	Fitness standard deviation:	50.24245105161043	Best genome:	A9	N3	A7	A14	A17	N7	A15	A12	E4	N5	A11	A6	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	576	Best fitness:	136.6421768707483	Average fitness:	316.0307482993197	Fitness standard deviation:	51.718673531295586	Best genome:	A9	N3	A7	N7	E4	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	592	Best fitness:	136.6421768707483	Average fitness:	316.08560544217687	Fitness standard deviation:	48.629508884702375	Best genome:	A9	N3	A7	N7	E4	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	608	Best fitness:	136.6421768707483	Average fitness:	304.7450340136054	Fitness standard deviation:	56.18347872491211	Best genome:	A9	N3	A7	N7	E4	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	A10	N12	A8	
Generation:	624	Best fitness:	136.61360544217686	Average fitness:	312.520462585034	Fitness standard deviation:	50.95332696193445	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	640	Best fitness:	136.61360544217686	Average fitness:	324.7033197278912	Fitness standard deviation:	57.63454718220626	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	656	Best fitness:	136.61360544217686	Average fitness:	314.72046258503394	Fitness standard deviation:	42.36510609220851	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	672	Best fitness:	136.61360544217686	Average fitness:	317.444462585034	Fitness standard deviation:	49.67415616488998	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	688	Best fitness:	136.61360544217686	Average fitness:	308.83817687074827	Fitness standard deviation:	49.06472892838934	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	704	Best fitness:	136.61360544217686	Average fitness:	318.4764625850341	Fitness standard deviation:	59.82609163915296	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	720	Best fitness:	136.61360544217686	Average fitness:	314.8313197278911	Fitness standard deviation:	45.6932544085993	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	736	Best fitness:	136.61360544217686	Average fitness:	323.76389115646253	Fitness standard deviation:	48.47846424791874	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	752	Best fitness:	136.61360544217686	Average fitness:	318.44674829931967	Fitness standard deviation:	52.86856320177813	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	768	Best fitness:	136.61360544217686	Average fitness:	316.71531972789126	Fitness standard deviation:	45.79126845206387	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	784	Best fitness:	136.61360544217686	Average fitness:	324.4867482993198	Fitness standard deviation:	55.2196756297342	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	800	Best fitness:	136.61360544217686	Average fitness:	318.873605442177	Fitness standard deviation:	48.096208429626984	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	816	Best fitness:	136.61360544217686	Average fitness:	329.9387482993198	Fitness standard deviation:	49.53388117403345	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	832	Best fitness:	136.61360544217686	Average fitness:	320.19246258503404	Fitness standard deviation:	50.53223204479069	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	848	Best fitness:	136.61360544217686	Average fitness:	317.9113197278911	Fitness standard deviation:	44.49940998095437	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	864	Best fitness:	136.61360544217686	Average fitness:	323.08274829931975	Fitness standard deviation:	44.55913936442174	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	880	Best fitness:	136.61360544217686	Average fitness:	317.67760544217685	Fitness standard deviation:	46.93228037006825	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	896	Best fitness:	136.61360544217686	Average fitness:	323.7033197278911	Fitness standard deviation:	43.07789319313543	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	912	Best fitness:	136.61360544217686	Average fitness:	315.0970340136054	Fitness standard deviation:	46.0702887442611	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	928	Best fitness:	136.61360544217686	Average fitness:	312.1113197278912	Fitness standard deviation:	49.549876942123596	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	944	Best fitness:	136.61360544217686	Average fitness:	307.6330340136054	Fitness standard deviation:	54.92523495421308	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	960	Best fitness:	136.61360544217686	Average fitness:	324.41017687074833	Fitness standard deviation:	54.62863736995422	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	976	Best fitness:	136.61360544217686	Average fitness:	318.9713197278912	Fitness standard deviation:	49.84794487074401	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	992	Best fitness:	136.61360544217686	Average fitness:	325.1021768707483	Fitness standard deviation:	45.09751330309077	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1008	Best fitness:	136.61360544217686	Average fitness:	327.8267482993197	Fitness standard deviation:	56.250027616501164	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1024	Best fitness:	136.61360544217686	Average fitness:	315.51017687074835	Fitness standard deviation:	44.93565609006837	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1040	Best fitness:	136.61360544217686	Average fitness:	314.880462585034	Fitness standard deviation:	51.43421448722988	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1056	Best fitness:	136.61360544217686	Average fitness:	322.23931972789114	Fitness standard deviation:	46.61204232594747	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1072	Best fitness:	136.61360544217686	Average fitness:	319.8496054421768	Fitness standard deviation:	42.90050294553191	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1088	Best fitness:	136.61360544217686	Average fitness:	315.1473197278912	Fitness standard deviation:	47.692954150396645	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
