Generation:	16	Best fitness:	216.32789115646258	Average fitness:	325.03017687074833	Fitness standard deviation:	40.929983457068715	Best genome:	A13	N9	A16	N3	A11	A6	A14	N7	E5	A15	E3	A12	A17	N6	A10	A7	N5	A9	E4	N12	A8	
Generation:	32	Best fitness:	177.8421768707483	Average fitness:	326.6427482993197	Fitness standard deviation:	48.46946018991795	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	N5	A10	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	48	Best fitness:	177.8421768707483	Average fitness:	322.5438911564625	Fitness standard deviation:	42.72940703581847	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	N5	A10	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	64	Best fitness:	177.8421768707483	Average fitness:	319.1450340136055	Fitness standard deviation:	46.27963381577742	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	N5	A10	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	80	Best fitness:	164.8421768707483	Average fitness:	328.376462585034	Fitness standard deviation:	42.50481931859166	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	96	Best fitness:	164.8421768707483	Average fitness:	326.85531972789113	Fitness standard deviation:	48.48441793367583	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	112	Best fitness:	164.8421768707483	Average fitness:	327.6210340136055	Fitness standard deviation:	46.006567343085685	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	128	Best fitness:	164.8421768707483	Average fitness:	318.7421768707483	Fitness standard deviation:	44.407830988027605	Best genome:	N3	A11	N7	E3	N6	A6	A14	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	144	Best fitness:	156.8421768707483	Average fitness:	322.33760544217677	Fitness standard deviation:	48.71353886649952	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	160	Best fitness:	156.8421768707483	Average fitness:	318.5753197278912	Fitness standard deviation:	45.97392574590294	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
Generation:	176	Best fitness:	156.8421768707483	Average fitness:	316.75817687074846	Fitness standard deviation:	51.45690375450121	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A12	A10	N5	A7	A9	E4	N12	A8	A13	N9	A16	
