Generation:	16	Best fitness:	231.29931972789115	Average fitness:	336.3650340136054	Fitness standard deviation:	34.31754629447551	Best genome:	N9	A16	A9	N5	E3	A15	A14	E4	A7	A11	N12	N6	A8	E5	A13	N7	A6	A12	N3	A10	A17	
Generation:	32	Best fitness:	229.87074829931973	Average fitness:	328.79931972789126	Fitness standard deviation:	38.641991012210475	Best genome:	A16	A9	N5	E3	A15	A11	N12	A8	E5	A13	N7	A6	A12	A14	A17	A7	E4	N6	N3	A10	N9	
Generation:	48	Best fitness:	216.87074829931973	Average fitness:	336.82046258503397	Fitness standard deviation:	37.63085124235817	Best genome:	A16	A9	N5	E3	A15	A11	N12	A8	E5	A13	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	N9	
Generation:	64	Best fitness:	216.87074829931973	Average fitness:	325.05989115646264	Fitness standard deviation:	40.28236901612193	Best genome:	A16	A9	N5	E3	A15	A11	N12	A8	E5	A13	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	N9	
Generation:	80	Best fitness:	206.87074829931973	Average fitness:	331.5067482993197	Fitness standard deviation:	41.303188713192	Best genome:	A16	A9	N5	A11	A13	A15	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	N9	
Generation:	96	Best fitness:	206.87074829931973	Average fitness:	324.5616054421768	Fitness standard deviation:	43.56015805147391	Best genome:	A16	A9	N5	A11	A13	A15	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	N9	
Generation:	112	Best fitness:	166.32789115646258	Average fitness:	327.24160544217693	Fitness standard deviation:	41.82795764186671	Best genome:	A16	N9	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	128	Best fitness:	166.32789115646258	Average fitness:	314.08846258503405	Fitness standard deviation:	38.5074185866059	Best genome:	A16	N9	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	144	Best fitness:	166.32789115646258	Average fitness:	316.0278911564626	Fitness standard deviation:	52.53761653349349	Best genome:	A16	N9	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	160	Best fitness:	166.29931972789115	Average fitness:	324.97589115646264	Fitness standard deviation:	44.95049519692725	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	176	Best fitness:	166.29931972789115	Average fitness:	326.32960544217684	Fitness standard deviation:	44.122064232799275	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	192	Best fitness:	166.29931972789115	Average fitness:	323.29474829931974	Fitness standard deviation:	46.94843314766115	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	208	Best fitness:	166.29931972789115	Average fitness:	329.3118911564626	Fitness standard deviation:	44.6741838101385	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	224	Best fitness:	166.29931972789115	Average fitness:	323.11989115646264	Fitness standard deviation:	40.92235516593016	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	A7	E4	N3	A10	N6	A15	
Generation:	240	Best fitness:	153.29931972789115	Average fitness:	311.736462585034	Fitness standard deviation:	48.68239936736135	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	
Generation:	256	Best fitness:	153.29931972789115	Average fitness:	315.7753197278912	Fitness standard deviation:	43.93800776139965	Best genome:	N9	A16	A13	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	
Generation:	272	Best fitness:	149.81360544217688	Average fitness:	328.94960544217685	Fitness standard deviation:	48.63302096816314	Best genome:	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	N9	A16	A13	
Generation:	288	Best fitness:	149.81360544217688	Average fitness:	328.19017687074825	Fitness standard deviation:	51.52556621281342	Best genome:	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	N9	A16	A13	
Generation:	304	Best fitness:	149.81360544217688	Average fitness:	313.81360544217694	Fitness standard deviation:	54.15276290838949	Best genome:	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	N9	A16	A13	
Generation:	320	Best fitness:	149.81360544217688	Average fitness:	331.03817687074843	Fitness standard deviation:	46.38936085274867	Best genome:	A9	N5	A11	A8	E5	E3	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	A15	N9	A16	A13	
Generation:	336	Best fitness:	134.32789115646258	Average fitness:	303.2964625850339	Fitness standard deviation:	49.50193935594847	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	E3	E5	A15	A8	
Generation:	352	Best fitness:	134.32789115646258	Average fitness:	317.07760544217683	Fitness standard deviation:	51.43033602052075	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	E3	E5	A15	A8	
Generation:	368	Best fitness:	134.32789115646258	Average fitness:	303.76960544217695	Fitness standard deviation:	47.31825904986577	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	A10	N6	E3	E5	A15	A8	
Generation:	384	Best fitness:	131.32789115646258	Average fitness:	311.5438911564626	Fitness standard deviation:	52.92265875129595	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	400	Best fitness:	131.32789115646258	Average fitness:	307.6621768707483	Fitness standard deviation:	46.75380600026274	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	416	Best fitness:	131.32789115646258	Average fitness:	317.86103401360543	Fitness standard deviation:	57.15632058822256	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	432	Best fitness:	131.32789115646258	Average fitness:	321.1576054421769	Fitness standard deviation:	48.33224400893027	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	448	Best fitness:	131.32789115646258	Average fitness:	322.60503401360546	Fitness standard deviation:	54.845745616637366	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	464	Best fitness:	131.32789115646258	Average fitness:	330.18789115646257	Fitness standard deviation:	47.92671556977509	Best genome:	A16	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	
Generation:	480	Best fitness:	131.29931972789115	Average fitness:	322.00731972789106	Fitness standard deviation:	52.3796936163905	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	496	Best fitness:	131.29931972789115	Average fitness:	311.5501768707483	Fitness standard deviation:	48.21513499019213	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	512	Best fitness:	131.29931972789115	Average fitness:	319.19646258503394	Fitness standard deviation:	47.2415780206118	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	528	Best fitness:	131.29931972789115	Average fitness:	317.1170340136055	Fitness standard deviation:	59.53411887895778	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	544	Best fitness:	131.29931972789115	Average fitness:	315.4307482993197	Fitness standard deviation:	48.45165400180065	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
