Generation:	16	Best fitness:	229.8421768707483	Average fitness:	330.6221768707483	Fitness standard deviation:	35.932576885503956	Best genome:	A9	N5	N7	E3	A11	A10	E4	N3	A8	N6	A15	A12	A17	A7	A14	A6	E5	N12	A16	N9	A13	
Generation:	32	Best fitness:	211.87074829931973	Average fitness:	324.33703401360543	Fitness standard deviation:	34.92134716526175	Best genome:	A9	A11	E4	N3	A8	A15	A12	A17	A7	A14	A6	E5	N7	N5	E3	N6	A10	N12	A16	A13	N9	
Generation:	48	Best fitness:	203.556462585034	Average fitness:	338.8661768707483	Fitness standard deviation:	40.50146738989458	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	E4	N12	A10	A11	A6	A14	E5	A8	A16	
Generation:	64	Best fitness:	203.556462585034	Average fitness:	320.8501768707482	Fitness standard deviation:	38.00296101890064	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	E4	N12	A10	A11	A6	A14	E5	A8	A16	
Generation:	80	Best fitness:	197.556462585034	Average fitness:	322.4187482993197	Fitness standard deviation:	46.1848331637925	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	96	Best fitness:	197.556462585034	Average fitness:	324.7421768707483	Fitness standard deviation:	37.71899851506654	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	112	Best fitness:	197.556462585034	Average fitness:	335.6616054421769	Fitness standard deviation:	39.51060552638019	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	128	Best fitness:	197.556462585034	Average fitness:	326.8650340136054	Fitness standard deviation:	39.207148036332065	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	144	Best fitness:	197.556462585034	Average fitness:	328.9833197278912	Fitness standard deviation:	41.00179604229401	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	160	Best fitness:	197.556462585034	Average fitness:	327.1198911564626	Fitness standard deviation:	39.4582968859891	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	176	Best fitness:	197.556462585034	Average fitness:	330.1781768707483	Fitness standard deviation:	44.080877268206606	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	192	Best fitness:	197.556462585034	Average fitness:	325.44331972789115	Fitness standard deviation:	35.614676158538224	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	208	Best fitness:	197.556462585034	Average fitness:	315.7456054421769	Fitness standard deviation:	37.95804596592164	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	A11	N12	E4	A10	A6	A14	E5	A8	A16	
Generation:	224	Best fitness:	183.556462585034	Average fitness:	330.86846258503397	Fitness standard deviation:	36.160155697696226	Best genome:	A13	A9	N6	A15	A12	N7	E3	N3	A7	N9	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	240	Best fitness:	183.52789115646257	Average fitness:	329.2353197278912	Fitness standard deviation:	41.750369739533504	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	256	Best fitness:	183.52789115646257	Average fitness:	322.3758911564627	Fitness standard deviation:	41.055206809905144	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	272	Best fitness:	183.52789115646257	Average fitness:	330.2290340136055	Fitness standard deviation:	43.86959458789336	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	288	Best fitness:	183.52789115646257	Average fitness:	336.08274829931975	Fitness standard deviation:	47.167226286817375	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	304	Best fitness:	183.52789115646257	Average fitness:	316.3598911564626	Fitness standard deviation:	42.38241978240796	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	320	Best fitness:	183.52789115646257	Average fitness:	331.9678911564625	Fitness standard deviation:	48.52370630392311	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	336	Best fitness:	183.52789115646257	Average fitness:	331.61189115646266	Fitness standard deviation:	38.053080182121114	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	E5	A8	A16	
Generation:	352	Best fitness:	173.52789115646257	Average fitness:	323.6416054421769	Fitness standard deviation:	44.531384388898545	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	368	Best fitness:	173.52789115646257	Average fitness:	327.3267482993196	Fitness standard deviation:	40.36295005905029	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
