Generation:	16	Best fitness:	241.38503401360543	Average fitness:	326.5044625850341	Fitness standard deviation:	37.356696829896734	Best genome:	A8	A9	E4	N9	N3	A6	A14	A17	A11	N7	E5	A16	N12	E3	N6	N5	A7	A13	A15	A12	A10	
Generation:	32	Best fitness:	235.756462585034	Average fitness:	326.11017687074826	Fitness standard deviation:	39.577922887408235	Best genome:	A8	A10	N12	E5	A6	A14	A17	N7	A7	A9	N3	E4	N5	A13	A15	A12	N9	N6	A11	E3	A16	
Generation:	48	Best fitness:	200.58503401360545	Average fitness:	331.7524625850341	Fitness standard deviation:	37.58908569773727	Best genome:	E5	A6	A14	A17	A12	E4	N3	A8	A13	A16	N9	A9	N5	A11	N7	A15	A7	E3	N6	A10	N12	
Generation:	64	Best fitness:	186.58503401360545	Average fitness:	315.60903401360554	Fitness standard deviation:	35.64389239149292	Best genome:	E5	A6	A14	A17	A12	E4	N3	A8	A13	A16	N9	A9	N5	A11	A15	N7	A7	E3	N6	A10	N12	
Generation:	80	Best fitness:	181.52789115646257	Average fitness:	321.1341768707482	Fitness standard deviation:	40.79344456739918	Best genome:	E5	A6	A14	A17	A12	A8	A13	A16	N9	A9	E4	N5	N3	A11	A15	N7	A7	E3	N6	A10	N12	
Generation:	96	Best fitness:	181.52789115646257	Average fitness:	326.1187482993197	Fitness standard deviation:	41.47563058875288	Best genome:	E5	A6	A14	A17	A12	A8	A13	A16	N9	A9	E4	N5	N3	A11	A15	N7	A7	E3	N6	A10	N12	
Generation:	112	Best fitness:	174.35646258503402	Average fitness:	314.35017687074827	Fitness standard deviation:	47.72517319411384	Best genome:	A13	A16	N9	A9	E4	A7	A10	E3	N6	N3	A11	N5	E5	N12	A6	A12	A14	A17	A15	N7	A8	
Generation:	128	Best fitness:	163.29931972789115	Average fitness:	313.81131972789115	Fitness standard deviation:	40.40839550673315	Best genome:	N9	A9	E4	A7	A10	E5	A15	E3	N6	N3	A11	N5	N12	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	144	Best fitness:	163.29931972789115	Average fitness:	310.7541768707483	Fitness standard deviation:	39.16672216803131	Best genome:	N9	A9	E4	A7	A10	E5	A15	E3	N6	N3	A11	N5	N12	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	160	Best fitness:	146.29931972789115	Average fitness:	313.89646258503404	Fitness standard deviation:	50.78932050688433	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	176	Best fitness:	146.29931972789115	Average fitness:	319.5558911564626	Fitness standard deviation:	48.93996371732474	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
