Generation:	16	Best fitness:	203.81360544217688	Average fitness:	318.77360544217686	Fitness standard deviation:	32.90879815366047	Best genome:	E5	N6	A11	A15	A14	A17	A12	N7	E4	A7	A16	A9	N5	A10	N12	A6	E3	A8	N9	N3	A13	
Generation:	32	Best fitness:	195.32789115646258	Average fitness:	325.3358911564626	Fitness standard deviation:	36.9021944107194	Best genome:	A13	N9	N3	N7	E4	A7	A16	A9	N5	A10	N12	A6	E3	A8	E5	N6	A11	A15	A14	A17	A12	
Generation:	48	Best fitness:	195.32789115646258	Average fitness:	320.80789115646263	Fitness standard deviation:	45.560843553495836	Best genome:	A13	N9	N3	N7	E4	A7	A16	A9	N5	A10	N12	A6	E3	A8	E5	N6	A11	A15	A14	A17	A12	
Generation:	64	Best fitness:	186.32789115646258	Average fitness:	311.4993197278912	Fitness standard deviation:	43.44146387581189	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	A6	E3	A8	N6	N12	A10	E5	A15	A14	A17	A12	
Generation:	80	Best fitness:	183.32789115646258	Average fitness:	326.7118911564627	Fitness standard deviation:	43.721221918432434	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	A8	N12	N6	E3	A10	A6	E5	A15	A14	A17	A12	
Generation:	96	Best fitness:	177.32789115646258	Average fitness:	323.64160544217685	Fitness standard deviation:	45.042399794696834	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	A8	N12	A6	N6	E3	A10	E5	A15	A14	A17	A12	
Generation:	112	Best fitness:	177.32789115646258	Average fitness:	328.9576054421769	Fitness standard deviation:	40.026394132688324	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	A8	N12	A6	N6	E3	A10	E5	A15	A14	A17	A12	
Generation:	128	Best fitness:	177.32789115646258	Average fitness:	327.2461768707484	Fitness standard deviation:	42.5271508990649	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	A8	N12	A6	N6	E3	A10	E5	A15	A14	A17	A12	
Generation:	144	Best fitness:	171.32789115646258	Average fitness:	321.53531972789114	Fitness standard deviation:	44.20328653770773	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	N6	A10	A6	N12	E3	A8	E5	A15	A14	A17	A12	
Generation:	160	Best fitness:	171.32789115646258	Average fitness:	313.7964625850341	Fitness standard deviation:	41.01990915322431	Best genome:	A13	N9	N3	E4	N7	A7	A16	A9	N5	A11	N6	A10	A6	N12	E3	A8	E5	A15	A14	A17	A12	
Generation:	176	Best fitness:	167.35646258503402	Average fitness:	318.376462585034	Fitness standard deviation:	42.98765660521824	Best genome:	A9	A7	N9	N3	E4	N5	A6	A10	A8	A16	N12	E3	A11	N7	N6	E5	A15	A14	A17	A12	A13	
