Generation:	16	Best fitness:	254.4421768707483	Average fitness:	341.0193197278912	Fitness standard deviation:	37.507007889410836	Best genome:	A15	A12	A16	E5	A13	N9	A14	E3	N3	N6	N12	E4	N5	N7	A17	A11	A7	A6	A10	A9	A8	
Generation:	32	Best fitness:	229.78503401360544	Average fitness:	336.0496054421769	Fitness standard deviation:	30.58215662768079	Best genome:	A15	A14	E3	N5	N12	E4	A10	N6	A17	A11	A8	N3	A7	N7	A6	A12	A9	N9	A16	E5	A13	
Generation:	48	Best fitness:	229.78503401360544	Average fitness:	331.4398911564625	Fitness standard deviation:	40.14336017580094	Best genome:	A15	A14	E3	N5	N12	E4	A10	N6	A17	A11	A8	N3	A7	N7	A6	A12	A9	N9	A16	E5	A13	
Generation:	64	Best fitness:	229.78503401360544	Average fitness:	326.2216054421768	Fitness standard deviation:	33.454351007098055	Best genome:	A15	A14	E3	N5	N12	E4	A10	N6	A17	A11	A8	N3	A7	N7	A6	A12	A9	N9	A16	E5	A13	
Generation:	80	Best fitness:	204.67074829931974	Average fitness:	328.95989115646256	Fitness standard deviation:	43.23538710881376	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	96	Best fitness:	204.67074829931974	Average fitness:	324.3204625850341	Fitness standard deviation:	37.37141887723771	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	112	Best fitness:	204.67074829931974	Average fitness:	336.04503401360535	Fitness standard deviation:	43.87725895109248	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	128	Best fitness:	204.67074829931974	Average fitness:	338.83589115646254	Fitness standard deviation:	40.449547830272095	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	144	Best fitness:	204.67074829931974	Average fitness:	333.7838911564626	Fitness standard deviation:	31.330614595611998	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	160	Best fitness:	204.67074829931974	Average fitness:	336.79131972789116	Fitness standard deviation:	42.67606786775301	Best genome:	A15	A14	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A12	A17	N3	A7	A16	E5	A13	
Generation:	176	Best fitness:	196.67074829931974	Average fitness:	338.17760544217685	Fitness standard deviation:	42.864916555931124	Best genome:	A15	A17	E3	A10	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
