Generation:	16	Best fitness:	240.32789115646258	Average fitness:	328.6376054421769	Fitness standard deviation:	39.15699405194012	Best genome:	A13	N9	A16	A11	N12	E5	A8	A6	A9	A10	N6	A14	N7	A12	A17	N5	E4	N3	E3	A15	A7	
Generation:	32	Best fitness:	193.87074829931973	Average fitness:	324.58160544217696	Fitness standard deviation:	43.4762364892053	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	N12	A7	A11	A13	N9	
Generation:	48	Best fitness:	193.87074829931973	Average fitness:	321.6084625850341	Fitness standard deviation:	40.881372511805175	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	N12	A7	A11	A13	N9	
Generation:	64	Best fitness:	162.87074829931973	Average fitness:	312.2993197278912	Fitness standard deviation:	50.316755678807596	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	80	Best fitness:	162.87074829931973	Average fitness:	314.24046258503404	Fitness standard deviation:	47.0252258521847	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	96	Best fitness:	162.87074829931973	Average fitness:	322.85303401360557	Fitness standard deviation:	50.56789685488739	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	112	Best fitness:	162.87074829931973	Average fitness:	323.0707482993197	Fitness standard deviation:	41.56773591847113	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	128	Best fitness:	162.87074829931973	Average fitness:	320.484462585034	Fitness standard deviation:	50.1154862993507	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	144	Best fitness:	162.87074829931973	Average fitness:	328.8438911564626	Fitness standard deviation:	47.71391220041999	Best genome:	A16	A15	A17	E5	A8	A9	A6	A14	A10	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	160	Best fitness:	155.87074829931973	Average fitness:	317.6707482993197	Fitness standard deviation:	47.68064442791461	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	176	Best fitness:	155.87074829931973	Average fitness:	312.5456054421769	Fitness standard deviation:	40.13982414164826	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
