Generation:	16	Best fitness:	235.29931972789115	Average fitness:	338.4461768707482	Fitness standard deviation:	35.81322296445882	Best genome:	N9	N5	E3	N12	A15	A12	A13	A9	A11	A10	A8	A16	E4	A7	A14	N3	E5	N6	A6	A17	N7	
Generation:	32	Best fitness:	226.81360544217688	Average fitness:	320.872462585034	Fitness standard deviation:	36.93246452427369	Best genome:	A9	A16	E5	A15	A8	N5	N3	E4	A7	N12	A11	N7	A6	E3	A10	N6	A12	A13	N9	A17	A14	
Generation:	48	Best fitness:	226.7278911564626	Average fitness:	333.97131972789117	Fitness standard deviation:	37.33006983598054	Best genome:	A8	N5	N3	E4	A7	N12	N7	A11	A14	A10	E3	N6	A6	A12	A13	N9	A17	A9	A16	E5	A15	
Generation:	64	Best fitness:	213.58503401360545	Average fitness:	322.7130340136054	Fitness standard deviation:	35.468406287447266	Best genome:	N6	N5	E4	A7	A14	A10	E3	A6	A12	A13	N9	A17	A9	A16	E5	N12	N7	N3	A11	A8	A15	
Generation:	80	Best fitness:	195.58503401360545	Average fitness:	325.9707482993197	Fitness standard deviation:	41.56447865322366	Best genome:	N6	N5	E4	A7	A17	A14	A10	E3	A6	A12	N9	A13	A9	A16	E5	N12	N7	N3	A11	A8	A15	
Generation:	96	Best fitness:	173.87074829931973	Average fitness:	331.32960544217684	Fitness standard deviation:	45.85636969886717	Best genome:	A9	N5	E4	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	A8	A15	N6	A10	N12	E3	N9	
Generation:	112	Best fitness:	171.87074829931973	Average fitness:	318.2918911564625	Fitness standard deviation:	39.425979960385696	Best genome:	A9	N5	E4	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	128	Best fitness:	171.87074829931973	Average fitness:	327.1307482993197	Fitness standard deviation:	39.328646567309264	Best genome:	A9	N5	E4	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	144	Best fitness:	171.87074829931973	Average fitness:	322.49074829931965	Fitness standard deviation:	42.99958205776956	Best genome:	A9	N5	E4	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	160	Best fitness:	166.87074829931973	Average fitness:	318.5576054421769	Fitness standard deviation:	45.6512411562056	Best genome:	A9	E4	N5	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	176	Best fitness:	166.87074829931973	Average fitness:	330.33817687074827	Fitness standard deviation:	40.93596263752966	Best genome:	A9	E4	N5	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	192	Best fitness:	166.87074829931973	Average fitness:	324.61931972789114	Fitness standard deviation:	38.23982793915692	Best genome:	A9	E4	N5	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	208	Best fitness:	166.87074829931973	Average fitness:	321.04846258503403	Fitness standard deviation:	46.40197929979684	Best genome:	A9	E4	N5	A7	A17	A14	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	224	Best fitness:	161.87074829931973	Average fitness:	321.70674829931977	Fitness standard deviation:	46.5717012472298	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	240	Best fitness:	161.87074829931973	Average fitness:	305.9798911564626	Fitness standard deviation:	48.72311631399349	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N7	N3	A11	N6	A8	A15	A10	N12	E3	N9	
Generation:	256	Best fitness:	146.87074829931973	Average fitness:	319.45817687074833	Fitness standard deviation:	47.76297401604241	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	A11	N3	N12	A15	A10	A8	N9	
Generation:	272	Best fitness:	146.87074829931973	Average fitness:	324.65931972789105	Fitness standard deviation:	52.043343317598925	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	A11	N3	N12	A15	A10	A8	N9	
