Generation:	16	Best fitness:	219.6421768707483	Average fitness:	331.52960544217683	Fitness standard deviation:	36.26899070634779	Best genome:	E5	N6	A17	A15	N7	A6	A12	A14	A16	A13	A9	A7	N9	E3	A10	E4	N3	A11	N12	N5	A8	
Generation:	32	Best fitness:	208.8421768707483	Average fitness:	322.1873197278911	Fitness standard deviation:	38.225062764460425	Best genome:	E5	N6	A15	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	48	Best fitness:	208.8421768707483	Average fitness:	325.0747482993197	Fitness standard deviation:	36.78097068333248	Best genome:	E5	N6	A15	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	64	Best fitness:	208.8421768707483	Average fitness:	323.0553197278912	Fitness standard deviation:	35.813600978125734	Best genome:	E5	N6	A15	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	80	Best fitness:	208.8421768707483	Average fitness:	324.08274829931975	Fitness standard deviation:	35.26098663465019	Best genome:	E5	N6	A15	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	96	Best fitness:	202.8421768707483	Average fitness:	321.0107482993198	Fitness standard deviation:	35.59701214244515	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	112	Best fitness:	202.8421768707483	Average fitness:	326.86274829931983	Fitness standard deviation:	41.85563957905109	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	E3	A10	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	128	Best fitness:	191.8421768707483	Average fitness:	314.9341768707483	Fitness standard deviation:	43.47168472390614	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	E3	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	144	Best fitness:	191.8421768707483	Average fitness:	318.0867482993197	Fitness standard deviation:	39.26563108898578	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	E3	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	160	Best fitness:	191.8421768707483	Average fitness:	316.05646258503396	Fitness standard deviation:	39.30003323465386	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	E3	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	176	Best fitness:	191.8421768707483	Average fitness:	320.1736054421769	Fitness standard deviation:	40.585916930152315	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	E3	E4	N3	A11	N12	N5	A17	N9	A8	
