Generation:	16	Best fitness:	242.35646258503402	Average fitness:	334.08846258503405	Fitness standard deviation:	35.166296429556354	Best genome:	A13	A16	N9	A10	A8	N12	A14	A17	A9	E4	A15	A12	N7	E5	N6	A6	E3	N5	N3	A7	A11	
Generation:	32	Best fitness:	230.81360544217688	Average fitness:	335.3450340136055	Fitness standard deviation:	41.49530113550848	Best genome:	N12	A14	A17	N6	A15	A12	N7	E3	A6	A9	A7	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	48	Best fitness:	230.81360544217688	Average fitness:	329.420462585034	Fitness standard deviation:	41.76299878199967	Best genome:	N12	A14	A17	N6	A15	A12	N7	E3	A6	A9	A7	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	64	Best fitness:	230.81360544217688	Average fitness:	328.1313197278912	Fitness standard deviation:	29.56027264517603	Best genome:	N12	A14	A17	N6	A15	A12	N7	E3	A6	A9	A7	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	80	Best fitness:	209.81360544217688	Average fitness:	324.68503401360545	Fitness standard deviation:	37.944558589218204	Best genome:	A17	A14	N12	N6	A15	A12	N7	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	96	Best fitness:	206.81360544217688	Average fitness:	325.77017687074834	Fitness standard deviation:	36.573063463456826	Best genome:	N6	N7	A15	A14	A12	A17	N12	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	112	Best fitness:	206.81360544217688	Average fitness:	329.4421768707483	Fitness standard deviation:	43.123377248380294	Best genome:	N6	N7	A15	A14	A12	A17	N12	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	128	Best fitness:	206.81360544217688	Average fitness:	323.61703401360546	Fitness standard deviation:	42.97935247610538	Best genome:	N6	N7	A15	A14	A12	A17	N12	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	A16	N9	A10	A8	
Generation:	144	Best fitness:	197.78503401360544	Average fitness:	313.64789115646255	Fitness standard deviation:	40.807298266814165	Best genome:	A16	N7	A15	A14	A12	A17	N12	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	N9	N6	A10	A8	
Generation:	160	Best fitness:	197.78503401360544	Average fitness:	321.21417687074825	Fitness standard deviation:	35.79269632030467	Best genome:	A16	N7	A15	A14	A12	A17	N12	E3	A6	A7	A9	N3	N5	E4	A11	E5	A13	N9	N6	A10	A8	
Generation:	176	Best fitness:	190.78503401360544	Average fitness:	328.8741768707482	Fitness standard deviation:	41.91906200851194	Best genome:	A16	N7	A15	A6	A17	A14	A12	E3	N12	A7	A9	N3	N5	E4	A11	E5	A13	N9	N6	A10	A8	
Generation:	192	Best fitness:	164.8421768707483	Average fitness:	315.7707482993197	Fitness standard deviation:	52.83422460674443	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	208	Best fitness:	164.8421768707483	Average fitness:	307.32731972789117	Fitness standard deviation:	44.69362169349932	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	224	Best fitness:	164.8421768707483	Average fitness:	324.0490340136055	Fitness standard deviation:	40.29369791611465	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	240	Best fitness:	164.8421768707483	Average fitness:	326.7147482993198	Fitness standard deviation:	50.31177026566751	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	256	Best fitness:	164.8421768707483	Average fitness:	320.05760544217685	Fitness standard deviation:	48.78549339753384	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	272	Best fitness:	164.8421768707483	Average fitness:	327.1741768707483	Fitness standard deviation:	46.56310947257605	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	288	Best fitness:	164.8421768707483	Average fitness:	327.33817687074844	Fitness standard deviation:	43.42861682704394	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	N9	A13	
Generation:	304	Best fitness:	160.87074829931973	Average fitness:	314.9930340136054	Fitness standard deviation:	41.561561927790336	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	A13	N9	
Generation:	320	Best fitness:	160.87074829931973	Average fitness:	315.71989115646267	Fitness standard deviation:	50.807780872859325	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	A13	N9	
Generation:	336	Best fitness:	160.87074829931973	Average fitness:	317.672462585034	Fitness standard deviation:	49.13440538949864	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	A13	N9	
Generation:	352	Best fitness:	160.87074829931973	Average fitness:	322.14674829931977	Fitness standard deviation:	49.87835737275318	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	N5	E4	A11	A10	N6	E5	A8	A13	N9	
Generation:	368	Best fitness:	155.87074829931973	Average fitness:	309.43417687074833	Fitness standard deviation:	55.594480137098905	Best genome:	A16	A6	N7	A15	A17	A12	A14	E3	N12	A7	A9	N3	E4	N5	A11	A10	N6	E5	A8	A13	N9	
Generation:	384	Best fitness:	154.87074829931973	Average fitness:	323.3381768707483	Fitness standard deviation:	47.35592500394847	Best genome:	A16	A9	A7	A14	A12	A6	A17	N7	A15	N12	E3	N3	E4	N5	A11	A10	N6	E5	A8	A13	N9	
Generation:	400	Best fitness:	153.87074829931973	Average fitness:	312.5810340136054	Fitness standard deviation:	51.27848162609293	Best genome:	A16	A9	A7	A14	A12	A17	A6	N7	A15	N12	E3	N3	E4	N5	A11	A10	N6	E5	A8	A13	N9	
Generation:	416	Best fitness:	142.87074829931973	Average fitness:	309.72160544217695	Fitness standard deviation:	47.134850675958425	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
Generation:	432	Best fitness:	142.87074829931973	Average fitness:	317.92331972789117	Fitness standard deviation:	53.00931496425502	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
Generation:	448	Best fitness:	142.87074829931973	Average fitness:	317.0261768707483	Fitness standard deviation:	48.85483274739062	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
Generation:	464	Best fitness:	142.87074829931973	Average fitness:	315.2181768707483	Fitness standard deviation:	46.76819235160511	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
