Generation:	16	Best fitness:	234.8421768707483	Average fitness:	329.9707482993197	Fitness standard deviation:	33.291139349437614	Best genome:	A7	A11	N5	E5	N12	A10	A15	E4	A8	A13	A16	N3	E3	N6	N7	A6	A17	A14	A12	N9	A9	
Generation:	32	Best fitness:	164.8421768707483	Average fitness:	322.0884625850341	Fitness standard deviation:	43.18422799389346	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	48	Best fitness:	164.8421768707483	Average fitness:	333.87531972789117	Fitness standard deviation:	40.27555347445234	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	64	Best fitness:	164.8421768707483	Average fitness:	330.4021768707483	Fitness standard deviation:	42.28520540234335	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	80	Best fitness:	164.8421768707483	Average fitness:	328.3867482993197	Fitness standard deviation:	47.40114608448249	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	96	Best fitness:	164.8421768707483	Average fitness:	324.6810340136055	Fitness standard deviation:	51.02378181329381	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	112	Best fitness:	164.8421768707483	Average fitness:	328.84389115646246	Fitness standard deviation:	42.06010642120709	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	128	Best fitness:	164.8421768707483	Average fitness:	324.196462585034	Fitness standard deviation:	44.920312209284475	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	144	Best fitness:	164.8421768707483	Average fitness:	318.14389115646253	Fitness standard deviation:	41.12473535824534	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	160	Best fitness:	164.8421768707483	Average fitness:	316.98731972789113	Fitness standard deviation:	36.71546583539699	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	176	Best fitness:	164.8421768707483	Average fitness:	329.61246258503394	Fitness standard deviation:	47.955744210422914	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	192	Best fitness:	164.8421768707483	Average fitness:	329.92389115646256	Fitness standard deviation:	42.40496544278844	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	208	Best fitness:	164.8421768707483	Average fitness:	324.70446258503404	Fitness standard deviation:	39.32465797144876	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	224	Best fitness:	164.8421768707483	Average fitness:	329.9581768707483	Fitness standard deviation:	44.12380852435426	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	240	Best fitness:	164.8421768707483	Average fitness:	327.2198911564626	Fitness standard deviation:	41.200472075757894	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	256	Best fitness:	164.8421768707483	Average fitness:	317.376462585034	Fitness standard deviation:	43.40931123665539	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	272	Best fitness:	164.8421768707483	Average fitness:	317.17989115646265	Fitness standard deviation:	48.00467619739067	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	288	Best fitness:	164.8421768707483	Average fitness:	316.58046258503407	Fitness standard deviation:	48.97433742319355	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	304	Best fitness:	164.8421768707483	Average fitness:	329.1221768707482	Fitness standard deviation:	41.30464696888826	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	320	Best fitness:	164.8421768707483	Average fitness:	308.8307482993198	Fitness standard deviation:	42.32631525735859	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	336	Best fitness:	164.8421768707483	Average fitness:	325.77646258503404	Fitness standard deviation:	42.8797849712854	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
Generation:	352	Best fitness:	164.8421768707483	Average fitness:	326.4576054421769	Fitness standard deviation:	47.25645886877609	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	N3	E3	N6	N7	A6	A14	A17	A12	N9	A9	
