Generation:	16	Best fitness:	211.8421768707483	Average fitness:	260.65646258503403	Fitness standard deviation:	33.99100781449262	Best genome:	A13	A9	A10	E3	N6	A8	E5	N5	A15	A17	A16	E4	N3	A7	A11	N7	A6	A14	A12	N9	N12	
Generation:	32	Best fitness:	151.67074829931974	Average fitness:	221.59931972789119	Fitness standard deviation:	37.02650181605999	Best genome:	A9	A7	N5	N6	N12	A15	A17	A10	E3	N7	A6	A14	A12	N9	E5	E4	N3	A11	A8	A16	A13	
Generation:	48	Best fitness:	151.67074829931974	Average fitness:	218.19646258503403	Fitness standard deviation:	52.173716426130554	Best genome:	A9	A7	N5	N6	N12	A15	A17	A10	E3	N7	A6	A14	A12	N9	E5	E4	N3	A11	A8	A16	A13	
Generation:	64	Best fitness:	151.67074829931974	Average fitness:	224.07931972789115	Fitness standard deviation:	39.31120845514777	Best genome:	A9	A7	N5	N6	N12	A15	A17	A10	E3	N7	A6	A14	A12	N9	E5	E4	N3	A11	A8	A16	A13	
Generation:	80	Best fitness:	151.67074829931974	Average fitness:	210.2193197278911	Fitness standard deviation:	41.406379869261094	Best genome:	A9	A7	N5	N6	N12	A15	A17	A10	E3	N7	A6	A14	A12	N9	E5	E4	N3	A11	A8	A16	A13	
Generation:	96	Best fitness:	151.61360544217686	Average fitness:	218.5650340136054	Fitness standard deviation:	32.67753906253765	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	112	Best fitness:	151.61360544217686	Average fitness:	203.74503401360542	Fitness standard deviation:	38.32692281210296	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	128	Best fitness:	151.61360544217686	Average fitness:	213.97074829931975	Fitness standard deviation:	39.55423917527291	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	144	Best fitness:	151.61360544217686	Average fitness:	217.06789115646262	Fitness standard deviation:	45.85166046444708	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	160	Best fitness:	151.61360544217686	Average fitness:	221.6278911564626	Fitness standard deviation:	35.10344189182966	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	176	Best fitness:	151.61360544217686	Average fitness:	240.13931972789118	Fitness standard deviation:	52.1892649842076	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
