Generation:	16	Best fitness:	215.29931972789115	Average fitness:	274.196462585034	Fitness standard deviation:	28.635058289888402	Best genome:	N9	A16	A7	A12	A9	N12	A6	A14	A17	E4	A10	A15	N7	N3	N5	A11	E5	A8	A13	E3	N6	
Generation:	32	Best fitness:	199.69931972789115	Average fitness:	247.26789115646255	Fitness standard deviation:	33.68858693676418	Best genome:	A9	N7	A6	A14	A10	E3	N6	A17	N3	N5	A11	E5	A8	A13	N9	A16	N12	E4	A15	A7	A12	
Generation:	48	Best fitness:	199.69931972789115	Average fitness:	278.86789115646263	Fitness standard deviation:	33.75361737228006	Best genome:	A9	N7	A6	A14	A10	E3	N6	A17	N3	N5	A11	E5	A8	A13	N9	A16	N12	E4	A15	A7	A12	
Generation:	64	Best fitness:	199.69931972789115	Average fitness:	268.1250340136054	Fitness standard deviation:	37.07573594574176	Best genome:	A9	N7	A6	A14	A10	E3	N6	A17	N3	N5	A11	E5	A8	A13	N9	A16	N12	E4	A15	A7	A12	
Generation:	80	Best fitness:	199.69931972789115	Average fitness:	268.98217687074833	Fitness standard deviation:	37.491566289728986	Best genome:	A9	N7	A6	A14	A10	E3	N6	A17	N3	N5	A11	E5	A8	A13	N9	A16	N12	E4	A15	A7	A12	
Generation:	96	Best fitness:	199.69931972789115	Average fitness:	265.9278911564626	Fitness standard deviation:	40.314164219721754	Best genome:	A9	N7	A6	A14	A10	E3	N6	A17	N3	N5	A11	E5	A8	A13	N9	A16	N12	E4	A15	A7	A12	
Generation:	112	Best fitness:	196.8421768707483	Average fitness:	262.236462585034	Fitness standard deviation:	35.77037150423547	Best genome:	A13	N7	A6	A14	A10	N12	E3	A11	N6	A17	N3	N5	E4	A15	A12	A9	A7	E5	A8	N9	A16	
Generation:	128	Best fitness:	187.87074829931973	Average fitness:	261.89931972789117	Fitness standard deviation:	27.4568187880385	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	A17	N3	N5	E4	A15	A12	A9	A7	E5	A8	A13	N9	
Generation:	144	Best fitness:	187.87074829931973	Average fitness:	230.85646258503402	Fitness standard deviation:	25.905896421234974	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	A17	N3	N5	E4	A15	A12	A9	A7	E5	A8	A13	N9	
Generation:	160	Best fitness:	187.87074829931973	Average fitness:	250.67646258503402	Fitness standard deviation:	41.62378990090025	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	A17	N3	N5	E4	A15	A12	A9	A7	E5	A8	A13	N9	
Generation:	176	Best fitness:	187.87074829931973	Average fitness:	234.04217687074828	Fitness standard deviation:	44.53517939878128	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	A17	N3	N5	E4	A15	A12	A9	A7	E5	A8	A13	N9	
Generation:	192	Best fitness:	166.87074829931973	Average fitness:	230.95074829931974	Fitness standard deviation:	36.366546187844854	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	208	Best fitness:	166.87074829931973	Average fitness:	245.66789115646256	Fitness standard deviation:	42.977447241879915	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	224	Best fitness:	166.87074829931973	Average fitness:	226.50503401360544	Fitness standard deviation:	42.90597180261194	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
