Generation:	16	Best fitness:	246.35646258503402	Average fitness:	295.85931972789115	Fitness standard deviation:	28.954382700223817	Best genome:	A7	A16	N9	A9	N5	A11	N7	A6	N12	A14	A12	E4	E5	A10	N6	A15	A17	N3	A13	E3	A8	
Generation:	32	Best fitness:	222.87074829931973	Average fitness:	253.6850340136054	Fitness standard deviation:	15.737713704762244	Best genome:	A9	A12	A14	A17	N5	A11	N6	N7	A6	N12	A15	A10	E4	N3	A13	E3	A8	A7	A16	E5	N9	
Generation:	48	Best fitness:	218.78503401360544	Average fitness:	280.63646258503405	Fitness standard deviation:	29.306233369126684	Best genome:	A12	A14	N5	A10	N7	A6	A11	N12	E5	A15	A17	E3	A7	E4	N6	A8	A16	N9	A9	N3	A13	
Generation:	64	Best fitness:	216.78503401360544	Average fitness:	279.9450340136055	Fitness standard deviation:	30.43872989385432	Best genome:	A11	N7	N5	A10	A7	A12	A14	A6	N12	E5	A15	A17	E3	E4	N6	A8	A16	N9	A9	N3	A13	
Generation:	80	Best fitness:	213.78503401360544	Average fitness:	265.52217687074835	Fitness standard deviation:	27.101956552610588	Best genome:	A11	N7	N5	A10	A7	A12	A14	E5	A15	A17	A6	E3	E4	N6	N12	A8	A16	N9	A9	N3	A13	
Generation:	96	Best fitness:	208.78503401360544	Average fitness:	270.576462585034	Fitness standard deviation:	38.26450169276896	Best genome:	A11	N7	A10	A7	A12	A14	A6	E5	A15	A17	E3	E4	N6	N5	N12	A8	A16	N9	A9	N3	A13	
Generation:	112	Best fitness:	208.78503401360544	Average fitness:	253.06503401360547	Fitness standard deviation:	29.329772572996088	Best genome:	A11	N7	A10	A7	A12	A14	A6	E5	A15	A17	E3	E4	N6	N5	N12	A8	A16	N9	A9	N3	A13	
Generation:	128	Best fitness:	194.78503401360544	Average fitness:	263.496462585034	Fitness standard deviation:	36.285949268080536	Best genome:	A11	A7	A12	A14	A6	N7	A10	E5	A15	A17	E3	E4	N6	N5	N12	A8	A16	N9	A9	N3	A13	
Generation:	144	Best fitness:	192.61360544217686	Average fitness:	235.79646258503402	Fitness standard deviation:	36.56938208559791	Best genome:	A6	A10	E5	A15	A17	E3	E4	N5	N12	A8	A16	N9	A9	N3	A11	A7	A12	A14	N7	N6	A13	
Generation:	160	Best fitness:	192.556462585034	Average fitness:	249.41646258503397	Fitness standard deviation:	34.86589222745241	Best genome:	A10	E5	A15	A17	E3	E4	N5	A8	A16	N9	A9	N3	A11	N12	A7	A12	A14	N7	A6	N6	A13	
Generation:	176	Best fitness:	167.35646258503402	Average fitness:	211.6821768707483	Fitness standard deviation:	32.918031036909525	Best genome:	A8	A13	N9	A9	E4	N3	A11	N5	E3	N12	A7	A12	N7	A6	N6	A14	A10	E5	A15	A17	A16	
Generation:	192	Best fitness:	146.87074829931973	Average fitness:	211.0878911564626	Fitness standard deviation:	34.5828698895265	Best genome:	A9	E4	N3	A11	N5	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	208	Best fitness:	146.87074829931973	Average fitness:	219.96503401360542	Fitness standard deviation:	40.30047358814251	Best genome:	A9	E4	N3	A11	N5	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	224	Best fitness:	146.87074829931973	Average fitness:	187.93931972789116	Fitness standard deviation:	23.075390902563765	Best genome:	A9	E4	N3	A11	N5	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	240	Best fitness:	134.87074829931973	Average fitness:	183.35931972789118	Fitness standard deviation:	43.30080161392122	Best genome:	A9	N5	E4	N3	A11	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	256	Best fitness:	134.87074829931973	Average fitness:	184.08503401360548	Fitness standard deviation:	39.76043618616735	Best genome:	A9	N5	E4	N3	A11	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	272	Best fitness:	134.87074829931973	Average fitness:	193.1136054421769	Fitness standard deviation:	50.315433182340094	Best genome:	A9	N5	E4	N3	A11	E3	N12	N7	A6	N6	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	288	Best fitness:	129.87074829931973	Average fitness:	174.0878911564626	Fitness standard deviation:	32.664676546348204	Best genome:	A9	E4	N3	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	304	Best fitness:	129.87074829931973	Average fitness:	197.9421768707483	Fitness standard deviation:	28.643182043045083	Best genome:	A9	E4	N3	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	320	Best fitness:	124.87074829931973	Average fitness:	212.96503401360542	Fitness standard deviation:	45.65622214340739	Best genome:	A9	N3	E4	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	A16	A8	A13	N9	
Generation:	336	Best fitness:	124.78503401360544	Average fitness:	179.5678911564625	Fitness standard deviation:	42.315690533254006	Best genome:	A9	N3	E4	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	352	Best fitness:	124.78503401360544	Average fitness:	195.48217687074828	Fitness standard deviation:	45.78497962414829	Best genome:	A9	N3	E4	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	368	Best fitness:	124.78503401360544	Average fitness:	207.77360544217686	Fitness standard deviation:	42.18245345628721	Best genome:	A9	N3	E4	A11	E3	N12	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	384	Best fitness:	121.78503401360544	Average fitness:	167.12789115646257	Fitness standard deviation:	55.579071086670226	Best genome:	A9	N3	E4	A11	N12	E3	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	400	Best fitness:	121.78503401360544	Average fitness:	240.73074829931974	Fitness standard deviation:	51.63535325842605	Best genome:	A9	N3	E4	A11	N12	E3	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	416	Best fitness:	121.78503401360544	Average fitness:	224.85074829931972	Fitness standard deviation:	45.570735417925974	Best genome:	A9	N3	E4	A11	N12	E3	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	432	Best fitness:	121.78503401360544	Average fitness:	201.216462585034	Fitness standard deviation:	36.37677763382029	Best genome:	A9	N3	E4	A11	N12	E3	N7	A6	N6	N5	A7	A12	A14	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	448	Best fitness:	113.78503401360544	Average fitness:	192.41074829931972	Fitness standard deviation:	43.431502626643756	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	464	Best fitness:	113.78503401360544	Average fitness:	175.696462585034	Fitness standard deviation:	36.86483961717452	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	480	Best fitness:	113.78503401360544	Average fitness:	169.74217687074827	Fitness standard deviation:	44.33332417779047	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	496	Best fitness:	113.78503401360544	Average fitness:	213.85931972789118	Fitness standard deviation:	40.782623750808376	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	512	Best fitness:	113.78503401360544	Average fitness:	184.0021768707483	Fitness standard deviation:	41.36159551653525	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	528	Best fitness:	113.78503401360544	Average fitness:	212.80789115646257	Fitness standard deviation:	46.053180971036305	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	544	Best fitness:	113.78503401360544	Average fitness:	221.07646258503405	Fitness standard deviation:	62.067028678514916	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	560	Best fitness:	96.75646258503401	Average fitness:	189.93360544217688	Fitness standard deviation:	59.33322956499372	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	576	Best fitness:	96.75646258503401	Average fitness:	214.53646258503403	Fitness standard deviation:	47.18825701379529	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	592	Best fitness:	96.75646258503401	Average fitness:	166.7393197278912	Fitness standard deviation:	42.02150702986775	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	608	Best fitness:	96.75646258503401	Average fitness:	158.51074829931977	Fitness standard deviation:	39.95529379244778	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	624	Best fitness:	96.75646258503401	Average fitness:	154.01074829931972	Fitness standard deviation:	44.080193062283236	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	640	Best fitness:	96.75646258503401	Average fitness:	173.36789115646258	Fitness standard deviation:	51.12554407674168	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	656	Best fitness:	96.75646258503401	Average fitness:	198.0336054421769	Fitness standard deviation:	72.30888284834381	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	672	Best fitness:	96.75646258503401	Average fitness:	186.65646258503403	Fitness standard deviation:	51.99215207654922	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	688	Best fitness:	96.75646258503401	Average fitness:	161.60789115646259	Fitness standard deviation:	30.446081615115688	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	704	Best fitness:	96.75646258503401	Average fitness:	176.85074829931975	Fitness standard deviation:	44.99832024075783	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	720	Best fitness:	96.75646258503401	Average fitness:	158.06503401360547	Fitness standard deviation:	42.04867111880163	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	736	Best fitness:	96.75646258503401	Average fitness:	183.09074829931976	Fitness standard deviation:	48.8199742494226	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	752	Best fitness:	96.75646258503401	Average fitness:	180.6678911564626	Fitness standard deviation:	48.02505375067374	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	768	Best fitness:	96.75646258503401	Average fitness:	184.41931972789115	Fitness standard deviation:	40.942448009121186	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	784	Best fitness:	96.75646258503401	Average fitness:	166.47646258503406	Fitness standard deviation:	37.638529542510675	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	800	Best fitness:	96.75646258503401	Average fitness:	169.14503401360548	Fitness standard deviation:	43.139044675446904	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	816	Best fitness:	96.75646258503401	Average fitness:	164.71931972789116	Fitness standard deviation:	43.17838849069128	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	832	Best fitness:	96.75646258503401	Average fitness:	165.8478911564626	Fitness standard deviation:	54.35874005537806	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	848	Best fitness:	96.75646258503401	Average fitness:	196.01646258503405	Fitness standard deviation:	47.78943004985303	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	864	Best fitness:	96.75646258503401	Average fitness:	198.5593197278912	Fitness standard deviation:	48.188133775180525	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	880	Best fitness:	96.75646258503401	Average fitness:	175.78217687074834	Fitness standard deviation:	70.05750576694629	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	896	Best fitness:	96.75646258503401	Average fitness:	179.53074829931975	Fitness standard deviation:	39.01784510624202	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	912	Best fitness:	96.75646258503401	Average fitness:	152.17074829931974	Fitness standard deviation:	42.39129723932322	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	928	Best fitness:	96.75646258503401	Average fitness:	188.19360544217687	Fitness standard deviation:	50.882557133148914	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	944	Best fitness:	96.75646258503401	Average fitness:	183.6678911564626	Fitness standard deviation:	48.6318488907281	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	960	Best fitness:	96.75646258503401	Average fitness:	174.35646258503402	Fitness standard deviation:	63.68964161446971	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	976	Best fitness:	96.75646258503401	Average fitness:	164.92503401360545	Fitness standard deviation:	49.57398832419424	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	992	Best fitness:	96.75646258503401	Average fitness:	220.38503401360543	Fitness standard deviation:	60.22373387999933	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1008	Best fitness:	96.75646258503401	Average fitness:	171.936462585034	Fitness standard deviation:	57.876616193768754	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1024	Best fitness:	96.75646258503401	Average fitness:	189.43931972789113	Fitness standard deviation:	49.21162041300275	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1040	Best fitness:	96.75646258503401	Average fitness:	180.80503401360548	Fitness standard deviation:	45.41441477535249	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1056	Best fitness:	96.75646258503401	Average fitness:	184.48503401360546	Fitness standard deviation:	57.94128097320879	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1072	Best fitness:	96.75646258503401	Average fitness:	181.0278911564626	Fitness standard deviation:	42.87724528541107	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1088	Best fitness:	96.75646258503401	Average fitness:	181.19360544217687	Fitness standard deviation:	57.65942095173863	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1104	Best fitness:	96.75646258503401	Average fitness:	188.47074829931975	Fitness standard deviation:	43.39801368538352	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1120	Best fitness:	96.75646258503401	Average fitness:	211.17646258503402	Fitness standard deviation:	61.18934821269039	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1136	Best fitness:	96.75646258503401	Average fitness:	178.27931972789116	Fitness standard deviation:	41.005769728422464	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1152	Best fitness:	96.75646258503401	Average fitness:	158.73360544217687	Fitness standard deviation:	30.858988833672672	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1168	Best fitness:	96.75646258503401	Average fitness:	188.70217687074827	Fitness standard deviation:	41.576094878020015	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1184	Best fitness:	96.75646258503401	Average fitness:	175.13646258503405	Fitness standard deviation:	60.22747498324284	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1200	Best fitness:	96.75646258503401	Average fitness:	185.0450340136055	Fitness standard deviation:	48.727893281707445	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1216	Best fitness:	96.75646258503401	Average fitness:	195.12503401360547	Fitness standard deviation:	55.0623475188419	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1232	Best fitness:	96.75646258503401	Average fitness:	185.57931972789115	Fitness standard deviation:	51.166102937354125	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1248	Best fitness:	96.75646258503401	Average fitness:	194.72217687074826	Fitness standard deviation:	47.45557716519348	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1264	Best fitness:	96.75646258503401	Average fitness:	169.69074829931975	Fitness standard deviation:	39.69592391556347	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1280	Best fitness:	96.75646258503401	Average fitness:	167.07074829931975	Fitness standard deviation:	47.00783434488254	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1296	Best fitness:	96.75646258503401	Average fitness:	203.57931972789117	Fitness standard deviation:	44.1775209252629	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1312	Best fitness:	96.75646258503401	Average fitness:	178.59074829931973	Fitness standard deviation:	37.40393038389502	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1328	Best fitness:	96.75646258503401	Average fitness:	168.5221768707483	Fitness standard deviation:	53.714861395091376	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1344	Best fitness:	96.75646258503401	Average fitness:	194.79931972789117	Fitness standard deviation:	52.480653383812175	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1360	Best fitness:	96.75646258503401	Average fitness:	162.8936054421769	Fitness standard deviation:	48.44610858195624	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1376	Best fitness:	96.75646258503401	Average fitness:	211.15074829931973	Fitness standard deviation:	82.57060286290064	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1392	Best fitness:	96.75646258503401	Average fitness:	214.40217687074832	Fitness standard deviation:	45.93286174140581	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1408	Best fitness:	96.75646258503401	Average fitness:	147.08503401360548	Fitness standard deviation:	41.469320353874195	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1424	Best fitness:	96.75646258503401	Average fitness:	181.44503401360544	Fitness standard deviation:	42.571450527319364	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1440	Best fitness:	96.75646258503401	Average fitness:	174.8593197278912	Fitness standard deviation:	37.83511208021524	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1456	Best fitness:	96.75646258503401	Average fitness:	151.9536054421769	Fitness standard deviation:	57.89291937953824	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1472	Best fitness:	96.75646258503401	Average fitness:	163.3821768707483	Fitness standard deviation:	31.569394763192495	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1488	Best fitness:	96.75646258503401	Average fitness:	146.41646258503403	Fitness standard deviation:	36.61897233257478	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
