Generation:	16	Best fitness:	246.47074829931972	Average fitness:	274.9821768707483	Fitness standard deviation:	17.897989626018383	Best genome:	A8	A16	A15	A9	N3	A12	N9	N6	E5	A7	A17	N7	E3	A10	N12	A11	N5	E4	A6	A14	A13	
Generation:	32	Best fitness:	240.49931972789116	Average fitness:	292.63931972789123	Fitness standard deviation:	32.370716043097616	Best genome:	A8	E5	A15	A12	A9	A16	N3	N9	A17	N7	E3	A10	N12	N6	E4	A6	A14	A11	N5	A7	A13	
Generation:	48	Best fitness:	203.35646258503402	Average fitness:	230.30503401360548	Fitness standard deviation:	27.756268054739103	Best genome:	A9	A8	N9	A17	N7	A6	A14	A11	E3	A10	N12	N6	E4	N5	A7	A13	E5	A15	A12	A16	N3	
Generation:	64	Best fitness:	168.32789115646258	Average fitness:	210.18503401360545	Fitness standard deviation:	46.88043497743456	Best genome:	A8	N9	A17	N7	A6	A14	A11	E3	A10	N12	N6	E4	N5	A7	A13	A16	E5	A15	A12	A9	N3	
Generation:	80	Best fitness:	160.87074829931973	Average fitness:	215.4278911564626	Fitness standard deviation:	37.33139894162521	Best genome:	A17	N7	A6	A14	A11	E3	A10	N12	N6	E4	N5	A7	A13	A16	E5	A15	A12	A9	N3	A8	N9	
Generation:	96	Best fitness:	157.38503401360543	Average fitness:	209.83360544217686	Fitness standard deviation:	30.025026432043294	Best genome:	A9	N3	A8	N9	A11	E3	A10	N12	N6	E4	N5	A7	A13	A16	E5	A15	A12	A17	N7	A6	A14	
Generation:	112	Best fitness:	155.78503401360544	Average fitness:	238.9678911564626	Fitness standard deviation:	40.66423831268724	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A13	A16	E5	A15	A12	A17	A8	N9	N7	A6	A14	
Generation:	128	Best fitness:	155.78503401360544	Average fitness:	223.1821768707483	Fitness standard deviation:	44.77208031251401	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A13	A16	E5	A15	A12	A17	A8	N9	N7	A6	A14	
Generation:	144	Best fitness:	146.69931972789115	Average fitness:	227.00503401360544	Fitness standard deviation:	73.54842475317517	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	160	Best fitness:	146.69931972789115	Average fitness:	213.07360544217687	Fitness standard deviation:	33.071483369285055	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	176	Best fitness:	146.69931972789115	Average fitness:	202.93074829931976	Fitness standard deviation:	51.276520385622334	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	192	Best fitness:	146.69931972789115	Average fitness:	224.41931972789115	Fitness standard deviation:	45.8541392874833	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	208	Best fitness:	146.69931972789115	Average fitness:	233.29931972789115	Fitness standard deviation:	50.29180157960588	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	224	Best fitness:	146.69931972789115	Average fitness:	208.7278911564626	Fitness standard deviation:	41.606585036113536	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
