Generation:	16	Best fitness:	186.69931972789115	Average fitness:	242.69931972789112	Fitness standard deviation:	35.722017448798226	Best genome:	A13	E5	N6	E3	N5	A6	A12	A14	N7	A10	N12	N3	A7	A17	N9	A16	A15	A8	A9	E4	A11	
Generation:	32	Best fitness:	186.61360544217686	Average fitness:	222.69931972789112	Fitness standard deviation:	32.041338095322665	Best genome:	A13	E5	N6	E3	N5	N7	A10	N12	N3	A7	A17	N9	A16	A15	A6	A12	A14	A8	A9	E4	A11	
Generation:	48	Best fitness:	181.61360544217686	Average fitness:	254.63074829931975	Fitness standard deviation:	36.75697395996953	Best genome:	A13	E3	N7	A10	N12	E5	N6	N5	N3	A7	A17	N9	A16	A15	A6	A12	A14	A8	A9	E4	A11	
Generation:	64	Best fitness:	181.61360544217686	Average fitness:	216.876462585034	Fitness standard deviation:	27.430011271732045	Best genome:	A13	E3	N7	A10	N12	E5	N6	N5	N3	A7	A17	N9	A16	A15	A6	A12	A14	A8	A9	E4	A11	
Generation:	80	Best fitness:	181.58503401360545	Average fitness:	247.65360544217688	Fitness standard deviation:	31.293197278615796	Best genome:	E3	N7	A10	N12	E5	N6	N5	N3	A7	A17	N9	A16	A15	A6	A12	A14	A8	A9	E4	A11	A13	
Generation:	96	Best fitness:	181.58503401360545	Average fitness:	240.236462585034	Fitness standard deviation:	38.49125593785515	Best genome:	E3	N7	A10	N12	E5	N6	N5	N3	A7	A17	N9	A16	A15	A6	A12	A14	A8	A9	E4	A11	A13	
Generation:	112	Best fitness:	177.556462585034	Average fitness:	230.73360544217684	Fitness standard deviation:	44.019269991814326	Best genome:	E5	A15	A12	N6	N5	N3	A7	A17	A13	N9	A16	A6	A14	A8	A9	E4	A11	E3	N7	A10	N12	
Generation:	128	Best fitness:	155.556462585034	Average fitness:	213.8821768707483	Fitness standard deviation:	41.84741027756408	Best genome:	E5	A15	A12	N6	N5	N3	A7	A17	A13	N9	A16	A8	A9	E4	A11	N7	A10	N12	E3	A6	A14	
Generation:	144	Best fitness:	155.556462585034	Average fitness:	207.67931972789114	Fitness standard deviation:	42.387081301081466	Best genome:	E5	A15	A12	N6	N5	N3	A7	A17	A13	N9	A16	A8	A9	E4	A11	N7	A10	N12	E3	A6	A14	
Generation:	160	Best fitness:	155.556462585034	Average fitness:	207.36503401360545	Fitness standard deviation:	41.415590182974356	Best genome:	E5	A15	A12	N6	N5	N3	A7	A17	A13	N9	A16	A8	A9	E4	A11	N7	A10	N12	E3	A6	A14	
Generation:	176	Best fitness:	146.41360544217687	Average fitness:	198.73931972789117	Fitness standard deviation:	40.69272451644678	Best genome:	E5	A15	A17	A13	N9	A16	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	A8	
Generation:	192	Best fitness:	146.41360544217687	Average fitness:	211.56217687074832	Fitness standard deviation:	41.77434384980371	Best genome:	E5	A15	A17	A13	N9	A16	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	A8	
Generation:	208	Best fitness:	141.81360544217688	Average fitness:	212.47931972789115	Fitness standard deviation:	33.417553862041565	Best genome:	E5	A15	A17	A13	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	N9	A16	A8	
Generation:	224	Best fitness:	141.81360544217688	Average fitness:	204.76217687074828	Fitness standard deviation:	36.220737774070244	Best genome:	E5	A15	A17	A13	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	N9	A16	A8	
