Generation:	16	Best fitness:	236.69931972789115	Average fitness:	274.65360544217685	Fitness standard deviation:	25.026288871781965	Best genome:	A10	N6	E3	A12	E5	A9	A6	N7	E4	N5	A7	A11	N12	A8	N9	A15	A14	A17	A13	A16	N3	
Generation:	32	Best fitness:	190.4421768707483	Average fitness:	273.27646258503404	Fitness standard deviation:	45.990254158365126	Best genome:	A9	A11	N12	E5	A8	N9	A15	A10	N6	A14	A17	N3	N5	E3	N7	A6	A13	A16	E4	A7	A12	
Generation:	48	Best fitness:	190.4421768707483	Average fitness:	233.83646258503404	Fitness standard deviation:	24.277813168506306	Best genome:	A9	A11	N12	E5	A8	N9	A15	A10	N6	A14	A17	N3	N5	E3	N7	A6	A13	A16	E4	A7	A12	
Generation:	64	Best fitness:	184.7278911564626	Average fitness:	241.276462585034	Fitness standard deviation:	20.948184081837038	Best genome:	A9	A11	N12	E5	E3	N6	A15	A10	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	80	Best fitness:	184.7278911564626	Average fitness:	261.2536054421769	Fitness standard deviation:	43.09154602442931	Best genome:	A9	A11	N12	E5	E3	N6	A15	A10	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	96	Best fitness:	165.7278911564626	Average fitness:	241.3821768707483	Fitness standard deviation:	37.946999451167926	Best genome:	A9	A11	N12	E5	N6	A10	E3	A15	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	112	Best fitness:	165.7278911564626	Average fitness:	206.0307482993197	Fitness standard deviation:	34.742615600664124	Best genome:	A9	A11	N12	E5	N6	A10	E3	A15	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	128	Best fitness:	165.7278911564626	Average fitness:	229.50789115646256	Fitness standard deviation:	50.86706973743886	Best genome:	A9	A11	N12	E5	N6	A10	E3	A15	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	144	Best fitness:	165.7278911564626	Average fitness:	234.65360544217688	Fitness standard deviation:	30.892847597025774	Best genome:	A9	A11	N12	E5	N6	A10	E3	A15	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	160	Best fitness:	165.7278911564626	Average fitness:	221.60503401360543	Fitness standard deviation:	40.33920066392096	Best genome:	A9	A11	N12	E5	N6	A10	E3	A15	A14	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	176	Best fitness:	154.7278911564626	Average fitness:	187.96217687074835	Fitness standard deviation:	29.902305692275394	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
