Generation:	16	Best fitness:	232.8421768707483	Average fitness:	338.63874829931973	Fitness standard deviation:	38.55134509525006	Best genome:	A9	N3	A11	A14	N7	E4	A7	A10	A16	A6	N6	N12	E3	A17	A12	N5	E5	A15	A8	N9	A13	
Generation:	32	Best fitness:	221.58503401360545	Average fitness:	338.4250340136054	Fitness standard deviation:	32.51968672188888	Best genome:	A9	N3	A11	A14	N7	E4	A7	A15	A10	A16	N9	N5	N12	E3	A6	A17	A12	N6	E5	A8	A13	
Generation:	48	Best fitness:	221.58503401360545	Average fitness:	335.485319727891	Fitness standard deviation:	33.460847054918574	Best genome:	A9	N3	A11	A14	N7	E4	A7	A15	A10	A16	N9	N5	N12	E3	A6	A17	A12	N6	E5	A8	A13	
Generation:	64	Best fitness:	214.556462585034	Average fitness:	339.2121768707483	Fitness standard deviation:	36.059742350262944	Best genome:	A9	N3	A11	A14	N7	E4	A7	A15	A10	N9	A16	N5	N12	E3	A6	A17	A12	N6	E5	A8	A13	
Generation:	80	Best fitness:	204.556462585034	Average fitness:	337.6644625850339	Fitness standard deviation:	39.65143157309605	Best genome:	A9	N3	A11	A14	N7	A10	A7	E4	A15	N9	A16	N5	N12	E3	A6	A17	A12	N6	E5	A8	A13	
Generation:	96	Best fitness:	204.556462585034	Average fitness:	342.98103401360527	Fitness standard deviation:	32.990161308845906	Best genome:	A9	N3	A11	A14	N7	A10	A7	E4	A15	N9	A16	N5	N12	E3	A6	A17	A12	N6	E5	A8	A13	
Generation:	112	Best fitness:	185.47074829931972	Average fitness:	336.25874829931956	Fitness standard deviation:	34.97708945312981	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
Generation:	128	Best fitness:	185.47074829931972	Average fitness:	340.8684625850339	Fitness standard deviation:	37.1915537218452	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
Generation:	144	Best fitness:	185.47074829931972	Average fitness:	336.13874829931973	Fitness standard deviation:	36.58170877387122	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
Generation:	160	Best fitness:	185.47074829931972	Average fitness:	337.4527482993198	Fitness standard deviation:	39.199816046007356	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
Generation:	176	Best fitness:	185.47074829931972	Average fitness:	332.4513197278912	Fitness standard deviation:	38.0963986470841	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
