Generation:	16	Best fitness:	224.87074829931973	Average fitness:	338.520462585034	Fitness standard deviation:	33.70646946198662	Best genome:	E5	A13	A16	N7	A10	N12	E4	E3	A15	A7	A12	N6	A14	A11	A8	A9	N3	N5	A6	A17	N9	
Generation:	32	Best fitness:	224.41360544217687	Average fitness:	340.06503401360555	Fitness standard deviation:	34.62918127704389	Best genome:	E3	E5	A15	A7	N9	A9	N3	A6	A14	N5	E4	A11	A8	A17	A13	A16	N7	A10	N12	N6	A12	
Generation:	48	Best fitness:	224.41360544217687	Average fitness:	338.0913197278912	Fitness standard deviation:	36.976198650107946	Best genome:	E3	E5	A15	A7	N9	A9	N3	A6	A14	N5	E4	A11	A8	A17	A13	A16	N7	A10	N12	N6	A12	
Generation:	64	Best fitness:	214.32789115646258	Average fitness:	330.45360544217675	Fitness standard deviation:	33.524467823623134	Best genome:	A7	N9	A9	N3	N5	E4	A11	A8	A17	A14	A12	N6	A6	E3	A13	A16	N7	A10	N12	E5	A15	
Generation:	80	Best fitness:	204.29931972789115	Average fitness:	337.120462585034	Fitness standard deviation:	37.51263484997762	Best genome:	N9	A9	N3	N5	E4	A11	A17	A14	A12	N6	A6	E3	A13	A16	N7	A10	N12	A8	E5	A15	A7	
Generation:	96	Best fitness:	185.29931972789115	Average fitness:	331.488462585034	Fitness standard deviation:	39.06627853862129	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	N6	E3	A11	A13	A16	N7	A10	N12	A8	E5	A15	A7	
Generation:	112	Best fitness:	185.29931972789115	Average fitness:	339.22446258503413	Fitness standard deviation:	35.40300016803603	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	N6	E3	A11	A13	A16	N7	A10	N12	A8	E5	A15	A7	
Generation:	128	Best fitness:	185.29931972789115	Average fitness:	345.13789115646273	Fitness standard deviation:	38.18900672567797	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	N6	E3	A11	A13	A16	N7	A10	N12	A8	E5	A15	A7	
Generation:	144	Best fitness:	177.29931972789115	Average fitness:	332.9898911564626	Fitness standard deviation:	39.681396053247596	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A16	A13	A11	N7	N6	A10	A8	E5	A15	E3	N12	A7	
Generation:	160	Best fitness:	177.29931972789115	Average fitness:	330.20389115646253	Fitness standard deviation:	42.658035627438785	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A16	A13	A11	N7	N6	A10	A8	E5	A15	E3	N12	A7	
Generation:	176	Best fitness:	169.29931972789115	Average fitness:	330.33931972789105	Fitness standard deviation:	42.30776606472806	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A16	A13	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
