Generation:	16	Best fitness:	231.87074829931973	Average fitness:	340.3450340136057	Fitness standard deviation:	32.6915344468533	Best genome:	A9	N6	A15	A13	N3	N7	N12	E3	A11	A7	A10	A12	E4	N5	A14	A6	A17	A16	E5	A8	N9	
Generation:	32	Best fitness:	206.81360544217688	Average fitness:	343.198462585034	Fitness standard deviation:	30.621273238967547	Best genome:	N7	N12	E4	N3	E3	N6	A10	E5	A6	A17	A9	A11	N5	A7	A14	A12	A16	A13	N9	A15	A8	
Generation:	48	Best fitness:	206.81360544217688	Average fitness:	335.7887482993199	Fitness standard deviation:	36.141135510661535	Best genome:	N7	N12	E4	N3	E3	N6	A10	E5	A6	A17	A9	A11	N5	A7	A14	A12	A16	A13	N9	A15	A8	
Generation:	64	Best fitness:	189.4421768707483	Average fitness:	336.54931972789103	Fitness standard deviation:	37.164821939515846	Best genome:	A13	A16	N3	E4	A7	N9	E3	N6	N12	N7	A15	A17	A14	A8	A9	A11	A6	A12	N5	A10	E5	
Generation:	80	Best fitness:	189.4421768707483	Average fitness:	336.0476054421768	Fitness standard deviation:	38.7466183793726	Best genome:	A13	A16	N3	E4	A7	N9	E3	N6	N12	N7	A15	A17	A14	A8	A9	A11	A6	A12	N5	A10	E5	
Generation:	96	Best fitness:	189.4421768707483	Average fitness:	334.9721768707483	Fitness standard deviation:	38.62107479560023	Best genome:	A13	A16	N3	E4	A7	N9	E3	N6	N12	N7	A15	A17	A14	A8	A9	A11	A6	A12	N5	A10	E5	
Generation:	112	Best fitness:	183.4421768707483	Average fitness:	337.3601768707483	Fitness standard deviation:	39.44951941560821	Best genome:	A13	A16	N3	E4	A7	N9	N12	E3	N6	N7	A15	A17	A14	A8	A9	A11	A6	A12	N5	A10	E5	
Generation:	128	Best fitness:	183.4421768707483	Average fitness:	341.89760544217677	Fitness standard deviation:	38.55225424362765	Best genome:	A13	A16	N3	E4	A7	N9	N12	E3	N6	N7	A15	A17	A14	A8	A9	A11	A6	A12	N5	A10	E5	
Generation:	144	Best fitness:	177.41360544217687	Average fitness:	337.25903401360557	Fitness standard deviation:	36.60979128426644	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	160	Best fitness:	177.41360544217687	Average fitness:	329.2647482993197	Fitness standard deviation:	39.399112037025944	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	176	Best fitness:	177.41360544217687	Average fitness:	341.5856054421767	Fitness standard deviation:	38.353067829293224	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	192	Best fitness:	177.41360544217687	Average fitness:	336.71646258503404	Fitness standard deviation:	36.97292754744438	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	208	Best fitness:	177.41360544217687	Average fitness:	339.68189115646237	Fitness standard deviation:	39.530085859780684	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	224	Best fitness:	177.41360544217687	Average fitness:	338.43531972789117	Fitness standard deviation:	36.54415771616133	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	240	Best fitness:	177.41360544217687	Average fitness:	338.44874829931973	Fitness standard deviation:	41.46038696670076	Best genome:	A15	A14	A17	A9	N9	A13	E5	E3	N7	N6	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	256	Best fitness:	165.38503401360543	Average fitness:	331.18760544217685	Fitness standard deviation:	38.05723575599987	Best genome:	A15	A14	A17	N9	A13	A9	N7	N6	E3	E5	N5	A11	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	272	Best fitness:	162.38503401360543	Average fitness:	343.98789115646264	Fitness standard deviation:	39.77595858848222	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	288	Best fitness:	162.38503401360543	Average fitness:	331.32331972789126	Fitness standard deviation:	42.04577655414175	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	304	Best fitness:	162.38503401360543	Average fitness:	333.2050340136054	Fitness standard deviation:	38.96838540694866	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
