Generation:	16	Best fitness:	229.52789115646257	Average fitness:	339.0758911564626	Fitness standard deviation:	37.00448012148292	Best genome:	A13	A15	A16	E4	N5	A11	E3	N3	N9	A9	A7	A14	A17	A12	A10	A8	N6	N7	E5	N12	A6	
Generation:	32	Best fitness:	196.32789115646258	Average fitness:	343.1047482993196	Fitness standard deviation:	35.595374772918035	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	E3	A10	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	48	Best fitness:	188.32789115646258	Average fitness:	334.31131972789115	Fitness standard deviation:	40.94488524136527	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	64	Best fitness:	188.32789115646258	Average fitness:	329.7104625850341	Fitness standard deviation:	40.077400399420995	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	80	Best fitness:	188.32789115646258	Average fitness:	341.18131972789115	Fitness standard deviation:	37.18185483621311	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	96	Best fitness:	188.32789115646258	Average fitness:	344.17817687074836	Fitness standard deviation:	39.39701638345685	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	112	Best fitness:	188.32789115646258	Average fitness:	337.35246258503406	Fitness standard deviation:	36.13916119329697	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	128	Best fitness:	188.32789115646258	Average fitness:	331.2133197278913	Fitness standard deviation:	32.21691417721505	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	144	Best fitness:	188.32789115646258	Average fitness:	333.78646258503403	Fitness standard deviation:	37.93480710107695	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	160	Best fitness:	188.32789115646258	Average fitness:	325.7118911564627	Fitness standard deviation:	42.50690629504235	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	N7	A7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	176	Best fitness:	185.32789115646258	Average fitness:	340.52074829931973	Fitness standard deviation:	38.01043903337877	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	192	Best fitness:	185.32789115646258	Average fitness:	348.32074829931975	Fitness standard deviation:	38.32273697673164	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	208	Best fitness:	185.32789115646258	Average fitness:	333.0730340136054	Fitness standard deviation:	35.975281237005404	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	224	Best fitness:	185.32789115646258	Average fitness:	331.0976054421769	Fitness standard deviation:	39.20634097402394	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	240	Best fitness:	185.32789115646258	Average fitness:	337.4898911564626	Fitness standard deviation:	38.24642825633979	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	256	Best fitness:	185.32789115646258	Average fitness:	337.0541768707482	Fitness standard deviation:	36.31923764820703	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	272	Best fitness:	185.32789115646258	Average fitness:	337.3824625850341	Fitness standard deviation:	37.24788011390167	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	288	Best fitness:	185.32789115646258	Average fitness:	329.2390340136054	Fitness standard deviation:	34.58991333334276	Best genome:	A13	N9	A9	N3	A8	A15	N6	A7	A17	A14	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	304	Best fitness:	180.32789115646258	Average fitness:	334.97874829931965	Fitness standard deviation:	37.17997740281009	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	320	Best fitness:	180.32789115646258	Average fitness:	336.1310340136053	Fitness standard deviation:	40.122077365999694	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	336	Best fitness:	180.32789115646258	Average fitness:	334.04360544217684	Fitness standard deviation:	39.04203833232657	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	352	Best fitness:	180.32789115646258	Average fitness:	337.7410340136055	Fitness standard deviation:	37.77364688104497	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	368	Best fitness:	180.32789115646258	Average fitness:	330.64046258503396	Fitness standard deviation:	38.37449510563292	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	384	Best fitness:	180.32789115646258	Average fitness:	341.60389115646257	Fitness standard deviation:	34.723775356668924	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	E5	N12	A6	A12	A16	E4	N5	A11	
Generation:	400	Best fitness:	177.32789115646258	Average fitness:	335.7981768707483	Fitness standard deviation:	36.427162195711226	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	416	Best fitness:	177.32789115646258	Average fitness:	341.342462585034	Fitness standard deviation:	38.06212526265716	Best genome:	A13	N9	A9	N3	A8	A15	A17	A14	N6	A7	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	432	Best fitness:	176.32789115646258	Average fitness:	334.4147482993196	Fitness standard deviation:	39.91762557250793	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	448	Best fitness:	176.32789115646258	Average fitness:	336.9630340136053	Fitness standard deviation:	37.78638905257623	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	464	Best fitness:	176.32789115646258	Average fitness:	333.5693197278913	Fitness standard deviation:	38.08253515292108	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	480	Best fitness:	176.32789115646258	Average fitness:	340.2790340136055	Fitness standard deviation:	36.269670085094965	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	496	Best fitness:	176.32789115646258	Average fitness:	336.4184625850339	Fitness standard deviation:	37.83072049463051	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	512	Best fitness:	176.32789115646258	Average fitness:	337.2718911564626	Fitness standard deviation:	42.474559957600945	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	528	Best fitness:	176.32789115646258	Average fitness:	335.506462585034	Fitness standard deviation:	38.73399000403461	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	544	Best fitness:	176.32789115646258	Average fitness:	334.684462585034	Fitness standard deviation:	39.39282115890081	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	560	Best fitness:	176.32789115646258	Average fitness:	340.93246258503393	Fitness standard deviation:	38.430314080508516	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	576	Best fitness:	176.32789115646258	Average fitness:	339.0107482993198	Fitness standard deviation:	39.66411990909751	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	A16	E5	N12	A6	A12	E4	N5	A11	
Generation:	592	Best fitness:	165.32789115646258	Average fitness:	341.69760544217684	Fitness standard deviation:	38.55643514303125	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	N12	A6	A12	A16	E5	E4	N5	A11	
Generation:	608	Best fitness:	165.32789115646258	Average fitness:	333.08074829931974	Fitness standard deviation:	37.602707973479454	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	N12	A6	A12	A16	E5	E4	N5	A11	
Generation:	624	Best fitness:	165.32789115646258	Average fitness:	334.79074829931966	Fitness standard deviation:	41.35318895483992	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	N12	A6	A12	A16	E5	E4	N5	A11	
Generation:	640	Best fitness:	165.32789115646258	Average fitness:	332.7670340136055	Fitness standard deviation:	35.10313100867563	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N6	N7	A10	E3	N12	A6	A12	A16	E5	E4	N5	A11	
Generation:	656	Best fitness:	162.32789115646258	Average fitness:	334.8784625850341	Fitness standard deviation:	44.03739743834616	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	N6	A10	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	672	Best fitness:	162.32789115646258	Average fitness:	332.50589115646255	Fitness standard deviation:	42.28424743691346	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	N6	A10	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	688	Best fitness:	160.32789115646258	Average fitness:	337.4550340136054	Fitness standard deviation:	42.04063716773793	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	704	Best fitness:	160.32789115646258	Average fitness:	336.12731972789123	Fitness standard deviation:	38.219406968989254	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	720	Best fitness:	160.32789115646258	Average fitness:	336.57046258503414	Fitness standard deviation:	42.89776008519012	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	736	Best fitness:	160.32789115646258	Average fitness:	336.6013197278911	Fitness standard deviation:	40.96223910792345	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	752	Best fitness:	160.32789115646258	Average fitness:	332.75989115646263	Fitness standard deviation:	40.176220254762434	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	768	Best fitness:	160.32789115646258	Average fitness:	326.8550340136054	Fitness standard deviation:	38.62052481174607	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	784	Best fitness:	160.32789115646258	Average fitness:	332.88674829931983	Fitness standard deviation:	40.56650942411908	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	N6	N12	E3	A6	A12	A16	E5	E4	N5	A11	
Generation:	800	Best fitness:	157.32789115646258	Average fitness:	331.01360544217687	Fitness standard deviation:	40.90049508207918	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	816	Best fitness:	157.32789115646258	Average fitness:	334.2073197278912	Fitness standard deviation:	42.74208146354987	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	832	Best fitness:	157.32789115646258	Average fitness:	335.43131972789104	Fitness standard deviation:	42.07620778675623	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	848	Best fitness:	157.32789115646258	Average fitness:	338.4538911564625	Fitness standard deviation:	41.008896216527944	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	864	Best fitness:	157.32789115646258	Average fitness:	337.7816054421769	Fitness standard deviation:	40.16355120488918	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	880	Best fitness:	157.32789115646258	Average fitness:	331.84674829931964	Fitness standard deviation:	39.117417535060326	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	896	Best fitness:	157.32789115646258	Average fitness:	332.98017687074827	Fitness standard deviation:	44.85197368851344	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	912	Best fitness:	157.32789115646258	Average fitness:	332.9798911564626	Fitness standard deviation:	43.80537202728656	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	928	Best fitness:	157.32789115646258	Average fitness:	332.5970340136054	Fitness standard deviation:	40.59795735889043	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	944	Best fitness:	157.32789115646258	Average fitness:	333.40989115646255	Fitness standard deviation:	41.69008469305724	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
