Generation:	16	Best fitness:	217.8421768707483	Average fitness:	334.6158911564627	Fitness standard deviation:	31.50836459852318	Best genome:	A9	N3	E4	N12	E3	A6	A12	N5	A17	A16	A8	A14	A7	A11	N7	A10	N6	E5	A15	N9	A13	
Generation:	32	Best fitness:	210.87074829931973	Average fitness:	342.28046258503394	Fitness standard deviation:	41.75478918541402	Best genome:	A16	A15	A17	A12	A14	A10	E3	A6	N7	E5	A11	N12	N5	E4	A8	A13	N3	A9	N6	A7	N9	
Generation:	48	Best fitness:	189.87074829931973	Average fitness:	333.7513197278911	Fitness standard deviation:	36.456554939281034	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	64	Best fitness:	189.87074829931973	Average fitness:	341.950462585034	Fitness standard deviation:	39.30814077703166	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	80	Best fitness:	189.87074829931973	Average fitness:	337.25246258503415	Fitness standard deviation:	41.637959431661066	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	96	Best fitness:	189.87074829931973	Average fitness:	337.25960544217685	Fitness standard deviation:	35.47985686532111	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	112	Best fitness:	189.87074829931973	Average fitness:	328.2744625850339	Fitness standard deviation:	39.642692232346825	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	128	Best fitness:	189.87074829931973	Average fitness:	332.8016054421769	Fitness standard deviation:	37.84644877094056	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	144	Best fitness:	189.87074829931973	Average fitness:	333.94131972789114	Fitness standard deviation:	35.306280057664026	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	160	Best fitness:	189.87074829931973	Average fitness:	335.9453197278911	Fitness standard deviation:	39.63680517923117	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	176	Best fitness:	189.87074829931973	Average fitness:	332.65246258503396	Fitness standard deviation:	41.71159884106039	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
