Generation:	16	Best fitness:	245.32789115646258	Average fitness:	324.786462585034	Fitness standard deviation:	41.11225893445746	Best genome:	A16	N9	N3	A7	A12	A9	N6	A17	A10	N12	A8	E3	E5	N5	E4	N7	A11	A6	A15	A14	A13	
Generation:	32	Best fitness:	235.41360544217687	Average fitness:	297.6293197278912	Fitness standard deviation:	26.247390501976863	Best genome:	N3	A7	N12	A8	N9	A17	A9	A10	N6	A15	E3	E5	N5	E4	A11	N7	A12	A6	A14	A13	A16	
Generation:	48	Best fitness:	228.52789115646257	Average fitness:	315.9693197278911	Fitness standard deviation:	38.95982595925591	Best genome:	N3	A7	N12	E5	E3	A17	A10	A8	N9	A9	N6	A15	N5	E4	A11	N7	A12	A6	A14	A13	A16	
Generation:	64	Best fitness:	228.52789115646257	Average fitness:	313.84789115646265	Fitness standard deviation:	34.94159628609442	Best genome:	N3	A7	N12	E5	E3	A17	A10	A8	N9	A9	N6	A15	N5	E4	A11	N7	A12	A6	A14	A13	A16	
Generation:	80	Best fitness:	195.52789115646257	Average fitness:	293.20931972789117	Fitness standard deviation:	41.70643397239662	Best genome:	N3	A7	A10	N12	E5	A17	E3	A8	N9	A9	N6	E4	N5	A11	A15	N7	A6	A12	A14	A13	A16	
Generation:	96	Best fitness:	174.556462585034	Average fitness:	277.8736054421768	Fitness standard deviation:	38.87540421733547	Best genome:	N3	A7	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	
Generation:	112	Best fitness:	174.49931972789116	Average fitness:	296.93789115646257	Fitness standard deviation:	51.24863783157399	Best genome:	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	N3	A7	
Generation:	128	Best fitness:	174.49931972789116	Average fitness:	285.62789115646257	Fitness standard deviation:	53.64927943293805	Best genome:	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	N3	A7	
Generation:	144	Best fitness:	174.49931972789116	Average fitness:	284.06074829931976	Fitness standard deviation:	43.5603660663766	Best genome:	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	N3	A7	
Generation:	160	Best fitness:	174.49931972789116	Average fitness:	288.90931972789116	Fitness standard deviation:	46.627171963417666	Best genome:	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	N3	A7	
Generation:	176	Best fitness:	174.49931972789116	Average fitness:	278.1750340136054	Fitness standard deviation:	39.185078662622566	Best genome:	A16	E5	N12	A17	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	A13	N3	A7	
