Generation:	16	Best fitness:	241.7278911564626	Average fitness:	319.9878911564626	Fitness standard deviation:	33.99325371245276	Best genome:	E5	E3	N12	A12	A13	A11	N6	A8	A16	A9	A6	A14	A10	A15	N7	N9	A17	N3	E4	N5	A7	
Generation:	32	Best fitness:	230.4421768707483	Average fitness:	284.5778911564626	Fitness standard deviation:	37.919871345471925	Best genome:	A9	A6	A14	A10	A15	N9	A17	N5	A7	A12	N6	E5	N7	E4	A11	E3	A13	A16	N3	N12	A8	
Generation:	48	Best fitness:	230.4421768707483	Average fitness:	316.5150340136055	Fitness standard deviation:	40.55285336849345	Best genome:	A9	A6	A14	A10	A15	N9	A17	N5	A7	A12	N6	E5	N7	E4	A11	E3	A13	A16	N3	N12	A8	
Generation:	64	Best fitness:	230.4421768707483	Average fitness:	295.19074829931975	Fitness standard deviation:	31.282240642125313	Best genome:	A9	A6	A14	A10	A15	N9	A17	N5	A7	A12	N6	E5	N7	E4	A11	E3	A13	A16	N3	N12	A8	
Generation:	80	Best fitness:	187.67074829931974	Average fitness:	278.8236054421768	Fitness standard deviation:	44.29542683816818	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	A11	E3	N3	N12	A8	N9	A13	A15	A6	A14	A10	A17	A12	
Generation:	96	Best fitness:	177.69931972789115	Average fitness:	277.59931972789116	Fitness standard deviation:	49.624322130773486	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	A11	E3	N3	N12	A8	A13	N9	A15	A17	A6	A14	A10	A12	
Generation:	112	Best fitness:	169.69931972789115	Average fitness:	290.2850340136054	Fitness standard deviation:	57.563419861249116	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	N3	E3	A11	N12	A8	A13	N9	A15	A17	A6	A14	A10	A12	
Generation:	128	Best fitness:	169.69931972789115	Average fitness:	277.566462585034	Fitness standard deviation:	47.64036898621648	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	N3	E3	A11	N12	A8	A13	N9	A15	A17	A6	A14	A10	A12	
Generation:	144	Best fitness:	169.69931972789115	Average fitness:	273.4336054421768	Fitness standard deviation:	50.833017632564896	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	N3	E3	A11	N12	A8	A13	N9	A15	A17	A6	A14	A10	A12	
Generation:	160	Best fitness:	169.69931972789115	Average fitness:	273.71931972789116	Fitness standard deviation:	43.257260898121636	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	N3	E3	A11	N12	A8	A13	N9	A15	A17	A6	A14	A10	A12	
Generation:	176	Best fitness:	165.69931972789115	Average fitness:	267.03503401360535	Fitness standard deviation:	44.68642753815133	Best genome:	A9	N5	A7	A16	E5	N6	N7	E4	N3	E3	A11	N12	A8	A13	N9	A15	A17	A6	A12	A14	A10	
