Generation:	16	Best fitness:	245.35646258503402	Average fitness:	311.9336054421768	Fitness standard deviation:	42.296409458265174	Best genome:	E5	E3	N9	A8	A9	A16	E4	N5	N12	N3	A7	A14	A11	A10	A15	A17	A12	N7	N6	A6	A13	
Generation:	32	Best fitness:	200.29931972789115	Average fitness:	305.97503401360547	Fitness standard deviation:	56.40928080754523	Best genome:	N9	A8	A16	E5	A9	N3	N12	E4	N5	A7	A14	A11	N7	N6	A6	A13	E3	A10	A15	A17	A12	
Generation:	48	Best fitness:	182.78503401360544	Average fitness:	295.87503401360544	Fitness standard deviation:	40.14615876102352	Best genome:	A9	N3	N12	N5	A11	E4	A7	N7	N6	A6	A14	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	64	Best fitness:	181.78503401360544	Average fitness:	284.2978911564626	Fitness standard deviation:	48.33564238209518	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	80	Best fitness:	181.78503401360544	Average fitness:	289.0221768707483	Fitness standard deviation:	41.0885207664563	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	96	Best fitness:	181.78503401360544	Average fitness:	280.70789115646267	Fitness standard deviation:	40.04477708052039	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	112	Best fitness:	181.78503401360544	Average fitness:	281.58931972789117	Fitness standard deviation:	47.36073657986915	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	128	Best fitness:	181.78503401360544	Average fitness:	296.9578911564626	Fitness standard deviation:	47.03516919089722	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	144	Best fitness:	181.78503401360544	Average fitness:	275.9578911564626	Fitness standard deviation:	50.400995677725675	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	160	Best fitness:	181.78503401360544	Average fitness:	293.6807482993198	Fitness standard deviation:	36.30112976821768	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	176	Best fitness:	181.78503401360544	Average fitness:	282.48074829931977	Fitness standard deviation:	49.07617924602277	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	192	Best fitness:	181.78503401360544	Average fitness:	289.58074829931974	Fitness standard deviation:	51.998975872960564	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	208	Best fitness:	181.78503401360544	Average fitness:	292.1221768707483	Fitness standard deviation:	49.73992081265287	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	224	Best fitness:	181.78503401360544	Average fitness:	287.2750340136055	Fitness standard deviation:	56.2063786597288	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	240	Best fitness:	181.78503401360544	Average fitness:	280.15217687074835	Fitness standard deviation:	45.94196718665398	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	256	Best fitness:	181.78503401360544	Average fitness:	309.23217687074833	Fitness standard deviation:	49.511781549898785	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	272	Best fitness:	181.78503401360544	Average fitness:	289.64931972789117	Fitness standard deviation:	55.385053516821884	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	288	Best fitness:	181.78503401360544	Average fitness:	295.63074829931975	Fitness standard deviation:	43.107459840235904	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	304	Best fitness:	181.78503401360544	Average fitness:	286.1650340136055	Fitness standard deviation:	48.48776837133931	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	320	Best fitness:	181.78503401360544	Average fitness:	285.8421768707484	Fitness standard deviation:	33.883726754527906	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	336	Best fitness:	181.78503401360544	Average fitness:	283.89360544217686	Fitness standard deviation:	49.68672109388206	Best genome:	A9	N3	N12	N5	A11	N7	N6	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	352	Best fitness:	173.78503401360544	Average fitness:	282.0250340136054	Fitness standard deviation:	41.718646934444266	Best genome:	A9	N3	N12	N5	A11	N6	N7	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	368	Best fitness:	173.78503401360544	Average fitness:	292.6278911564626	Fitness standard deviation:	45.360108789417104	Best genome:	A9	N3	N12	N5	A11	N6	N7	A6	A14	E4	A7	A13	E3	A10	A15	A17	A12	N9	A8	A16	E5	
Generation:	384	Best fitness:	167.78503401360544	Average fitness:	295.3321768707483	Fitness standard deviation:	51.043227998332895	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	400	Best fitness:	167.78503401360544	Average fitness:	287.08789115646255	Fitness standard deviation:	49.66909062249183	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	416	Best fitness:	167.78503401360544	Average fitness:	275.8193197278912	Fitness standard deviation:	44.35615282999137	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	432	Best fitness:	167.78503401360544	Average fitness:	283.4993197278912	Fitness standard deviation:	55.033413227134766	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	448	Best fitness:	167.78503401360544	Average fitness:	280.5121768707483	Fitness standard deviation:	50.27013027593208	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	464	Best fitness:	167.78503401360544	Average fitness:	266.25646258503406	Fitness standard deviation:	42.08496507916201	Best genome:	A9	N3	N5	A11	N7	E4	A7	A13	E3	A10	N6	A6	A14	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	480	Best fitness:	162.78503401360544	Average fitness:	269.91503401360546	Fitness standard deviation:	50.870575653779845	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	496	Best fitness:	162.78503401360544	Average fitness:	277.616462585034	Fitness standard deviation:	46.783985486052636	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	512	Best fitness:	162.78503401360544	Average fitness:	294.5378911564626	Fitness standard deviation:	51.994670272391325	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	528	Best fitness:	162.78503401360544	Average fitness:	270.67217687074833	Fitness standard deviation:	43.963012723823894	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	N12	A15	A17	A12	N9	A8	A16	E5	
Generation:	544	Best fitness:	162.756462585034	Average fitness:	254.23646258503405	Fitness standard deviation:	45.74131218948935	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	560	Best fitness:	162.756462585034	Average fitness:	278.2478911564626	Fitness standard deviation:	45.51758538841704	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	576	Best fitness:	162.756462585034	Average fitness:	274.0478911564625	Fitness standard deviation:	40.15517208153838	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	592	Best fitness:	162.756462585034	Average fitness:	289.9536054421768	Fitness standard deviation:	50.82538165531237	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	608	Best fitness:	162.756462585034	Average fitness:	274.61217687074827	Fitness standard deviation:	45.70356077317104	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	624	Best fitness:	162.756462585034	Average fitness:	274.08789115646266	Fitness standard deviation:	31.806941098458633	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	640	Best fitness:	162.756462585034	Average fitness:	281.7650340136055	Fitness standard deviation:	47.73366167750865	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	656	Best fitness:	162.756462585034	Average fitness:	274.3993197278911	Fitness standard deviation:	55.36208199163919	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	672	Best fitness:	162.756462585034	Average fitness:	282.6378911564626	Fitness standard deviation:	47.52457089522756	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	688	Best fitness:	162.756462585034	Average fitness:	281.1207482993197	Fitness standard deviation:	45.74886805781569	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	704	Best fitness:	162.756462585034	Average fitness:	275.3378911564626	Fitness standard deviation:	43.44599864152261	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	720	Best fitness:	162.756462585034	Average fitness:	294.1907482993198	Fitness standard deviation:	65.47206576791636	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	736	Best fitness:	162.756462585034	Average fitness:	278.0378911564626	Fitness standard deviation:	43.10222521364004	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
