Generation:	16	Best fitness:	253.4421768707483	Average fitness:	327.5350340136054	Fitness standard deviation:	38.30633653023148	Best genome:	A16	N3	E3	N12	A8	N9	E4	A7	A14	A6	N7	N5	A17	A10	E5	A13	A9	A15	A11	N6	A12	
Generation:	32	Best fitness:	229.67074829931974	Average fitness:	310.006462585034	Fitness standard deviation:	31.176178602338325	Best genome:	N3	A7	E4	N5	A11	E3	A10	A15	A17	A9	N6	E5	A13	N9	A14	A6	A8	N12	N7	A12	A16	
Generation:	48	Best fitness:	229.67074829931974	Average fitness:	308.32360544217687	Fitness standard deviation:	31.12390416069426	Best genome:	N3	A7	E4	N5	A11	E3	A10	A15	A17	A9	N6	E5	A13	N9	A14	A6	A8	N12	N7	A12	A16	
Generation:	64	Best fitness:	228.6421768707483	Average fitness:	305.5778911564626	Fitness standard deviation:	40.341655055947584	Best genome:	E4	N5	A11	E3	A10	A15	A17	A9	N6	A8	A13	E5	N9	A14	A6	N12	N7	A12	A16	N3	A7	
Generation:	80	Best fitness:	222.8421768707483	Average fitness:	297.056462585034	Fitness standard deviation:	34.83693149401031	Best genome:	E5	A9	E4	N6	E3	N12	N7	A7	A13	A17	A12	A14	A6	N3	N5	A11	A8	A10	A15	N9	A16	
Generation:	96	Best fitness:	209.87074829931973	Average fitness:	300.54503401360546	Fitness standard deviation:	49.49510666392658	Best genome:	A8	A9	E4	N6	E3	N12	N7	A7	A13	A17	A15	A12	A14	A6	A10	N3	N5	A11	A16	E5	N9	
Generation:	112	Best fitness:	209.87074829931973	Average fitness:	293.78789115646254	Fitness standard deviation:	45.79686015438177	Best genome:	A8	A9	E4	N6	E3	N12	N7	A7	A13	A17	A15	A12	A14	A6	A10	N3	N5	A11	A16	E5	N9	
Generation:	128	Best fitness:	207.81360544217688	Average fitness:	285.7378911564625	Fitness standard deviation:	37.45216298486508	Best genome:	N7	E5	A8	A16	A9	E4	N12	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	
Generation:	144	Best fitness:	185.7278911564626	Average fitness:	287.41217687074834	Fitness standard deviation:	51.613757440655846	Best genome:	A16	A9	E4	N12	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	N7	E5	A8	
Generation:	160	Best fitness:	179.67074829931974	Average fitness:	281.6836054421769	Fitness standard deviation:	48.45930038576239	Best genome:	A9	E4	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	N7	N12	E5	A8	A16	
Generation:	176	Best fitness:	179.67074829931974	Average fitness:	290.70360544217687	Fitness standard deviation:	52.721015656346516	Best genome:	A9	E4	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	N7	N12	E5	A8	A16	
Generation:	192	Best fitness:	179.67074829931974	Average fitness:	283.80360544217694	Fitness standard deviation:	46.60616782778687	Best genome:	A9	E4	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	N7	N12	E5	A8	A16	
Generation:	208	Best fitness:	179.67074829931974	Average fitness:	304.16217687074834	Fitness standard deviation:	42.15259703428359	Best genome:	A9	E4	A6	E3	A15	A17	A14	A10	N3	N5	A11	N6	A7	N9	A13	A12	N7	N12	E5	A8	A16	
Generation:	224	Best fitness:	179.52789115646257	Average fitness:	297.03931972789115	Fitness standard deviation:	42.09040988255678	Best genome:	A9	E4	A10	N3	N5	A11	E3	A13	N9	A15	A14	A17	N6	A7	A12	A6	N7	N12	E5	A8	A16	
Generation:	240	Best fitness:	178.52789115646257	Average fitness:	288.4307482993197	Fitness standard deviation:	53.64459110760414	Best genome:	A9	E4	A10	N3	N5	A11	E3	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	256	Best fitness:	165.52789115646257	Average fitness:	285.38360544217693	Fitness standard deviation:	52.39178193462897	Best genome:	A9	N3	E4	A10	E3	N5	A11	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	272	Best fitness:	165.52789115646257	Average fitness:	281.796462585034	Fitness standard deviation:	41.25311753216294	Best genome:	A9	N3	E4	A10	E3	N5	A11	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	288	Best fitness:	165.52789115646257	Average fitness:	286.78931972789115	Fitness standard deviation:	52.87321166947302	Best genome:	A9	N3	E4	A10	E3	N5	A11	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	304	Best fitness:	165.52789115646257	Average fitness:	262.60503401360546	Fitness standard deviation:	48.952318408335074	Best genome:	A9	N3	E4	A10	E3	N5	A11	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	320	Best fitness:	165.52789115646257	Average fitness:	261.876462585034	Fitness standard deviation:	49.81877328305638	Best genome:	A9	N3	E4	A10	E3	N5	A11	A13	N9	A15	A14	A17	A7	A12	N6	A6	N7	N12	E5	A8	A16	
Generation:	336	Best fitness:	160.81360544217688	Average fitness:	273.3193197278912	Fitness standard deviation:	56.15877644169762	Best genome:	A9	N3	E4	A10	E3	N5	A11	N6	A15	A17	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
