Generation:	16	Best fitness:	228.29931972789115	Average fitness:	315.4293197278911	Fitness standard deviation:	40.60662102944016	Best genome:	N9	A15	A17	A13	A16	A7	A14	A11	A8	A9	N3	N6	A12	E5	N7	A6	E3	A10	N12	N5	E4	
Generation:	32	Best fitness:	221.29931972789115	Average fitness:	305.57217687074836	Fitness standard deviation:	33.94674517775254	Best genome:	N9	A7	A14	A15	A17	A13	A16	E5	A8	A9	A11	N7	N6	N3	N12	A10	A6	E3	A12	N5	E4	
Generation:	48	Best fitness:	213.29931972789115	Average fitness:	288.1907482993198	Fitness standard deviation:	30.672884521967593	Best genome:	N9	A7	A14	A15	A17	A13	A16	E5	A8	A9	A11	A10	N12	E3	N7	A12	N6	N3	A6	N5	E4	
Generation:	64	Best fitness:	199.81360544217688	Average fitness:	304.2107482993197	Fitness standard deviation:	44.89988218701875	Best genome:	A16	E5	A8	A9	A11	A10	N12	N3	N7	N6	A15	A12	A6	A13	E3	E4	N5	A7	N9	A14	A17	
Generation:	80	Best fitness:	199.81360544217688	Average fitness:	307.246462585034	Fitness standard deviation:	42.42393555722129	Best genome:	A16	E5	A8	A9	A11	A10	N12	N3	N7	N6	A15	A12	A6	A13	E3	E4	N5	A7	N9	A14	A17	
Generation:	96	Best fitness:	191.81360544217688	Average fitness:	289.3707482993197	Fitness standard deviation:	38.75386537666473	Best genome:	A16	E5	A8	A9	A11	N7	A10	N12	N3	N6	A15	A12	A6	A13	E3	E4	N5	A7	N9	A14	A17	
Generation:	112	Best fitness:	191.81360544217688	Average fitness:	278.806462585034	Fitness standard deviation:	50.433760052778375	Best genome:	A16	E5	A8	A9	A11	N7	A10	N12	N3	N6	A15	A12	A6	A13	E3	E4	N5	A7	N9	A14	A17	
Generation:	128	Best fitness:	173.7278911564626	Average fitness:	283.36646258503396	Fitness standard deviation:	43.652088595799285	Best genome:	A9	A11	N7	A10	N12	N3	N6	A15	A12	E3	A6	E4	N5	A7	A13	N9	A14	A17	A16	E5	A8	
Generation:	144	Best fitness:	173.69931972789115	Average fitness:	285.38217687074825	Fitness standard deviation:	43.414965819897375	Best genome:	A9	A11	N7	A10	N12	N3	N6	A15	A12	E3	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	160	Best fitness:	162.69931972789115	Average fitness:	284.87931972789113	Fitness standard deviation:	55.219820532050235	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	176	Best fitness:	162.69931972789115	Average fitness:	295.1750340136055	Fitness standard deviation:	45.76728826913612	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	192	Best fitness:	162.69931972789115	Average fitness:	286.4007482993198	Fitness standard deviation:	61.19062718343423	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	208	Best fitness:	162.69931972789115	Average fitness:	263.6478911564626	Fitness standard deviation:	40.91189198903479	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	224	Best fitness:	162.69931972789115	Average fitness:	309.26217687074825	Fitness standard deviation:	52.00087055786192	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	240	Best fitness:	162.69931972789115	Average fitness:	279.7750340136054	Fitness standard deviation:	55.43871061536223	Best genome:	A9	A11	N7	A10	N12	N3	N6	E3	A15	A12	A6	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	256	Best fitness:	149.69931972789115	Average fitness:	293.50789115646256	Fitness standard deviation:	47.71136184369077	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	272	Best fitness:	149.69931972789115	Average fitness:	293.9907482993197	Fitness standard deviation:	60.056164597170614	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	288	Best fitness:	149.69931972789115	Average fitness:	288.4007482993197	Fitness standard deviation:	45.563269735386555	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	304	Best fitness:	149.69931972789115	Average fitness:	282.2093197278911	Fitness standard deviation:	50.66196760119458	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	320	Best fitness:	149.69931972789115	Average fitness:	277.4693197278911	Fitness standard deviation:	65.74196465216514	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	336	Best fitness:	149.69931972789115	Average fitness:	276.06360544217694	Fitness standard deviation:	63.78632754464433	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	352	Best fitness:	149.69931972789115	Average fitness:	271.7336054421769	Fitness standard deviation:	60.17516444785615	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	368	Best fitness:	149.69931972789115	Average fitness:	281.97931972789104	Fitness standard deviation:	59.43125241205426	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	384	Best fitness:	149.69931972789115	Average fitness:	271.3193197278912	Fitness standard deviation:	55.62071417105285	Best genome:	A9	A11	N7	A10	E3	N6	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	400	Best fitness:	146.69931972789115	Average fitness:	277.28789115646254	Fitness standard deviation:	55.86495626755212	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
