Generation:	16	Best fitness:	241.38503401360543	Average fitness:	318.18074829931976	Fitness standard deviation:	34.30837379190243	Best genome:	A9	A12	A7	N9	E5	A15	A14	N6	A11	N12	A16	A8	A13	N3	E3	A6	A17	N7	A10	N5	E4	
Generation:	32	Best fitness:	236.78503401360544	Average fitness:	311.9093197278912	Fitness standard deviation:	38.25757097274596	Best genome:	N3	A10	A11	N12	A15	A17	A9	E4	A6	A7	A14	N6	E5	E3	N7	A12	N5	N9	A16	A8	A13	
Generation:	48	Best fitness:	191.78503401360544	Average fitness:	308.74074829931976	Fitness standard deviation:	56.287381755576085	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	N7	A12	N5	E5	A7	N9	A16	A8	A13	
Generation:	64	Best fitness:	191.78503401360544	Average fitness:	293.8621768707483	Fitness standard deviation:	46.32523013368392	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	N7	A12	N5	E5	A7	N9	A16	A8	A13	
Generation:	80	Best fitness:	177.69931972789115	Average fitness:	286.6507482993198	Fitness standard deviation:	41.39315934808947	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	A12	A7	N9	A16	N5	N7	E5	A8	A13	
Generation:	96	Best fitness:	177.69931972789115	Average fitness:	293.8036054421769	Fitness standard deviation:	51.46417757498304	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	A12	A7	N9	A16	N5	N7	E5	A8	A13	
Generation:	112	Best fitness:	177.69931972789115	Average fitness:	295.9507482993197	Fitness standard deviation:	40.85972579248097	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	A12	A7	N9	A16	N5	N7	E5	A8	A13	
Generation:	128	Best fitness:	177.69931972789115	Average fitness:	298.6278911564625	Fitness standard deviation:	47.296620667132366	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A14	A12	A7	N9	A16	N5	N7	E5	A8	A13	
Generation:	144	Best fitness:	175.69931972789115	Average fitness:	292.91503401360535	Fitness standard deviation:	44.999582288310734	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A6	A12	A7	A14	N9	A16	E5	N7	N5	A8	A13	
Generation:	160	Best fitness:	167.69931972789115	Average fitness:	298.376462585034	Fitness standard deviation:	56.96441574548526	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A7	A6	A14	A12	N9	A16	E5	N7	N5	A8	A13	
Generation:	176	Best fitness:	167.69931972789115	Average fitness:	293.99217687074827	Fitness standard deviation:	41.4260362524806	Best genome:	N3	A11	A10	N12	A15	A17	A9	E4	E3	N6	A7	A6	A14	A12	N9	A16	E5	N7	N5	A8	A13	
Generation:	192	Best fitness:	161.4421768707483	Average fitness:	276.0921768707483	Fitness standard deviation:	43.913308730651	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	E3	N5	A8	N3	A11	N12	N7	N6	A10	A15	A17	
Generation:	208	Best fitness:	156.4421768707483	Average fitness:	281.3036054421769	Fitness standard deviation:	43.415271718225455	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	224	Best fitness:	156.4421768707483	Average fitness:	286.5521768707483	Fitness standard deviation:	53.1015233072557	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	240	Best fitness:	156.4421768707483	Average fitness:	296.42931972789114	Fitness standard deviation:	54.67941408327083	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	256	Best fitness:	156.4421768707483	Average fitness:	275.1836054421768	Fitness standard deviation:	48.030170343913056	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	272	Best fitness:	156.4421768707483	Average fitness:	293.4078911564626	Fitness standard deviation:	51.43007029561836	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	288	Best fitness:	156.4421768707483	Average fitness:	269.27074829931973	Fitness standard deviation:	45.2404884579993	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	304	Best fitness:	156.4421768707483	Average fitness:	296.7293197278912	Fitness standard deviation:	48.39100057587872	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	320	Best fitness:	156.4421768707483	Average fitness:	283.2636054421769	Fitness standard deviation:	52.69608503058857	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	336	Best fitness:	156.4421768707483	Average fitness:	286.966462585034	Fitness standard deviation:	50.88777189631541	Best genome:	A9	E4	A7	A12	A13	N9	A16	E5	A6	A14	N5	E3	A8	N3	A11	N12	N7	A10	N6	A15	A17	
Generation:	352	Best fitness:	153.41360544217687	Average fitness:	294.9336054421768	Fitness standard deviation:	58.24412423724186	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	A6	A14	N5	A11	N12	E3	A8	N3	N7	A10	N6	A15	A17	
Generation:	368	Best fitness:	153.41360544217687	Average fitness:	275.1493197278911	Fitness standard deviation:	49.886255826712066	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	A6	A14	N5	A11	N12	E3	A8	N3	N7	A10	N6	A15	A17	
Generation:	384	Best fitness:	150.41360544217687	Average fitness:	273.17503401360545	Fitness standard deviation:	52.85322632208048	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	400	Best fitness:	150.41360544217687	Average fitness:	289.466462585034	Fitness standard deviation:	59.42389766992497	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	416	Best fitness:	150.41360544217687	Average fitness:	273.28217687074834	Fitness standard deviation:	56.35654528019233	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	432	Best fitness:	150.41360544217687	Average fitness:	279.85217687074834	Fitness standard deviation:	54.905148842232954	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	448	Best fitness:	150.41360544217687	Average fitness:	268.3950340136055	Fitness standard deviation:	44.826272612459434	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	464	Best fitness:	150.41360544217687	Average fitness:	273.53789115646254	Fitness standard deviation:	47.02048296612176	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	480	Best fitness:	150.41360544217687	Average fitness:	268.60217687074834	Fitness standard deviation:	56.333229690360724	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	496	Best fitness:	150.41360544217687	Average fitness:	277.8221768707483	Fitness standard deviation:	50.80974123218532	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	512	Best fitness:	150.41360544217687	Average fitness:	271.90217687074824	Fitness standard deviation:	54.239641275678494	Best genome:	A9	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	528	Best fitness:	150.38503401360543	Average fitness:	280.14360544217686	Fitness standard deviation:	59.699302614461594	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	544	Best fitness:	150.38503401360543	Average fitness:	286.3978911564626	Fitness standard deviation:	45.957997216624506	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	560	Best fitness:	150.38503401360543	Average fitness:	259.12931972789113	Fitness standard deviation:	46.43296372630292	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	576	Best fitness:	150.38503401360543	Average fitness:	275.286462585034	Fitness standard deviation:	56.886856180689485	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	592	Best fitness:	150.38503401360543	Average fitness:	277.786462585034	Fitness standard deviation:	44.62840175109504	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	N5	A11	E3	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	608	Best fitness:	147.38503401360543	Average fitness:	287.62217687074826	Fitness standard deviation:	59.145537620417	Best genome:	E4	A7	A12	N9	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	N7	A10	N6	A6	A14	A15	A17	
Generation:	624	Best fitness:	133.87074829931973	Average fitness:	276.0007482993197	Fitness standard deviation:	58.63725463058656	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	640	Best fitness:	133.87074829931973	Average fitness:	266.3921768707483	Fitness standard deviation:	50.15034122007343	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	656	Best fitness:	133.87074829931973	Average fitness:	267.1236054421769	Fitness standard deviation:	56.248122526490626	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	672	Best fitness:	133.87074829931973	Average fitness:	272.7121768707483	Fitness standard deviation:	52.03254434898002	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	688	Best fitness:	133.87074829931973	Average fitness:	276.29360544217684	Fitness standard deviation:	60.829136144463156	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	704	Best fitness:	133.87074829931973	Average fitness:	255.1436054421769	Fitness standard deviation:	55.81718810326352	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	720	Best fitness:	133.87074829931973	Average fitness:	268.60360544217684	Fitness standard deviation:	45.75118624535481	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A10	N6	N7	A6	A14	A15	A17	E4	A7	A12	N9	
Generation:	736	Best fitness:	128.87074829931973	Average fitness:	269.96789115646254	Fitness standard deviation:	62.05696553513208	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	752	Best fitness:	128.87074829931973	Average fitness:	261.4736054421768	Fitness standard deviation:	56.823726648329576	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	768	Best fitness:	128.87074829931973	Average fitness:	273.30217687074827	Fitness standard deviation:	57.737649372848914	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	784	Best fitness:	128.87074829931973	Average fitness:	274.80503401360545	Fitness standard deviation:	62.484503940201535	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	800	Best fitness:	128.87074829931973	Average fitness:	282.34931972789116	Fitness standard deviation:	52.380155827276766	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	816	Best fitness:	128.87074829931973	Average fitness:	271.7807482993197	Fitness standard deviation:	54.31642009408145	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	832	Best fitness:	128.87074829931973	Average fitness:	270.81789115646257	Fitness standard deviation:	63.66342382132037	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
Generation:	848	Best fitness:	128.87074829931973	Average fitness:	289.3336054421769	Fitness standard deviation:	54.376646848155126	Best genome:	A13	A16	E5	N12	E3	N5	A11	A8	A9	N3	A6	A14	N7	A10	N6	A15	A17	E4	A7	A12	N9	
