Generation:	16	Best fitness:	251.4421768707483	Average fitness:	322.5007482993197	Fitness standard deviation:	33.47061394655294	Best genome:	A14	N12	E3	A15	A13	N9	N7	A8	E5	A10	A17	N6	A11	A6	A12	A16	A9	E4	N5	N3	A7	
Generation:	32	Best fitness:	229.756462585034	Average fitness:	318.20503401360537	Fitness standard deviation:	39.044071488093394	Best genome:	E5	A8	N7	A10	N6	A6	A12	A16	E4	N5	A7	A14	N12	E3	A11	A13	N9	N3	A9	A15	A17	
Generation:	48	Best fitness:	175.29931972789115	Average fitness:	302.48931972789114	Fitness standard deviation:	48.94939100327845	Best genome:	N9	N7	A10	N6	A6	A12	A16	E4	N5	A7	A14	N12	E3	A11	E5	A8	A9	N3	A15	A17	A13	
Generation:	64	Best fitness:	175.29931972789115	Average fitness:	292.1907482993197	Fitness standard deviation:	47.992635149275024	Best genome:	N9	N7	A10	N6	A6	A12	A16	E4	N5	A7	A14	N12	E3	A11	E5	A8	A9	N3	A15	A17	A13	
Generation:	80	Best fitness:	175.29931972789115	Average fitness:	303.12931972789113	Fitness standard deviation:	46.799985587822654	Best genome:	N9	N7	A10	N6	A6	A12	A16	E4	N5	A7	A14	N12	E3	A11	E5	A8	A9	N3	A15	A17	A13	
Generation:	96	Best fitness:	175.29931972789115	Average fitness:	294.87646258503395	Fitness standard deviation:	57.142808285693405	Best genome:	N9	N7	A10	N6	A6	A12	A16	E4	N5	A7	A14	N12	E3	A11	E5	A8	A9	N3	A15	A17	A13	
Generation:	112	Best fitness:	168.87074829931973	Average fitness:	280.96646258503404	Fitness standard deviation:	55.704111360374284	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	128	Best fitness:	168.87074829931973	Average fitness:	302.88217687074825	Fitness standard deviation:	54.97579014476114	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	144	Best fitness:	168.87074829931973	Average fitness:	285.55217687074827	Fitness standard deviation:	53.712437107247325	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	160	Best fitness:	168.87074829931973	Average fitness:	292.23931972789114	Fitness standard deviation:	56.934881457069984	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	176	Best fitness:	168.87074829931973	Average fitness:	286.0021768707483	Fitness standard deviation:	39.52441394833304	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	192	Best fitness:	168.87074829931973	Average fitness:	283.18074829931976	Fitness standard deviation:	50.04305923453342	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	208	Best fitness:	168.87074829931973	Average fitness:	283.7607482993197	Fitness standard deviation:	55.004989959167915	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	224	Best fitness:	168.87074829931973	Average fitness:	314.766462585034	Fitness standard deviation:	48.54257485413591	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	240	Best fitness:	168.87074829931973	Average fitness:	297.0636054421768	Fitness standard deviation:	43.64590812342398	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	256	Best fitness:	168.87074829931973	Average fitness:	284.6807482993197	Fitness standard deviation:	45.496053450731715	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	272	Best fitness:	168.87074829931973	Average fitness:	264.27931972789116	Fitness standard deviation:	45.699417314197156	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	288	Best fitness:	168.87074829931973	Average fitness:	289.0793197278911	Fitness standard deviation:	53.56190322935715	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	304	Best fitness:	168.87074829931973	Average fitness:	281.0078911564626	Fitness standard deviation:	52.5594975591802	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	320	Best fitness:	168.87074829931973	Average fitness:	299.9950340136054	Fitness standard deviation:	50.01207060422963	Best genome:	N7	A10	N6	A6	A12	A16	N5	A7	A14	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	336	Best fitness:	163.87074829931973	Average fitness:	303.436462585034	Fitness standard deviation:	53.63619216726782	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	A13	N9	
Generation:	352	Best fitness:	163.8421768707483	Average fitness:	297.4450340136055	Fitness standard deviation:	45.40470433237292	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
