Generation:	16	Best fitness:	245.69931972789115	Average fitness:	312.26789115646255	Fitness standard deviation:	39.55322624164114	Best genome:	A16	A9	A7	E5	N12	N7	A14	A6	N5	E4	N6	A11	A12	A13	N9	A17	A10	E3	N3	A15	A8	
Generation:	32	Best fitness:	223.6421768707483	Average fitness:	322.4436054421768	Fitness standard deviation:	34.62425418042994	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	48	Best fitness:	223.6421768707483	Average fitness:	297.64217687074836	Fitness standard deviation:	38.755852224311276	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	64	Best fitness:	223.6421768707483	Average fitness:	321.2393197278912	Fitness standard deviation:	33.693371115738145	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	80	Best fitness:	223.6421768707483	Average fitness:	317.36646258503396	Fitness standard deviation:	44.16567720365151	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	96	Best fitness:	223.6421768707483	Average fitness:	307.8393197278912	Fitness standard deviation:	34.31679531681719	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	112	Best fitness:	223.6421768707483	Average fitness:	306.05360544217683	Fitness standard deviation:	35.02361349205442	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	128	Best fitness:	223.6421768707483	Average fitness:	305.91789115646264	Fitness standard deviation:	30.513286868349724	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	144	Best fitness:	223.6421768707483	Average fitness:	299.02646258503404	Fitness standard deviation:	36.903407812331714	Best genome:	E5	N7	A14	A6	N5	E4	N6	A11	N12	A15	A12	A13	N9	A17	E3	N3	A10	A8	A16	A9	A7	
Generation:	160	Best fitness:	206.6421768707483	Average fitness:	296.7864625850341	Fitness standard deviation:	37.79487436903884	Best genome:	E5	N7	E4	N5	A6	A14	N6	A11	N12	A15	A12	A13	N9	A17	N3	E3	A10	A8	A16	A9	A7	
Generation:	176	Best fitness:	206.6421768707483	Average fitness:	293.5307482993197	Fitness standard deviation:	36.60327285467065	Best genome:	E5	N7	E4	N5	A6	A14	N6	A11	N12	A15	A12	A13	N9	A17	N3	E3	A10	A8	A16	A9	A7	
