Generation:	16	Best fitness:	227.35646258503402	Average fitness:	297.61074829931965	Fitness standard deviation:	34.39158285727151	Best genome:	E5	A10	N9	N6	N12	A15	A17	A14	N7	E4	N3	E3	A6	A12	A11	N5	A7	A13	A9	A16	A8	
Generation:	32	Best fitness:	206.87074829931973	Average fitness:	323.6136054421769	Fitness standard deviation:	40.23762580734908	Best genome:	E5	A10	A8	A9	N6	E3	N5	A7	A13	A16	A17	N7	E4	N3	A6	A12	A11	N12	A15	A14	N9	
Generation:	48	Best fitness:	171.87074829931973	Average fitness:	263.986462585034	Fitness standard deviation:	46.19115338482476	Best genome:	A16	E5	A8	A9	N7	A15	A14	A10	N6	E3	E4	N3	A6	A12	A11	N12	A17	N5	A7	A13	N9	
Generation:	64	Best fitness:	165.87074829931973	Average fitness:	291.0578911564626	Fitness standard deviation:	41.01029883095321	Best genome:	A16	E5	A8	A9	N6	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	A17	N5	A7	A13	N9	
Generation:	80	Best fitness:	144.87074829931973	Average fitness:	276.8364625850339	Fitness standard deviation:	48.92570844595687	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	96	Best fitness:	144.87074829931973	Average fitness:	278.38217687074837	Fitness standard deviation:	57.34169754682033	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	112	Best fitness:	144.87074829931973	Average fitness:	286.5050340136055	Fitness standard deviation:	52.81236141631377	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	128	Best fitness:	144.87074829931973	Average fitness:	286.3193197278911	Fitness standard deviation:	50.6517143977237	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	144	Best fitness:	144.87074829931973	Average fitness:	283.4078911564626	Fitness standard deviation:	54.87524671507925	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	160	Best fitness:	144.87074829931973	Average fitness:	279.50789115646256	Fitness standard deviation:	52.88248666542041	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
Generation:	176	Best fitness:	144.87074829931973	Average fitness:	279.68503401360545	Fitness standard deviation:	52.76831803037787	Best genome:	A16	E5	N6	A8	A9	E4	N3	N7	A10	A15	E3	A6	A14	A12	A11	N12	N5	A7	A17	A13	N9	
