Generation:	16	Best fitness:	254.556462585034	Average fitness:	325.09360544217685	Fitness standard deviation:	42.33941724990112	Best genome:	A16	N3	E4	A9	A6	A10	A7	A17	A8	N9	A11	N7	N6	E3	N5	A15	A14	A12	A13	N12	E5	
Generation:	32	Best fitness:	213.38503401360543	Average fitness:	294.75931972789107	Fitness standard deviation:	40.50361727358309	Best genome:	A13	A9	A7	N9	A11	E3	N6	N12	A10	E5	N7	A8	N3	E4	A15	A12	A16	N5	A6	A14	A17	
Generation:	48	Best fitness:	210.35646258503402	Average fitness:	301.3178911564626	Fitness standard deviation:	34.23918184579456	Best genome:	A9	A7	N9	A11	E3	N6	N12	A10	E5	N7	A8	N3	N5	E4	A15	A12	A16	A6	A14	A17	A13	
Generation:	64	Best fitness:	208.35646258503402	Average fitness:	299.72360544217685	Fitness standard deviation:	50.380326800959	Best genome:	A9	A7	N9	N7	E5	A11	N12	E3	N6	A10	A8	N3	N5	E4	A15	A12	A16	A6	A14	A17	A13	
Generation:	80	Best fitness:	208.35646258503402	Average fitness:	303.95646258503405	Fitness standard deviation:	43.87171279621379	Best genome:	A9	A7	N9	N7	E5	A11	N12	E3	N6	A10	A8	N3	N5	E4	A15	A12	A16	A6	A14	A17	A13	
Generation:	96	Best fitness:	197.35646258503402	Average fitness:	292.67217687074833	Fitness standard deviation:	37.772730121296846	Best genome:	A9	A7	N9	N7	A11	N12	E5	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A6	A14	A17	A13	
Generation:	112	Best fitness:	181.87074829931973	Average fitness:	293.1421768707483	Fitness standard deviation:	50.77188961925884	Best genome:	A11	N12	E5	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	128	Best fitness:	181.87074829931973	Average fitness:	296.4621768707483	Fitness standard deviation:	45.84219881110345	Best genome:	A11	N12	E5	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	144	Best fitness:	173.87074829931973	Average fitness:	290.72646258503397	Fitness standard deviation:	49.036477446979845	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	160	Best fitness:	173.87074829931973	Average fitness:	285.98931972789114	Fitness standard deviation:	42.22910233089817	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	176	Best fitness:	173.87074829931973	Average fitness:	290.30503401360545	Fitness standard deviation:	46.01458384610918	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
