Generation:	16	Best fitness:	253.29931972789115	Average fitness:	323.53217687074834	Fitness standard deviation:	36.717844491222976	Best genome:	N9	A15	A11	A8	A17	E4	N6	N7	A6	A14	A12	A16	E3	A9	N5	A7	A13	E5	N12	A10	N3	
Generation:	32	Best fitness:	201.81360544217688	Average fitness:	299.5936054421769	Fitness standard deviation:	46.13837669534585	Best genome:	A15	A14	A12	A7	E3	A6	A17	N5	A11	N12	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	48	Best fitness:	197.81360544217688	Average fitness:	292.3836054421769	Fitness standard deviation:	46.38135839022451	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	64	Best fitness:	197.81360544217688	Average fitness:	280.9878911564625	Fitness standard deviation:	42.89710698584582	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	80	Best fitness:	197.81360544217688	Average fitness:	296.35931972789115	Fitness standard deviation:	49.228273691164965	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	96	Best fitness:	197.81360544217688	Average fitness:	297.36646258503396	Fitness standard deviation:	46.81995412301931	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	112	Best fitness:	197.81360544217688	Average fitness:	294.49074829931976	Fitness standard deviation:	49.76711158906419	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	A13	E5	E4	N3	N9	A16	A9	
Generation:	128	Best fitness:	192.756462585034	Average fitness:	286.41931972789115	Fitness standard deviation:	45.45323912482779	Best genome:	A15	A14	A12	A7	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	E4	N3	N9	A13	A16	E5	A9	
Generation:	144	Best fitness:	162.756462585034	Average fitness:	279.79931972789115	Fitness standard deviation:	47.66992334624354	Best genome:	A9	A7	A14	A12	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	E4	N3	N9	A13	A16	E5	A15	
Generation:	160	Best fitness:	162.756462585034	Average fitness:	281.72789115646253	Fitness standard deviation:	40.38847380536346	Best genome:	A9	A7	A14	A12	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	E4	N3	N9	A13	A16	E5	A15	
Generation:	176	Best fitness:	162.756462585034	Average fitness:	283.2550340136055	Fitness standard deviation:	54.47120300803772	Best genome:	A9	A7	A14	A12	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	E4	N3	N9	A13	A16	E5	A15	
Generation:	192	Best fitness:	162.756462585034	Average fitness:	291.66360544217684	Fitness standard deviation:	46.06792223645074	Best genome:	A9	A7	A14	A12	A17	N5	A11	N12	E3	A6	N6	N7	A10	A8	E4	N3	N9	A13	A16	E5	A15	
Generation:	208	Best fitness:	159.67074829931974	Average fitness:	293.7907482993198	Fitness standard deviation:	48.70244816375104	Best genome:	A9	A7	A14	A12	A17	N5	A11	E3	A6	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	
Generation:	224	Best fitness:	159.67074829931974	Average fitness:	270.63931972789123	Fitness standard deviation:	37.56507485656846	Best genome:	A9	A7	A14	A12	A17	N5	A11	E3	A6	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	
Generation:	240	Best fitness:	151.61360544217686	Average fitness:	282.656462585034	Fitness standard deviation:	51.513940653309106	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	A6	A14	
Generation:	256	Best fitness:	151.61360544217686	Average fitness:	284.4078911564626	Fitness standard deviation:	46.02727372472339	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	A6	A14	
Generation:	272	Best fitness:	151.61360544217686	Average fitness:	280.89074829931974	Fitness standard deviation:	58.359372994631556	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	A6	A14	
Generation:	288	Best fitness:	151.61360544217686	Average fitness:	281.7136054421768	Fitness standard deviation:	48.595141690485555	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	A6	A14	
Generation:	304	Best fitness:	151.61360544217686	Average fitness:	283.9536054421769	Fitness standard deviation:	53.59575211617017	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	N7	A10	A8	N9	A13	A16	E5	E4	N3	N12	A15	A6	A14	
Generation:	320	Best fitness:	151.556462585034	Average fitness:	278.8550340136054	Fitness standard deviation:	53.16103105141002	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	336	Best fitness:	151.556462585034	Average fitness:	271.05360544217683	Fitness standard deviation:	54.934016375120805	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
