Generation:	16	Best fitness:	221.67074829931974	Average fitness:	303.58360544217686	Fitness standard deviation:	34.137239794926685	Best genome:	E5	E4	E3	A6	A10	A7	N7	N12	A15	A17	A12	A14	A16	N9	A13	N5	N6	A8	A9	N3	A11	
Generation:	32	Best fitness:	202.47074829931972	Average fitness:	296.1121768707483	Fitness standard deviation:	44.96066714135722	Best genome:	A9	E4	E3	A6	A10	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	48	Best fitness:	186.47074829931972	Average fitness:	294.316462585034	Fitness standard deviation:	48.08364005372644	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	64	Best fitness:	186.47074829931972	Average fitness:	285.7136054421769	Fitness standard deviation:	34.751928444508586	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	80	Best fitness:	186.47074829931972	Average fitness:	312.24931972789125	Fitness standard deviation:	51.16168677709475	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	96	Best fitness:	186.47074829931972	Average fitness:	288.59789115646265	Fitness standard deviation:	42.73888491378162	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	112	Best fitness:	186.47074829931972	Average fitness:	285.69360544217693	Fitness standard deviation:	41.16215479970773	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	128	Best fitness:	186.47074829931972	Average fitness:	289.30503401360545	Fitness standard deviation:	39.510330966232424	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	144	Best fitness:	186.47074829931972	Average fitness:	272.2621768707483	Fitness standard deviation:	39.90430399782736	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	160	Best fitness:	186.47074829931972	Average fitness:	286.32789115646267	Fitness standard deviation:	40.499326273055814	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
Generation:	176	Best fitness:	186.47074829931972	Average fitness:	283.22360544217685	Fitness standard deviation:	43.542093426935736	Best genome:	A9	E4	E3	A10	A6	A12	N9	A13	E5	A15	A11	N6	N12	N7	N5	N3	A7	A17	A14	A16	A8	
