Generation:	16	Best fitness:	225.67074829931974	Average fitness:	347.0703197278914	Fitness standard deviation:	32.98151597083878	Best genome:	A9	N6	A12	A17	A7	A10	A11	N12	A15	A14	N7	E4	E3	N9	A13	A16	E5	N5	N3	A6	A8	
Generation:	32	Best fitness:	219.67074829931974	Average fitness:	341.6801768707485	Fitness standard deviation:	36.41927199061688	Best genome:	A11	E3	A7	A17	A14	N12	N6	A10	A8	A9	A6	A15	A12	N9	A13	A16	E5	N5	N3	E4	N7	
Generation:	48	Best fitness:	211.67074829931974	Average fitness:	345.25303401360577	Fitness standard deviation:	31.82763637508273	Best genome:	A11	E3	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	N5	N3	E4	N7	
Generation:	64	Best fitness:	206.67074829931974	Average fitness:	335.9124625850342	Fitness standard deviation:	34.16001575299545	Best genome:	N7	A11	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	E3	N5	N3	E4	
Generation:	80	Best fitness:	206.67074829931974	Average fitness:	344.46031972789126	Fitness standard deviation:	33.14941255089429	Best genome:	N7	A11	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	E3	N5	N3	E4	
Generation:	96	Best fitness:	206.67074829931974	Average fitness:	343.18031972789134	Fitness standard deviation:	34.36327153861715	Best genome:	N7	A11	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	E3	N5	N3	E4	
Generation:	112	Best fitness:	206.67074829931974	Average fitness:	340.7981768707485	Fitness standard deviation:	34.4631600810998	Best genome:	N7	A11	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	E3	N5	N3	E4	
Generation:	128	Best fitness:	206.67074829931974	Average fitness:	337.78089115646276	Fitness standard deviation:	38.24761402695731	Best genome:	N7	A11	A7	A17	A14	N12	N6	A10	A8	A9	A15	A6	A12	N9	A13	A16	E5	E3	N5	N3	E4	
Generation:	144	Best fitness:	184.6421768707483	Average fitness:	345.99203401360575	Fitness standard deviation:	32.34235631837128	Best genome:	A7	A14	N7	A6	A17	N12	N6	A10	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	160	Best fitness:	177.6421768707483	Average fitness:	338.3948911564627	Fitness standard deviation:	36.27338672455865	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	176	Best fitness:	177.6421768707483	Average fitness:	338.01574829932014	Fitness standard deviation:	35.567418125903615	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
