Generation:	16	Best fitness:	241.87074829931973	Average fitness:	343.7474625850342	Fitness standard deviation:	33.3963942300876	Best genome:	N12	A6	A14	A12	A15	A17	E4	A16	A13	A11	E3	A7	A9	N6	N7	A10	E5	N5	N3	A8	N9	
Generation:	32	Best fitness:	210.67074829931974	Average fitness:	345.7601768707485	Fitness standard deviation:	32.1816075383922	Best genome:	A9	N3	A11	N5	E4	N7	E3	A10	N6	A6	A14	A12	A16	N9	A8	E5	A7	A13	A15	A17	N12	
Generation:	48	Best fitness:	201.47074829931972	Average fitness:	339.1128911564628	Fitness standard deviation:	30.738767377661052	Best genome:	E3	N12	A10	A6	A14	A12	N9	A16	A8	E5	N7	N6	A11	N5	A7	A13	A15	A17	A9	N3	E4	
Generation:	64	Best fitness:	201.47074829931972	Average fitness:	341.76974829931993	Fitness standard deviation:	34.18121275090233	Best genome:	E3	N12	A10	A6	A14	A12	N9	A16	A8	E5	N7	N6	A11	N5	A7	A13	A15	A17	A9	N3	E4	
Generation:	80	Best fitness:	201.47074829931972	Average fitness:	343.647462585034	Fitness standard deviation:	32.864768193123695	Best genome:	E3	N12	A10	A6	A14	A12	N9	A16	A8	E5	N7	N6	A11	N5	A7	A13	A15	A17	A9	N3	E4	
Generation:	96	Best fitness:	201.47074829931972	Average fitness:	347.2363197278914	Fitness standard deviation:	33.87110131763342	Best genome:	E3	N12	A10	A6	A14	A12	N9	A16	A8	E5	N7	N6	A11	N5	A7	A13	A15	A17	A9	N3	E4	
Generation:	112	Best fitness:	201.47074829931972	Average fitness:	341.10246258503406	Fitness standard deviation:	35.167010838951605	Best genome:	E3	N12	A10	A6	A14	A12	N9	A16	A8	E5	N7	N6	A11	N5	A7	A13	A15	A17	A9	N3	E4	
Generation:	128	Best fitness:	191.7278911564626	Average fitness:	336.72717687074845	Fitness standard deviation:	37.961270643611904	Best genome:	A9	A11	N12	E3	N7	N6	N5	N3	E4	A13	A15	A10	A6	A14	A12	N9	A16	A8	E5	A7	A17	
Generation:	144	Best fitness:	186.7278911564626	Average fitness:	343.4021768707485	Fitness standard deviation:	36.81115990942896	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A13	A15	A10	A6	A14	A12	N9	A16	A8	E5	A7	A17	
Generation:	160	Best fitness:	179.69931972789115	Average fitness:	343.51517687074835	Fitness standard deviation:	34.396823144420935	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	A8	E5	A7	A17	A13	A16	
Generation:	176	Best fitness:	179.69931972789115	Average fitness:	338.71317687074827	Fitness standard deviation:	36.6170870092204	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	A8	E5	A7	A17	A13	A16	
Generation:	192	Best fitness:	175.69931972789115	Average fitness:	346.57160544217703	Fitness standard deviation:	35.72847088693227	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A7	A17	A13	A16	
Generation:	208	Best fitness:	175.69931972789115	Average fitness:	341.5444625850342	Fitness standard deviation:	35.77033206443574	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A7	A17	A13	A16	
Generation:	224	Best fitness:	175.69931972789115	Average fitness:	336.6986054421769	Fitness standard deviation:	35.04605383328791	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A7	A17	A13	A16	
Generation:	240	Best fitness:	175.69931972789115	Average fitness:	338.77503401360553	Fitness standard deviation:	37.05549084873679	Best genome:	A9	A11	N12	E3	N7	N6	N5	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A7	A17	A13	A16	
Generation:	256	Best fitness:	175.6421768707483	Average fitness:	340.33589115646276	Fitness standard deviation:	33.85034376095305	Best genome:	A11	N12	E3	N7	N6	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	272	Best fitness:	175.6421768707483	Average fitness:	337.8974625850341	Fitness standard deviation:	34.94145097947452	Best genome:	A11	N12	E3	N7	N6	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	288	Best fitness:	175.6421768707483	Average fitness:	342.0898911564628	Fitness standard deviation:	36.328300556262214	Best genome:	A11	N12	E3	N7	N6	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	304	Best fitness:	175.6421768707483	Average fitness:	342.3516054421771	Fitness standard deviation:	35.237028889785684	Best genome:	A11	N12	E3	N7	N6	E4	N3	A15	A10	A6	A14	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	320	Best fitness:	162.6421768707483	Average fitness:	337.9101768707484	Fitness standard deviation:	35.71625303838633	Best genome:	E3	N12	N3	E4	A11	N7	N6	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	336	Best fitness:	162.6421768707483	Average fitness:	337.66003401360564	Fitness standard deviation:	37.57699757070237	Best genome:	E3	N12	N3	E4	A11	N7	N6	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	352	Best fitness:	162.6421768707483	Average fitness:	340.16531972789124	Fitness standard deviation:	37.31043289997684	Best genome:	E3	N12	N3	E4	A11	N7	N6	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	368	Best fitness:	154.6421768707483	Average fitness:	342.6031768707484	Fitness standard deviation:	38.49771550895148	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	384	Best fitness:	154.6421768707483	Average fitness:	338.51717687074836	Fitness standard deviation:	34.526734798071	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	400	Best fitness:	154.6421768707483	Average fitness:	338.5653197278913	Fitness standard deviation:	39.186290646248274	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	416	Best fitness:	154.6421768707483	Average fitness:	338.36889115646284	Fitness standard deviation:	34.208267598070854	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	432	Best fitness:	154.6421768707483	Average fitness:	341.2850340136057	Fitness standard deviation:	38.07188313853526	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	448	Best fitness:	154.6421768707483	Average fitness:	342.6527482993199	Fitness standard deviation:	36.519683963806784	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	464	Best fitness:	154.6421768707483	Average fitness:	343.40060544217687	Fitness standard deviation:	39.45511030220526	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	480	Best fitness:	154.6421768707483	Average fitness:	346.2318911564628	Fitness standard deviation:	39.37708201583292	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	496	Best fitness:	154.6421768707483	Average fitness:	343.82717687074836	Fitness standard deviation:	34.814022032825235	Best genome:	E3	N12	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A13	A16	
Generation:	512	Best fitness:	151.6421768707483	Average fitness:	339.2010340136055	Fitness standard deviation:	38.473759373455174	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	528	Best fitness:	151.6421768707483	Average fitness:	345.3747482993196	Fitness standard deviation:	37.78689547600181	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	544	Best fitness:	151.6421768707483	Average fitness:	342.10260544217704	Fitness standard deviation:	38.36878537619999	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	560	Best fitness:	151.6421768707483	Average fitness:	339.6886054421768	Fitness standard deviation:	37.10424525329044	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	576	Best fitness:	151.6421768707483	Average fitness:	341.76017687074847	Fitness standard deviation:	40.144808525016074	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	592	Best fitness:	151.6421768707483	Average fitness:	341.6243197278911	Fitness standard deviation:	37.60501979490917	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	608	Best fitness:	151.6421768707483	Average fitness:	342.67131972789144	Fitness standard deviation:	37.26225172684955	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	624	Best fitness:	151.6421768707483	Average fitness:	336.6233197278914	Fitness standard deviation:	36.369221730827874	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	640	Best fitness:	151.6421768707483	Average fitness:	340.79446258503407	Fitness standard deviation:	36.66703898376216	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	656	Best fitness:	151.6421768707483	Average fitness:	343.8613197278913	Fitness standard deviation:	36.271315265675725	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	672	Best fitness:	151.6421768707483	Average fitness:	335.941462585034	Fitness standard deviation:	37.82369950689323	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	688	Best fitness:	151.6421768707483	Average fitness:	343.1014625850341	Fitness standard deviation:	39.773575264058344	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	704	Best fitness:	151.6421768707483	Average fitness:	336.2504625850341	Fitness standard deviation:	33.874300847066216	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	720	Best fitness:	151.6421768707483	Average fitness:	339.9943197278914	Fitness standard deviation:	36.896249346191375	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	736	Best fitness:	151.6421768707483	Average fitness:	345.37017687074854	Fitness standard deviation:	34.30000344618297	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	752	Best fitness:	151.6421768707483	Average fitness:	341.90174829931965	Fitness standard deviation:	38.504505835190834	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	768	Best fitness:	151.6421768707483	Average fitness:	335.9513197278913	Fitness standard deviation:	37.642062855268705	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	784	Best fitness:	151.6421768707483	Average fitness:	341.71060544217704	Fitness standard deviation:	35.05364552324605	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	800	Best fitness:	151.6421768707483	Average fitness:	339.69674829931995	Fitness standard deviation:	37.33699026926712	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	816	Best fitness:	151.6421768707483	Average fitness:	340.1864625850339	Fitness standard deviation:	36.61074580178975	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	832	Best fitness:	151.6421768707483	Average fitness:	345.3511768707483	Fitness standard deviation:	34.93827140537892	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	848	Best fitness:	151.6421768707483	Average fitness:	343.28803401360574	Fitness standard deviation:	37.20825724656465	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	864	Best fitness:	151.6421768707483	Average fitness:	337.66817687074837	Fitness standard deviation:	39.758198147279856	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	880	Best fitness:	151.6421768707483	Average fitness:	339.8991768707485	Fitness standard deviation:	35.87993350817446	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	896	Best fitness:	151.6421768707483	Average fitness:	338.16674829932	Fitness standard deviation:	37.05618404310858	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	912	Best fitness:	151.6421768707483	Average fitness:	334.38331972789126	Fitness standard deviation:	36.06983087154749	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	928	Best fitness:	151.6421768707483	Average fitness:	340.5847482993198	Fitness standard deviation:	39.3287731809469	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	944	Best fitness:	151.6421768707483	Average fitness:	339.16960544217704	Fitness standard deviation:	38.12746001056382	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	960	Best fitness:	151.6421768707483	Average fitness:	346.8930340136057	Fitness standard deviation:	36.453595792515195	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	976	Best fitness:	151.6421768707483	Average fitness:	335.84703401360554	Fitness standard deviation:	34.3593764774387	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	992	Best fitness:	151.6421768707483	Average fitness:	343.80846258503414	Fitness standard deviation:	38.3819995820745	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	1008	Best fitness:	151.6421768707483	Average fitness:	344.7807482993199	Fitness standard deviation:	37.82378096016379	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	1024	Best fitness:	151.6421768707483	Average fitness:	341.9193197278912	Fitness standard deviation:	38.60332786754246	Best genome:	N12	E3	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	E5	A8	A9	N5	A7	A17	A16	A13	
Generation:	1040	Best fitness:	148.58503401360545	Average fitness:	340.2871768707484	Fitness standard deviation:	35.63314261401905	Best genome:	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N12	E3	
Generation:	1056	Best fitness:	148.58503401360545	Average fitness:	340.28689115646273	Fitness standard deviation:	37.663049458457344	Best genome:	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N12	E3	
Generation:	1072	Best fitness:	148.58503401360545	Average fitness:	336.6270340136057	Fitness standard deviation:	38.63272060450988	Best genome:	N3	E4	A11	N6	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N12	E3	
Generation:	1088	Best fitness:	145.556462585034	Average fitness:	342.13817687074857	Fitness standard deviation:	37.138221912971865	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
