Generation:	16	Best fitness:	239.556462585034	Average fitness:	344.69189115646276	Fitness standard deviation:	30.86547774204861	Best genome:	N12	E3	A9	E4	N3	A16	E5	A8	A13	N9	A6	A7	N6	N5	A11	A17	A12	A14	A10	N7	A15	
Generation:	32	Best fitness:	235.38503401360543	Average fitness:	343.1168911564629	Fitness standard deviation:	34.814247573400756	Best genome:	N3	N12	E4	N9	A13	A14	A17	A12	N5	A11	E5	A15	E3	A7	A9	A10	N7	A6	N6	A8	A16	
Generation:	48	Best fitness:	227.38503401360543	Average fitness:	347.0700340136054	Fitness standard deviation:	36.51063132143561	Best genome:	N3	N12	E4	N9	A13	A14	A17	A12	N5	A11	E5	A15	E3	A7	A9	A6	N7	A10	N6	A8	A16	
Generation:	64	Best fitness:	227.38503401360543	Average fitness:	344.50546258503425	Fitness standard deviation:	32.03019645138453	Best genome:	N3	N12	E4	N9	A13	A14	A17	A12	N5	A11	E5	A15	E3	A7	A9	A6	N7	A10	N6	A8	A16	
Generation:	80	Best fitness:	193.29931972789115	Average fitness:	336.7340340136055	Fitness standard deviation:	30.448877178789036	Best genome:	N9	A16	N5	N3	E4	A11	A6	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A8	A13	
Generation:	96	Best fitness:	193.29931972789115	Average fitness:	349.53531972789125	Fitness standard deviation:	34.63001013512968	Best genome:	N9	A16	N5	N3	E4	A11	A6	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A8	A13	
Generation:	112	Best fitness:	193.29931972789115	Average fitness:	343.65046258503406	Fitness standard deviation:	36.87225532808635	Best genome:	N9	A16	N5	N3	E4	A11	A6	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A8	A13	
Generation:	128	Best fitness:	193.29931972789115	Average fitness:	342.99446258503417	Fitness standard deviation:	38.12519185471969	Best genome:	N9	A16	N5	N3	E4	A11	A6	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A8	A13	
Generation:	144	Best fitness:	190.8421768707483	Average fitness:	344.7014625850342	Fitness standard deviation:	33.884277124124836	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A6	A8	A13	N9	A16	
Generation:	160	Best fitness:	190.8421768707483	Average fitness:	344.80674829931996	Fitness standard deviation:	35.5662279893125	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A9	A10	N12	A7	A14	N6	A6	A8	A13	N9	A16	
Generation:	176	Best fitness:	188.8421768707483	Average fitness:	344.52503401360576	Fitness standard deviation:	34.83498944733467	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	A7	A14	N6	A6	A8	A13	N9	A16	
