Generation:	16	Best fitness:	214.29931972789115	Average fitness:	341.9753197278914	Fitness standard deviation:	36.91218740608637	Best genome:	N9	A13	A12	E4	E3	A16	E5	A15	N7	A6	A14	A17	A11	N6	N12	A8	A10	N5	N3	A9	A7	
Generation:	32	Best fitness:	192.29931972789115	Average fitness:	342.5076054421768	Fitness standard deviation:	35.4397365575043	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	N7	A14	E4	A11	A8	N3	N5	A10	A9	A7	
Generation:	48	Best fitness:	176.29931972789115	Average fitness:	342.90317687074855	Fitness standard deviation:	35.3744998294488	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	E4	A11	A8	N3	N5	A10	A9	A7	
Generation:	64	Best fitness:	156.29931972789115	Average fitness:	338.69474829931977	Fitness standard deviation:	34.86279853883196	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	E4	A11	A8	A9	N5	A10	N3	A7	
Generation:	80	Best fitness:	156.29931972789115	Average fitness:	345.5834625850343	Fitness standard deviation:	33.848464372667706	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	E4	A11	A8	A9	N5	A10	N3	A7	
Generation:	96	Best fitness:	156.29931972789115	Average fitness:	341.7630340136055	Fitness standard deviation:	36.474070600963664	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	E4	A11	A8	A9	N5	A10	N3	A7	
Generation:	112	Best fitness:	152.29931972789115	Average fitness:	336.24260544217714	Fitness standard deviation:	36.41007244330242	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	A11	E4	N7	A8	A9	N3	A7	
Generation:	128	Best fitness:	152.29931972789115	Average fitness:	334.5178911564628	Fitness standard deviation:	39.21165265685232	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	A11	E4	N7	A8	A9	N3	A7	
Generation:	144	Best fitness:	152.29931972789115	Average fitness:	338.1578911564629	Fitness standard deviation:	37.259484890235846	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	A11	E4	N7	A8	A9	N3	A7	
Generation:	160	Best fitness:	146.29931972789115	Average fitness:	337.07289115646256	Fitness standard deviation:	38.436151874483585	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	E4	N7	A11	A8	A9	N3	A7	
Generation:	176	Best fitness:	146.29931972789115	Average fitness:	334.395605442177	Fitness standard deviation:	37.36785078002704	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	E4	N7	A11	A8	A9	N3	A7	
Generation:	192	Best fitness:	146.29931972789115	Average fitness:	336.156319727891	Fitness standard deviation:	39.93489073402828	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	A10	N5	E4	N7	A11	A8	A9	N3	A7	
Generation:	208	Best fitness:	129.29931972789115	Average fitness:	338.38189115646264	Fitness standard deviation:	41.15236465445285	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	224	Best fitness:	129.29931972789115	Average fitness:	337.6480340136054	Fitness standard deviation:	40.551157339985316	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	240	Best fitness:	129.29931972789115	Average fitness:	339.8351768707484	Fitness standard deviation:	36.2209070867044	Best genome:	N9	A13	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
