Generation:	16	Best fitness:	232.69931972789115	Average fitness:	339.20931972789106	Fitness standard deviation:	34.984200019729016	Best genome:	A16	A13	A9	N5	E4	N7	N6	A17	A12	A11	A6	E3	A7	A14	N9	N3	A15	N12	E5	A10	A8	
Generation:	32	Best fitness:	199.29931972789115	Average fitness:	342.57260544217695	Fitness standard deviation:	33.92451459385339	Best genome:	N9	A12	A14	A17	A7	N5	A9	N3	E4	N6	A11	E3	A6	A15	N12	N7	A10	E5	A8	A16	A13	
Generation:	48	Best fitness:	190.29931972789115	Average fitness:	336.5571768707484	Fitness standard deviation:	35.89601074276776	Best genome:	N9	A12	A14	A17	A7	N5	A9	N3	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	64	Best fitness:	190.29931972789115	Average fitness:	340.0477482993197	Fitness standard deviation:	34.01532400137278	Best genome:	N9	A12	A14	A17	A7	N5	A9	N3	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	80	Best fitness:	190.29931972789115	Average fitness:	340.65403401360555	Fitness standard deviation:	34.50842550503767	Best genome:	N9	A12	A14	A17	A7	N5	A9	N3	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	96	Best fitness:	190.29931972789115	Average fitness:	340.79203401360553	Fitness standard deviation:	34.98991930600608	Best genome:	N9	A12	A14	A17	A7	N5	A9	N3	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	112	Best fitness:	168.29931972789115	Average fitness:	341.3230340136055	Fitness standard deviation:	38.18993094243238	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	128	Best fitness:	168.29931972789115	Average fitness:	339.8007482993198	Fitness standard deviation:	37.52799888083562	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	144	Best fitness:	168.29931972789115	Average fitness:	340.8687482993199	Fitness standard deviation:	40.94112971233756	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	A15	E3	N7	A10	N12	E5	N6	A6	A8	A16	A13	
Generation:	160	Best fitness:	160.29931972789115	Average fitness:	333.4214625850342	Fitness standard deviation:	35.81751434959821	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	A15	E3	N7	A6	A10	E5	N12	N6	A8	A16	A13	
Generation:	176	Best fitness:	154.29931972789115	Average fitness:	334.6248911564625	Fitness standard deviation:	38.49044131511944	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	A15	E3	N7	A6	N6	A10	N12	E5	A8	A16	A13	
Generation:	192	Best fitness:	146.29931972789115	Average fitness:	341.4556054421773	Fitness standard deviation:	37.80898434531784	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	E3	A15	N6	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	208	Best fitness:	146.29931972789115	Average fitness:	339.0657482993198	Fitness standard deviation:	40.06830702763999	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	E3	A15	N6	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	224	Best fitness:	146.29931972789115	Average fitness:	341.12717687074854	Fitness standard deviation:	41.16076727607372	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	E3	A15	N6	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	240	Best fitness:	141.29931972789115	Average fitness:	338.35446258503396	Fitness standard deviation:	36.111602467000736	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	256	Best fitness:	141.29931972789115	Average fitness:	337.60174829931987	Fitness standard deviation:	38.4302147580122	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	272	Best fitness:	141.29931972789115	Average fitness:	339.1831768707486	Fitness standard deviation:	38.82003291774356	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	288	Best fitness:	141.29931972789115	Average fitness:	343.72003401360547	Fitness standard deviation:	38.918788279216095	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	304	Best fitness:	141.29931972789115	Average fitness:	338.71974829931975	Fitness standard deviation:	37.733436196075026	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	320	Best fitness:	141.29931972789115	Average fitness:	337.1377482993198	Fitness standard deviation:	39.91869804812205	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	336	Best fitness:	141.29931972789115	Average fitness:	341.01217687074825	Fitness standard deviation:	36.1007750213601	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	352	Best fitness:	141.29931972789115	Average fitness:	343.57531972789127	Fitness standard deviation:	41.88550218617124	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	368	Best fitness:	141.29931972789115	Average fitness:	338.66989115646277	Fitness standard deviation:	39.89560723709225	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	384	Best fitness:	141.29931972789115	Average fitness:	339.765605442177	Fitness standard deviation:	38.53280031455841	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
