Generation:	16	Best fitness:	220.8421768707483	Average fitness:	339.76889115646264	Fitness standard deviation:	35.216278538511716	Best genome:	A15	E5	A9	N6	N7	A10	N5	E4	A11	A6	E3	A7	A17	A14	A12	N3	A16	N12	A8	N9	A13	
Generation:	32	Best fitness:	209.87074829931973	Average fitness:	341.20089115646266	Fitness standard deviation:	33.18070347724559	Best genome:	A9	N5	A15	N7	A10	A11	E3	A6	A7	A14	A12	A17	N6	E4	N3	A8	N12	A16	E5	A13	N9	
Generation:	48	Best fitness:	209.87074829931973	Average fitness:	345.1353197278913	Fitness standard deviation:	34.56393380861806	Best genome:	A9	N5	A15	N7	A10	A11	E3	A6	A7	A14	A12	A17	N6	E4	N3	A8	N12	A16	E5	A13	N9	
Generation:	64	Best fitness:	183.87074829931973	Average fitness:	344.3216054421771	Fitness standard deviation:	34.44838601829273	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	80	Best fitness:	183.87074829931973	Average fitness:	338.03774829931996	Fitness standard deviation:	36.85945375894986	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	96	Best fitness:	183.87074829931973	Average fitness:	339.3817482993199	Fitness standard deviation:	36.142892171355136	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	112	Best fitness:	183.87074829931973	Average fitness:	346.9001768707484	Fitness standard deviation:	36.87526906550055	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	128	Best fitness:	183.87074829931973	Average fitness:	338.15831972789135	Fitness standard deviation:	36.00231818811626	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	144	Best fitness:	183.87074829931973	Average fitness:	344.9007482993201	Fitness standard deviation:	36.41074126671739	Best genome:	A9	N5	A15	N7	A10	A11	E3	A7	A6	A14	A12	E4	N3	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	160	Best fitness:	148.87074829931973	Average fitness:	341.9536054421772	Fitness standard deviation:	37.11634526343193	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	176	Best fitness:	148.87074829931973	Average fitness:	340.19417687074844	Fitness standard deviation:	37.1368256377545	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	192	Best fitness:	148.87074829931973	Average fitness:	339.3051768707485	Fitness standard deviation:	36.16159133864074	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	208	Best fitness:	148.87074829931973	Average fitness:	340.8223197278912	Fitness standard deviation:	37.07898961676273	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	224	Best fitness:	148.87074829931973	Average fitness:	339.53389115646263	Fitness standard deviation:	37.28477399909064	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	240	Best fitness:	148.87074829931973	Average fitness:	340.6818911564627	Fitness standard deviation:	36.56352166645141	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	256	Best fitness:	148.87074829931973	Average fitness:	344.30574829932004	Fitness standard deviation:	37.91803118947124	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	272	Best fitness:	148.87074829931973	Average fitness:	340.46203401360543	Fitness standard deviation:	36.567649157110864	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	288	Best fitness:	148.87074829931973	Average fitness:	339.3744625850339	Fitness standard deviation:	38.75567237587452	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	304	Best fitness:	148.87074829931973	Average fitness:	337.74803401360566	Fitness standard deviation:	34.05876515760993	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	320	Best fitness:	148.87074829931973	Average fitness:	342.421605442177	Fitness standard deviation:	39.13978738327743	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	336	Best fitness:	148.87074829931973	Average fitness:	345.92617687074846	Fitness standard deviation:	35.11889701675537	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	352	Best fitness:	148.87074829931973	Average fitness:	338.7871768707485	Fitness standard deviation:	41.11702293454621	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A16	E5	A13	N9	
Generation:	368	Best fitness:	148.81360544217688	Average fitness:	342.2740340136056	Fitness standard deviation:	38.49338646376776	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	384	Best fitness:	148.81360544217688	Average fitness:	338.68360544217705	Fitness standard deviation:	37.97725138091196	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	400	Best fitness:	148.81360544217688	Average fitness:	339.1010340136056	Fitness standard deviation:	34.85448779583777	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	416	Best fitness:	148.81360544217688	Average fitness:	334.3046054421769	Fitness standard deviation:	40.24643891738266	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	432	Best fitness:	148.81360544217688	Average fitness:	338.28603401360556	Fitness standard deviation:	39.25274667394602	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	448	Best fitness:	148.81360544217688	Average fitness:	340.1628911564626	Fitness standard deviation:	37.5433054373648	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	464	Best fitness:	148.81360544217688	Average fitness:	342.374605442177	Fitness standard deviation:	39.71052070308578	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	480	Best fitness:	148.81360544217688	Average fitness:	337.7350340136056	Fitness standard deviation:	38.44069715755924	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	496	Best fitness:	148.81360544217688	Average fitness:	341.39717687074847	Fitness standard deviation:	36.9673874406033	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	512	Best fitness:	148.81360544217688	Average fitness:	341.68646258503423	Fitness standard deviation:	38.527119391039726	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	528	Best fitness:	148.81360544217688	Average fitness:	340.9847482993198	Fitness standard deviation:	37.606783690049916	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	544	Best fitness:	148.81360544217688	Average fitness:	341.3050340136056	Fitness standard deviation:	40.54742982367838	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	560	Best fitness:	148.81360544217688	Average fitness:	338.7521768707484	Fitness standard deviation:	37.37516951022921	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	576	Best fitness:	148.81360544217688	Average fitness:	343.19274829931993	Fitness standard deviation:	38.69797470943725	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	592	Best fitness:	148.81360544217688	Average fitness:	345.9551768707484	Fitness standard deviation:	38.08915709415026	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	608	Best fitness:	148.81360544217688	Average fitness:	341.14917687074836	Fitness standard deviation:	38.52272152183668	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	624	Best fitness:	148.81360544217688	Average fitness:	346.1716054421771	Fitness standard deviation:	37.74587680253085	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	640	Best fitness:	148.81360544217688	Average fitness:	344.4106054421771	Fitness standard deviation:	39.605004362982164	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	656	Best fitness:	148.81360544217688	Average fitness:	337.28003401360564	Fitness standard deviation:	40.40285754063665	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	672	Best fitness:	148.81360544217688	Average fitness:	339.8187482993198	Fitness standard deviation:	35.250018122444324	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	688	Best fitness:	148.81360544217688	Average fitness:	334.42174829932	Fitness standard deviation:	41.402083194901564	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	704	Best fitness:	148.81360544217688	Average fitness:	340.80046258503404	Fitness standard deviation:	40.06200824741973	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	720	Best fitness:	148.81360544217688	Average fitness:	339.52874829931966	Fitness standard deviation:	37.636966512258894	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	736	Best fitness:	148.81360544217688	Average fitness:	337.87803401360566	Fitness standard deviation:	40.25894480378597	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	752	Best fitness:	148.81360544217688	Average fitness:	343.1464625850341	Fitness standard deviation:	37.977197213107566	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	768	Best fitness:	148.81360544217688	Average fitness:	341.657605442177	Fitness standard deviation:	38.002622341311216	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	784	Best fitness:	148.81360544217688	Average fitness:	343.01417687074826	Fitness standard deviation:	36.397832516763515	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	800	Best fitness:	148.81360544217688	Average fitness:	339.5091768707485	Fitness standard deviation:	40.46467621523841	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	816	Best fitness:	148.81360544217688	Average fitness:	335.17617687074846	Fitness standard deviation:	40.732675985989324	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	832	Best fitness:	148.81360544217688	Average fitness:	339.7127482993199	Fitness standard deviation:	38.8040908752294	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	848	Best fitness:	148.81360544217688	Average fitness:	337.80274829931994	Fitness standard deviation:	38.670203005541566	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
