Generation:	16	Best fitness:	236.52789115646257	Average fitness:	343.78517687074816	Fitness standard deviation:	31.348917306760733	Best genome:	E3	A11	A10	N12	N5	A7	A17	E5	N9	N3	A13	A9	E4	A6	A12	N6	N7	A15	A14	A8	A16	
Generation:	32	Best fitness:	234.756462585034	Average fitness:	347.53546258503417	Fitness standard deviation:	33.49882562394797	Best genome:	A9	N3	A14	A6	A17	N12	N5	A13	A16	E4	A11	E3	E5	A15	N7	A12	N9	N6	A7	A10	A8	
Generation:	48	Best fitness:	199.32789115646258	Average fitness:	344.47574829931983	Fitness standard deviation:	34.37677864044096	Best genome:	A8	N9	A16	A10	N12	A11	A6	A14	A12	A13	A9	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	
Generation:	64	Best fitness:	195.87074829931973	Average fitness:	341.74103401360594	Fitness standard deviation:	34.84537726960671	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	80	Best fitness:	195.87074829931973	Average fitness:	341.87903401360546	Fitness standard deviation:	34.12891892306499	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	96	Best fitness:	195.87074829931973	Average fitness:	341.8521768707482	Fitness standard deviation:	34.72797892777758	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	112	Best fitness:	195.87074829931973	Average fitness:	343.04403401360554	Fitness standard deviation:	34.45829529907664	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	128	Best fitness:	195.87074829931973	Average fitness:	347.05317687074853	Fitness standard deviation:	35.918017726029184	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	144	Best fitness:	195.87074829931973	Average fitness:	340.95403401360556	Fitness standard deviation:	35.999513576929196	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	160	Best fitness:	195.87074829931973	Average fitness:	344.7764625850341	Fitness standard deviation:	32.34057690094154	Best genome:	A16	A10	N12	A11	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	176	Best fitness:	189.87074829931973	Average fitness:	343.90960544217705	Fitness standard deviation:	33.30960663538496	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	192	Best fitness:	189.87074829931973	Average fitness:	342.8844625850343	Fitness standard deviation:	38.25680133849485	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	208	Best fitness:	189.87074829931973	Average fitness:	341.54189115646244	Fitness standard deviation:	36.55608260506822	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	224	Best fitness:	189.87074829931973	Average fitness:	343.12303401360566	Fitness standard deviation:	36.81635984067907	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
