Generation:	16	Best fitness:	195.29931972789115	Average fitness:	339.79017687074827	Fitness standard deviation:	34.187813768735104	Best genome:	N9	A16	E5	A10	E3	A8	A17	E4	N3	N5	N7	A13	A9	A7	A14	A6	N6	A11	N12	A15	A12	
Generation:	32	Best fitness:	192.87074829931973	Average fitness:	343.8250340136056	Fitness standard deviation:	36.30031697168632	Best genome:	A16	E5	A10	E3	A8	E4	N3	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	48	Best fitness:	192.87074829931973	Average fitness:	344.43760544217696	Fitness standard deviation:	35.70453163258189	Best genome:	A16	E5	A10	E3	A8	E4	N3	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	64	Best fitness:	187.87074829931973	Average fitness:	344.22017687074856	Fitness standard deviation:	32.60162318608304	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	80	Best fitness:	187.87074829931973	Average fitness:	342.26489115646285	Fitness standard deviation:	37.937994018973555	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	96	Best fitness:	187.87074829931973	Average fitness:	345.50089115646284	Fitness standard deviation:	34.955610007551	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	112	Best fitness:	187.87074829931973	Average fitness:	343.3737482993199	Fitness standard deviation:	34.929132089861895	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	128	Best fitness:	187.87074829931973	Average fitness:	340.9988911564628	Fitness standard deviation:	34.61776681717298	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	144	Best fitness:	187.87074829931973	Average fitness:	341.19574829932	Fitness standard deviation:	34.891766461971145	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	160	Best fitness:	187.87074829931973	Average fitness:	342.5133197278914	Fitness standard deviation:	33.22250491115064	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	176	Best fitness:	187.87074829931973	Average fitness:	343.9590340136058	Fitness standard deviation:	34.97705734229984	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	192	Best fitness:	187.87074829931973	Average fitness:	343.76889115646264	Fitness standard deviation:	34.58513938006864	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	208	Best fitness:	187.87074829931973	Average fitness:	340.40717687074846	Fitness standard deviation:	35.857713078846764	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	224	Best fitness:	187.87074829931973	Average fitness:	345.7744625850342	Fitness standard deviation:	32.52685487785282	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
Generation:	240	Best fitness:	187.87074829931973	Average fitness:	344.869605442177	Fitness standard deviation:	33.16133263859199	Best genome:	A16	E5	A10	E3	A8	N3	E4	N5	N7	A13	A9	A7	A14	A12	A17	A6	N6	A11	N12	A15	N9	
