Generation:	16	Best fitness:	234.69931972789115	Average fitness:	343.47046258503417	Fitness standard deviation:	33.13430702397719	Best genome:	E5	A14	E4	A7	A11	N6	A15	E3	N7	A10	N12	A6	A17	A13	N9	A16	N5	A12	A9	N3	A8	
Generation:	32	Best fitness:	215.52789115646257	Average fitness:	344.42531972789146	Fitness standard deviation:	37.80810119321961	Best genome:	E5	E4	N3	A14	A6	A17	A9	A7	N9	N7	N6	A8	A16	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	48	Best fitness:	185.52789115646257	Average fitness:	341.88103401360553	Fitness standard deviation:	35.05523653450075	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	64	Best fitness:	185.52789115646257	Average fitness:	344.9816054421771	Fitness standard deviation:	35.69612150200235	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	80	Best fitness:	185.52789115646257	Average fitness:	342.35231972789114	Fitness standard deviation:	34.567640335246175	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	96	Best fitness:	185.52789115646257	Average fitness:	344.27446258503437	Fitness standard deviation:	35.81921241513855	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	112	Best fitness:	185.52789115646257	Average fitness:	341.9647482993199	Fitness standard deviation:	36.0654901578577	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	128	Best fitness:	185.52789115646257	Average fitness:	343.96146258503404	Fitness standard deviation:	37.535913517209465	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	144	Best fitness:	185.52789115646257	Average fitness:	339.94517687074847	Fitness standard deviation:	36.55241346033816	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	160	Best fitness:	185.52789115646257	Average fitness:	340.82017687074864	Fitness standard deviation:	34.760976444095164	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	176	Best fitness:	185.52789115646257	Average fitness:	335.460605442177	Fitness standard deviation:	34.6443713244935	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	192	Best fitness:	185.52789115646257	Average fitness:	343.58617687074843	Fitness standard deviation:	32.120888345150625	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
