Generation:	16	Best fitness:	218.52789115646257	Average fitness:	340.8156054421772	Fitness standard deviation:	33.12204463643449	Best genome:	N12	E5	N3	A7	A10	A8	A13	A9	N9	A15	E4	N5	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	32	Best fitness:	209.49931972789116	Average fitness:	345.09574829931984	Fitness standard deviation:	33.12986530307662	Best genome:	A8	A13	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	48	Best fitness:	209.49931972789116	Average fitness:	341.72517687074856	Fitness standard deviation:	35.87281826943397	Best genome:	A8	A13	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	64	Best fitness:	209.49931972789116	Average fitness:	342.94774829932	Fitness standard deviation:	35.85899166520019	Best genome:	A8	A13	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	80	Best fitness:	209.49931972789116	Average fitness:	342.5416054421772	Fitness standard deviation:	37.91675683194781	Best genome:	A8	A13	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	96	Best fitness:	204.49931972789116	Average fitness:	338.96889115646263	Fitness standard deviation:	34.877942807886534	Best genome:	A16	A8	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A13	
Generation:	112	Best fitness:	204.49931972789116	Average fitness:	345.57689115646286	Fitness standard deviation:	32.74499985229089	Best genome:	A16	A8	A9	N3	E5	N12	A7	N9	E4	N5	A15	A10	A11	N7	N6	E3	A6	A12	A17	A14	A13	
Generation:	128	Best fitness:	173.38503401360543	Average fitness:	342.75031972789134	Fitness standard deviation:	35.64287613827149	Best genome:	A9	N3	A7	N9	E4	A11	N6	N5	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A16	A8	
Generation:	144	Best fitness:	173.38503401360543	Average fitness:	336.75089115646296	Fitness standard deviation:	35.87170594391254	Best genome:	A9	N3	A7	N9	E4	A11	N6	N5	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A16	A8	
Generation:	160	Best fitness:	173.38503401360543	Average fitness:	338.62731972789146	Fitness standard deviation:	39.099870552528564	Best genome:	A9	N3	A7	N9	E4	A11	N6	N5	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A16	A8	
Generation:	176	Best fitness:	173.38503401360543	Average fitness:	339.8196054421769	Fitness standard deviation:	37.27768108207836	Best genome:	A9	N3	A7	N9	E4	A11	N6	N5	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A16	A8	
