Generation:	16	Best fitness:	231.49931972789116	Average fitness:	342.6400340136057	Fitness standard deviation:	33.53543613911733	Best genome:	A13	N7	A11	A8	A9	N3	A7	N9	A16	N6	E3	N5	E4	A10	A12	A17	A14	E5	A15	A6	N12	
Generation:	32	Best fitness:	228.38503401360543	Average fitness:	345.87360544217734	Fitness standard deviation:	36.409853790714735	Best genome:	A9	N3	A7	N9	A13	N6	A10	A16	E3	N5	E4	A12	A17	A14	E5	A15	A6	N12	N7	A11	A8	
Generation:	48	Best fitness:	220.38503401360543	Average fitness:	340.4356054421769	Fitness standard deviation:	34.7237545828001	Best genome:	A9	N3	A7	N9	A13	N6	A10	A16	A17	A14	A6	E5	N12	N5	E4	E3	A15	A12	N7	A11	A8	
Generation:	64	Best fitness:	220.38503401360543	Average fitness:	340.6403197278911	Fitness standard deviation:	34.69299524399702	Best genome:	A9	N3	A7	N9	A13	N6	A10	A16	A17	A14	A6	E5	N12	N5	E4	E3	A15	A12	N7	A11	A8	
Generation:	80	Best fitness:	205.38503401360543	Average fitness:	339.17574829931976	Fitness standard deviation:	33.52875767645635	Best genome:	A9	N3	A7	N9	A13	E5	A16	A17	N5	E4	N6	A14	A10	N12	A6	E3	A15	A12	N7	A11	A8	
Generation:	96	Best fitness:	202.38503401360543	Average fitness:	342.48731972789136	Fitness standard deviation:	31.459102360145657	Best genome:	A9	N3	A7	N9	A17	A16	E5	A13	N5	E4	N6	A14	A10	N12	A6	E3	A15	A12	N7	A11	A8	
Generation:	112	Best fitness:	202.38503401360543	Average fitness:	348.63574829931997	Fitness standard deviation:	33.71129108219636	Best genome:	A9	N3	A7	N9	A17	A16	E5	A13	N5	E4	N6	A14	A10	N12	A6	E3	A15	A12	N7	A11	A8	
Generation:	128	Best fitness:	202.38503401360543	Average fitness:	340.8127482993201	Fitness standard deviation:	36.775394270559524	Best genome:	A9	N3	A7	N9	A17	A16	E5	A13	N5	E4	N6	A14	A10	N12	A6	E3	A15	A12	N7	A11	A8	
Generation:	144	Best fitness:	191.38503401360543	Average fitness:	340.3680340136055	Fitness standard deviation:	35.626446734390555	Best genome:	A9	N3	A7	N9	A17	A16	E5	A13	N5	E4	N6	A14	A10	N12	A15	A6	A12	N7	E3	A11	A8	
Generation:	160	Best fitness:	191.38503401360543	Average fitness:	340.1193197278914	Fitness standard deviation:	35.08037814237818	Best genome:	A9	N3	A7	N9	A17	A16	E5	A13	N5	E4	N6	A14	A10	N12	A15	A6	A12	N7	E3	A11	A8	
Generation:	176	Best fitness:	186.38503401360543	Average fitness:	341.2287482993197	Fitness standard deviation:	34.71165832620363	Best genome:	A9	N3	A7	N9	A16	E5	E4	A13	A14	A17	A10	N5	N6	N12	A15	A6	A12	N7	E3	A11	A8	
