Generation:	16	Best fitness:	239.87074829931973	Average fitness:	327.80731972789124	Fitness standard deviation:	30.86306995456557	Best genome:	A13	N12	A8	N6	N5	A11	A10	E3	A15	N7	E4	A6	A9	A7	A14	A12	A16	E5	N3	A17	N9	
Generation:	32	Best fitness:	203.87074829931973	Average fitness:	328.55417687074834	Fitness standard deviation:	36.347030685786	Best genome:	A13	N12	N6	N5	A11	A10	E3	A15	N7	A9	E4	A7	A14	A12	A16	E5	N3	A6	A17	A8	N9	
Generation:	48	Best fitness:	188.87074829931973	Average fitness:	323.02217687074824	Fitness standard deviation:	41.136977059971876	Best genome:	A13	N12	N6	N5	A11	A10	E3	A15	N7	N3	A17	A14	A9	E4	A7	A6	A12	A16	E5	A8	N9	
Generation:	64	Best fitness:	188.87074829931973	Average fitness:	321.8610340136054	Fitness standard deviation:	41.239387398209395	Best genome:	A13	N12	N6	N5	A11	A10	E3	A15	N7	N3	A17	A14	A9	E4	A7	A6	A12	A16	E5	A8	N9	
Generation:	80	Best fitness:	188.87074829931973	Average fitness:	329.1113197278912	Fitness standard deviation:	40.657076233255324	Best genome:	A13	N12	N6	N5	A11	A10	E3	A15	N7	N3	A17	A14	A9	E4	A7	A6	A12	A16	E5	A8	N9	
Generation:	96	Best fitness:	188.29931972789115	Average fitness:	319.75474829931983	Fitness standard deviation:	41.04590338652966	Best genome:	N9	N12	N6	N5	A11	A10	E3	A15	N7	N3	A17	A14	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	112	Best fitness:	183.29931972789115	Average fitness:	321.31760544217695	Fitness standard deviation:	40.87180346759704	Best genome:	N9	N12	N6	N5	A11	A10	E3	A15	N7	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	128	Best fitness:	172.29931972789115	Average fitness:	326.1833197278912	Fitness standard deviation:	50.260695857515074	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	144	Best fitness:	172.29931972789115	Average fitness:	328.8136054421768	Fitness standard deviation:	40.710373345858464	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	160	Best fitness:	172.29931972789115	Average fitness:	322.0844625850341	Fitness standard deviation:	48.1031613335934	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	176	Best fitness:	172.29931972789115	Average fitness:	336.68389115646255	Fitness standard deviation:	45.27094494084186	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	192	Best fitness:	172.29931972789115	Average fitness:	319.39360544217686	Fitness standard deviation:	45.16532686719326	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	208	Best fitness:	172.29931972789115	Average fitness:	321.92731972789124	Fitness standard deviation:	44.27976457360493	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	224	Best fitness:	172.29931972789115	Average fitness:	326.10389115646257	Fitness standard deviation:	45.95669491677432	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
