Generation:	16	Best fitness:	252.61360544217686	Average fitness:	337.20789115646255	Fitness standard deviation:	31.199601253338912	Best genome:	A16	A9	N6	N12	E5	A15	A11	N3	N5	E4	E3	N9	A17	A6	A12	A13	N7	A14	A7	A10	A8	
Generation:	32	Best fitness:	239.52789115646257	Average fitness:	321.8021768707482	Fitness standard deviation:	28.81772187175022	Best genome:	A13	A9	N3	A6	A10	E4	E5	A8	N9	A11	E3	A14	A7	A12	A17	N5	A15	N7	N6	N12	A16	
Generation:	48	Best fitness:	234.52789115646257	Average fitness:	330.8724625850341	Fitness standard deviation:	35.915857863077925	Best genome:	A13	A9	N3	A6	A10	E4	E5	A8	N9	A11	E3	A14	A7	A12	N7	A15	A17	N5	N6	N12	A16	
Generation:	64	Best fitness:	225.58503401360545	Average fitness:	332.5976054421769	Fitness standard deviation:	33.96272538281596	Best genome:	A13	A9	N3	A10	E3	A8	E4	A7	A14	E5	N9	A11	A6	A12	N7	A15	A17	N5	N6	N12	A16	
Generation:	80	Best fitness:	224.58503401360545	Average fitness:	333.6804625850341	Fitness standard deviation:	35.874535388017534	Best genome:	A9	N3	A11	A10	E3	A8	E4	A7	A14	E5	N9	A6	A15	A17	A12	N7	N5	N6	N12	A16	A13	
Generation:	96	Best fitness:	208.58503401360545	Average fitness:	335.2261768707483	Fitness standard deviation:	38.6638313968716	Best genome:	A9	N3	A11	A10	E3	A8	E4	A7	A14	E5	N9	A15	A6	A17	A12	N7	N5	N6	N12	A16	A13	
Generation:	112	Best fitness:	208.58503401360545	Average fitness:	330.3021768707482	Fitness standard deviation:	37.58349626946295	Best genome:	A9	N3	A11	A10	E3	A8	E4	A7	A14	E5	N9	A15	A6	A17	A12	N7	N5	N6	N12	A16	A13	
Generation:	128	Best fitness:	199.52789115646257	Average fitness:	337.05931972789114	Fitness standard deviation:	39.04393255536326	Best genome:	A16	E5	A9	A14	A17	N5	E4	A7	N9	A15	A6	A12	N7	N6	N12	A13	N3	A11	A10	E3	A8	
Generation:	144	Best fitness:	199.52789115646257	Average fitness:	332.4136054421769	Fitness standard deviation:	41.611784437604136	Best genome:	A16	E5	A9	A14	A17	N5	E4	A7	N9	A15	A6	A12	N7	N6	N12	A13	N3	A11	A10	E3	A8	
Generation:	160	Best fitness:	199.52789115646257	Average fitness:	326.25303401360543	Fitness standard deviation:	42.286391457898276	Best genome:	A16	E5	A9	A14	A17	N5	E4	A7	N9	A15	A6	A12	N7	N6	N12	A13	N3	A11	A10	E3	A8	
Generation:	176	Best fitness:	192.78503401360544	Average fitness:	330.28960544217693	Fitness standard deviation:	35.580644410311926	Best genome:	A9	E4	A15	A17	N3	A14	A12	N7	E3	N6	N12	A7	A6	N5	A11	A10	A8	N9	A16	E5	A13	
Generation:	192	Best fitness:	192.78503401360544	Average fitness:	327.4204625850341	Fitness standard deviation:	42.83453444050365	Best genome:	A9	E4	A15	A17	N3	A14	A12	N7	E3	N6	N12	A7	A6	N5	A11	A10	A8	N9	A16	E5	A13	
