Generation:	16	Best fitness:	243.8421768707483	Average fitness:	329.5056054421769	Fitness standard deviation:	36.35615223573247	Best genome:	A9	E4	A11	N5	A16	A15	A10	N12	A6	A7	N3	A13	A14	A17	N7	E3	N6	E5	A8	N9	A12	
Generation:	32	Best fitness:	211.6421768707483	Average fitness:	332.28617687074825	Fitness standard deviation:	37.97288407830632	Best genome:	N7	N6	N5	A10	A6	N3	A14	A17	E3	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	48	Best fitness:	173.6421768707483	Average fitness:	317.97646258503397	Fitness standard deviation:	37.80953308144302	Best genome:	N7	N6	N3	N5	A10	A6	A14	A17	E3	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	64	Best fitness:	173.6421768707483	Average fitness:	323.62503401360533	Fitness standard deviation:	46.78673595394842	Best genome:	N7	N6	N3	N5	A10	A6	A14	A17	E3	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	80	Best fitness:	173.6421768707483	Average fitness:	330.46903401360544	Fitness standard deviation:	49.69313422292821	Best genome:	N7	N6	N3	N5	A10	A6	A14	A17	E3	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	96	Best fitness:	168.6421768707483	Average fitness:	330.4621768707483	Fitness standard deviation:	42.142862663437896	Best genome:	N7	N6	N3	N5	E3	A6	A17	A14	A10	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	112	Best fitness:	162.6421768707483	Average fitness:	320.7753197278912	Fitness standard deviation:	43.49356663100549	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	128	Best fitness:	162.6421768707483	Average fitness:	333.9496054421769	Fitness standard deviation:	40.37426885570379	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A12	N9	A9	E4	A11	A15	A16	E5	A8	A13	
Generation:	144	Best fitness:	153.756462585034	Average fitness:	326.2358911564625	Fitness standard deviation:	46.13715888389262	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	160	Best fitness:	153.756462585034	Average fitness:	315.8016054421768	Fitness standard deviation:	47.456594850194534	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	176	Best fitness:	153.756462585034	Average fitness:	325.3370340136055	Fitness standard deviation:	44.084638238881595	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	192	Best fitness:	153.756462585034	Average fitness:	319.35074829931966	Fitness standard deviation:	52.05088436583289	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	208	Best fitness:	153.756462585034	Average fitness:	329.4530340136054	Fitness standard deviation:	40.82982418951787	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	224	Best fitness:	153.756462585034	Average fitness:	319.33074829931974	Fitness standard deviation:	44.36568456979943	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	240	Best fitness:	153.756462585034	Average fitness:	329.7598911564626	Fitness standard deviation:	41.8712403914473	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	256	Best fitness:	153.756462585034	Average fitness:	311.2330340136055	Fitness standard deviation:	45.953973580493944	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	272	Best fitness:	153.756462585034	Average fitness:	317.14160544217685	Fitness standard deviation:	43.7104936693276	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	288	Best fitness:	153.756462585034	Average fitness:	319.6707482993197	Fitness standard deviation:	47.520642818437885	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	304	Best fitness:	153.756462585034	Average fitness:	321.4896054421768	Fitness standard deviation:	47.95541759865327	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	320	Best fitness:	153.756462585034	Average fitness:	323.5210340136054	Fitness standard deviation:	43.34101834690711	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	336	Best fitness:	153.756462585034	Average fitness:	308.83417687074825	Fitness standard deviation:	54.47029103454245	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	352	Best fitness:	153.756462585034	Average fitness:	336.7176054421768	Fitness standard deviation:	44.109074732938105	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	368	Best fitness:	153.756462585034	Average fitness:	322.52560544217687	Fitness standard deviation:	46.49073564591078	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	384	Best fitness:	153.756462585034	Average fitness:	328.45817687074833	Fitness standard deviation:	46.94063612170381	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	400	Best fitness:	153.756462585034	Average fitness:	323.987319727891	Fitness standard deviation:	47.87211939306295	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	416	Best fitness:	153.756462585034	Average fitness:	330.2593197278912	Fitness standard deviation:	49.92141906669574	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	432	Best fitness:	153.756462585034	Average fitness:	322.29589115646263	Fitness standard deviation:	48.87489757262612	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	448	Best fitness:	153.756462585034	Average fitness:	316.1227482993196	Fitness standard deviation:	46.902278153624906	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	464	Best fitness:	153.756462585034	Average fitness:	332.10160544217695	Fitness standard deviation:	47.242266734398775	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	480	Best fitness:	153.756462585034	Average fitness:	318.4353197278911	Fitness standard deviation:	41.45823196757854	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
