Generation:	16	Best fitness:	233.52789115646257	Average fitness:	332.52731972789115	Fitness standard deviation:	31.51038260507745	Best genome:	A16	A14	A12	A7	A10	E5	A15	N7	N9	A13	A8	A9	E4	N3	N5	A11	A17	A6	N12	N6	E3	
Generation:	32	Best fitness:	225.81360544217688	Average fitness:	322.95017687074835	Fitness standard deviation:	36.311937111868964	Best genome:	A16	A9	A14	A13	A6	A17	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A15	
Generation:	48	Best fitness:	217.81360544217688	Average fitness:	327.68960544217686	Fitness standard deviation:	36.57225115592756	Best genome:	A16	A9	A17	A13	A14	A6	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A15	
Generation:	64	Best fitness:	216.81360544217688	Average fitness:	331.8656054421769	Fitness standard deviation:	31.15784891582255	Best genome:	A16	A9	A17	A13	A6	A14	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A15	
Generation:	80	Best fitness:	216.81360544217688	Average fitness:	324.4256054421769	Fitness standard deviation:	36.34958028110153	Best genome:	A16	A9	A17	A13	A6	A14	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A15	
Generation:	96	Best fitness:	216.81360544217688	Average fitness:	315.7010340136055	Fitness standard deviation:	39.916187053599685	Best genome:	A16	A9	A17	A13	A6	A14	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A15	
Generation:	112	Best fitness:	199.81360544217688	Average fitness:	314.9050340136055	Fitness standard deviation:	39.07160605862012	Best genome:	A9	A15	A17	A13	A6	A14	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	E5	A16	
Generation:	128	Best fitness:	181.69931972789115	Average fitness:	318.0741768707484	Fitness standard deviation:	48.97853412027995	Best genome:	A6	A14	A12	E4	E3	N6	N3	A11	N12	N5	A7	N7	A10	A8	N9	A16	E5	A9	A15	A17	A13	
Generation:	144	Best fitness:	179.69931972789115	Average fitness:	319.37531972789117	Fitness standard deviation:	42.466228833591266	Best genome:	A6	A14	A12	E4	N3	N12	E3	N6	A11	N5	A7	N7	A10	A8	N9	A16	E5	A9	A15	A17	A13	
Generation:	160	Best fitness:	165.69931972789115	Average fitness:	322.8410340136054	Fitness standard deviation:	41.8923510469978	Best genome:	A6	A14	A12	E4	N3	A11	N6	E3	N12	N5	A7	N7	A10	A8	N9	A16	E5	A9	A15	A17	A13	
Generation:	176	Best fitness:	155.69931972789115	Average fitness:	323.72046258503417	Fitness standard deviation:	43.55788747337108	Best genome:	A6	A14	A12	A11	N6	E3	N12	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
