Generation:	16	Best fitness:	235.67074829931974	Average fitness:	333.62960544217685	Fitness standard deviation:	30.35365218788106	Best genome:	A9	E3	N5	N12	A7	A12	N3	E4	A11	A16	E5	A15	A13	N9	A8	N7	A14	A17	A6	N6	A10	
Generation:	32	Best fitness:	201.81360544217688	Average fitness:	330.2650340136055	Fitness standard deviation:	38.0564474410938	Best genome:	A15	E5	A8	A9	A11	N12	A7	N7	A14	A17	A6	A10	E3	N6	N5	N3	E4	A13	N9	A12	A16	
Generation:	48	Best fitness:	181.8421768707483	Average fitness:	327.69531972789116	Fitness standard deviation:	46.545233653261796	Best genome:	A16	E5	A8	A9	A11	N12	A7	N7	A6	A17	A14	A10	E3	N6	N5	N3	E4	A13	A12	N9	A15	
Generation:	64	Best fitness:	180.8421768707483	Average fitness:	317.22331972789124	Fitness standard deviation:	40.0140337055358	Best genome:	A16	E5	A8	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A13	A12	N9	A15	
Generation:	80	Best fitness:	180.8421768707483	Average fitness:	320.6347482993197	Fitness standard deviation:	46.45356472251158	Best genome:	A16	E5	A8	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A13	A12	N9	A15	
Generation:	96	Best fitness:	180.81360544217688	Average fitness:	322.90903401360544	Fitness standard deviation:	39.07586116825599	Best genome:	A16	E5	A8	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A13	N9	A12	A15	
Generation:	112	Best fitness:	180.81360544217688	Average fitness:	328.5330340136055	Fitness standard deviation:	43.06573909449485	Best genome:	A16	E5	A8	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A13	N9	A12	A15	
Generation:	128	Best fitness:	180.81360544217688	Average fitness:	332.66674829931986	Fitness standard deviation:	40.60567126771876	Best genome:	A16	E5	A8	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A13	N9	A12	A15	
Generation:	144	Best fitness:	167.29931972789115	Average fitness:	311.36674829931985	Fitness standard deviation:	44.609627865357886	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	160	Best fitness:	167.29931972789115	Average fitness:	326.2404625850341	Fitness standard deviation:	44.0130316175024	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	176	Best fitness:	167.29931972789115	Average fitness:	320.98674829931974	Fitness standard deviation:	39.36172030834848	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	192	Best fitness:	167.29931972789115	Average fitness:	326.5027482993199	Fitness standard deviation:	43.489166613476215	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
