Generation:	16	Best fitness:	240.6421768707483	Average fitness:	338.2130340136054	Fitness standard deviation:	39.36162245287214	Best genome:	A9	N5	N3	A11	E3	A10	N7	E5	N6	N12	A8	A14	N9	A6	A12	A15	A17	A7	E4	A13	A16	
Generation:	32	Best fitness:	219.69931972789115	Average fitness:	321.0067482993198	Fitness standard deviation:	39.52694913703349	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	E5	A6	A12	A8	N12	A15	N9	A14	A17	A7	E4	A13	A16	
Generation:	48	Best fitness:	154.67074829931974	Average fitness:	314.40617687074837	Fitness standard deviation:	43.920950813097505	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	64	Best fitness:	154.67074829931974	Average fitness:	321.2816054421769	Fitness standard deviation:	44.05188995551792	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	80	Best fitness:	154.67074829931974	Average fitness:	322.39417687074837	Fitness standard deviation:	47.27042668367975	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	96	Best fitness:	154.67074829931974	Average fitness:	314.48560544217696	Fitness standard deviation:	47.65381634159395	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	112	Best fitness:	154.67074829931974	Average fitness:	323.477605442177	Fitness standard deviation:	52.578558075570335	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	128	Best fitness:	154.67074829931974	Average fitness:	318.5667482993198	Fitness standard deviation:	48.77751832764846	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	E5	N12	A8	N9	A15	A14	A17	E4	A7	A13	A16	
Generation:	144	Best fitness:	146.6421768707483	Average fitness:	311.66731972789125	Fitness standard deviation:	48.77508318050627	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	160	Best fitness:	146.6421768707483	Average fitness:	319.22674829931975	Fitness standard deviation:	44.9814856098981	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	176	Best fitness:	146.6421768707483	Average fitness:	315.3181768707484	Fitness standard deviation:	54.23660052257053	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	192	Best fitness:	146.6421768707483	Average fitness:	314.0067482993197	Fitness standard deviation:	46.867423109212645	Best genome:	A9	N5	N3	A11	N6	N7	A10	E3	A6	A12	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	208	Best fitness:	135.6421768707483	Average fitness:	314.048462585034	Fitness standard deviation:	47.82425865177459	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	224	Best fitness:	135.6421768707483	Average fitness:	308.3570340136054	Fitness standard deviation:	48.997783370104344	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	240	Best fitness:	135.6421768707483	Average fitness:	317.9421768707482	Fitness standard deviation:	46.48032289395729	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	256	Best fitness:	135.6421768707483	Average fitness:	312.70160544217686	Fitness standard deviation:	50.55099759689037	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	272	Best fitness:	135.6421768707483	Average fitness:	310.9421768707483	Fitness standard deviation:	48.250189890712306	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	288	Best fitness:	135.6421768707483	Average fitness:	315.3667482993196	Fitness standard deviation:	51.011707582971695	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	304	Best fitness:	135.6421768707483	Average fitness:	305.65874829931965	Fitness standard deviation:	54.187049312016015	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	320	Best fitness:	135.6421768707483	Average fitness:	319.76274829931975	Fitness standard deviation:	47.40308516266399	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	336	Best fitness:	135.6421768707483	Average fitness:	316.46617687074826	Fitness standard deviation:	50.77213902871357	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	352	Best fitness:	135.6421768707483	Average fitness:	312.4313197278911	Fitness standard deviation:	45.562559240800205	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	368	Best fitness:	135.6421768707483	Average fitness:	322.7976054421768	Fitness standard deviation:	47.19915639508997	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	384	Best fitness:	135.6421768707483	Average fitness:	311.46103401360546	Fitness standard deviation:	57.81665139993876	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
