Generation:	16	Best fitness:	231.29931972789115	Average fitness:	326.8261768707483	Fitness standard deviation:	39.12539304255861	Best genome:	N9	A13	A16	A9	A10	A15	A11	A7	A14	E5	N12	N3	E4	N5	E3	A8	N7	A6	A12	N6	A17	
Generation:	32	Best fitness:	195.87074829931973	Average fitness:	318.4216054421768	Fitness standard deviation:	40.03139381912702	Best genome:	A13	A16	A9	A11	A15	A10	A14	E5	N12	N6	A7	N3	E4	N5	E3	A8	N7	A6	A12	A17	N9	
Generation:	48	Best fitness:	176.87074829931973	Average fitness:	318.7753197278911	Fitness standard deviation:	42.02323346115351	Best genome:	A13	A16	A9	A11	A10	E5	N12	A15	A14	N6	A7	N3	E4	N5	E3	A8	N7	A6	A12	A17	N9	
Generation:	64	Best fitness:	176.87074829931973	Average fitness:	314.89017687074823	Fitness standard deviation:	50.43921067533691	Best genome:	A13	A16	A9	A11	A10	E5	N12	A15	A14	N6	A7	N3	E4	N5	E3	A8	N7	A6	A12	A17	N9	
Generation:	80	Best fitness:	176.8421768707483	Average fitness:	327.4507482993197	Fitness standard deviation:	41.56639547342373	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	A7	N3	N5	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	96	Best fitness:	176.8421768707483	Average fitness:	323.6496054421769	Fitness standard deviation:	39.840053196423796	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	A7	N3	N5	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	112	Best fitness:	176.8421768707483	Average fitness:	326.8027482993198	Fitness standard deviation:	48.46604496733266	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	A7	N3	N5	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	128	Best fitness:	176.8421768707483	Average fitness:	318.7844625850339	Fitness standard deviation:	42.83099144597167	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	A7	N3	N5	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	144	Best fitness:	171.8421768707483	Average fitness:	326.8427482993199	Fitness standard deviation:	40.55261273547575	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	160	Best fitness:	171.8421768707483	Average fitness:	322.2398911564626	Fitness standard deviation:	42.2706377910874	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	176	Best fitness:	171.8421768707483	Average fitness:	322.2307482993197	Fitness standard deviation:	48.06499545152483	Best genome:	A16	A9	E4	A11	A10	E5	N12	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
