Generation:	16	Best fitness:	240.87074829931973	Average fitness:	324.2050340136053	Fitness standard deviation:	35.372130272292054	Best genome:	N3	N12	A15	A7	A16	A8	A13	A9	A11	E5	N6	N5	A14	A10	E4	E3	A6	N7	A12	A17	N9	
Generation:	32	Best fitness:	220.4421768707483	Average fitness:	329.824462585034	Fitness standard deviation:	41.306575803029574	Best genome:	A9	E4	N5	A15	A17	N9	A13	E3	A10	A11	A6	A14	N6	A12	E5	N12	N7	N3	A7	A8	A16	
Generation:	48	Best fitness:	216.4421768707483	Average fitness:	333.5907482993197	Fitness standard deviation:	41.19419495461931	Best genome:	A9	E4	N5	A15	A17	N9	A13	A11	A10	E3	A6	A14	N6	A12	E5	N12	N7	N3	A7	A8	A16	
Generation:	64	Best fitness:	216.4421768707483	Average fitness:	334.332462585034	Fitness standard deviation:	32.19398212747981	Best genome:	A9	E4	N5	A15	A17	N9	A13	A11	A10	E3	A6	A14	N6	A12	E5	N12	N7	N3	A7	A8	A16	
Generation:	80	Best fitness:	213.78503401360544	Average fitness:	324.6656054421769	Fitness standard deviation:	34.989173224567274	Best genome:	A13	N5	A7	E4	A11	A10	E3	A6	A14	A12	N6	E5	N12	N7	A15	A17	N3	N9	A9	A8	A16	
Generation:	96	Best fitness:	213.78503401360544	Average fitness:	330.00960544217685	Fitness standard deviation:	41.92143634009129	Best genome:	A13	N5	A7	E4	A11	A10	E3	A6	A14	A12	N6	E5	N12	N7	A15	A17	N3	N9	A9	A8	A16	
Generation:	112	Best fitness:	192.49931972789116	Average fitness:	325.80503401360545	Fitness standard deviation:	42.774868933111854	Best genome:	A9	E5	N12	A15	A17	A14	A13	N9	A16	A11	A6	N5	N3	E4	A7	N7	A12	A10	E3	N6	A8	
Generation:	128	Best fitness:	192.49931972789116	Average fitness:	329.992462585034	Fitness standard deviation:	39.99463344000042	Best genome:	A9	E5	N12	A15	A17	A14	A13	N9	A16	A11	A6	N5	N3	E4	A7	N7	A12	A10	E3	N6	A8	
Generation:	144	Best fitness:	192.49931972789116	Average fitness:	331.14160544217685	Fitness standard deviation:	37.000816423425036	Best genome:	A9	E5	N12	A15	A17	A14	A13	N9	A16	A11	A6	N5	N3	E4	A7	N7	A12	A10	E3	N6	A8	
Generation:	160	Best fitness:	192.49931972789116	Average fitness:	330.97131972789117	Fitness standard deviation:	41.625865287077936	Best genome:	A9	E5	N12	A15	A17	A14	A13	N9	A16	A11	A6	N5	N3	E4	A7	N7	A12	A10	E3	N6	A8	
Generation:	176	Best fitness:	176.49931972789116	Average fitness:	316.35303401360545	Fitness standard deviation:	42.19532294035461	Best genome:	A9	E5	N12	A15	A17	A14	A13	N9	A16	A11	A6	N5	N3	E4	A7	A12	N7	A10	E3	N6	A8	
