Generation:	16	Best fitness:	226.29931972789115	Average fitness:	325.98503401360546	Fitness standard deviation:	33.8860110803673	Best genome:	N9	A12	N3	N5	A11	N12	A6	A14	N6	E5	N7	A10	A8	A9	E4	A17	A7	A13	A16	E3	A15	
Generation:	32	Best fitness:	191.29931972789115	Average fitness:	317.0438911564626	Fitness standard deviation:	46.03725391551535	Best genome:	N9	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	N12	A6	A13	A16	E5	E3	A15	
Generation:	48	Best fitness:	186.87074829931973	Average fitness:	323.2044625850339	Fitness standard deviation:	42.59796505247927	Best genome:	A13	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	N9	
Generation:	64	Best fitness:	186.87074829931973	Average fitness:	330.3416054421769	Fitness standard deviation:	40.35165312447002	Best genome:	A13	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	N9	
Generation:	80	Best fitness:	186.87074829931973	Average fitness:	325.13817687074845	Fitness standard deviation:	43.099187268249885	Best genome:	A13	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	N9	
Generation:	96	Best fitness:	180.87074829931973	Average fitness:	322.27703401360543	Fitness standard deviation:	37.04831320735404	Best genome:	A15	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A13	N9	
Generation:	112	Best fitness:	180.87074829931973	Average fitness:	321.1273197278912	Fitness standard deviation:	38.45207034685108	Best genome:	A15	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A13	N9	
Generation:	128	Best fitness:	180.87074829931973	Average fitness:	324.3198911564625	Fitness standard deviation:	44.254040300731596	Best genome:	A15	A12	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A13	N9	
Generation:	144	Best fitness:	163.32789115646258	Average fitness:	333.32217687074836	Fitness standard deviation:	45.77241839486183	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	160	Best fitness:	163.32789115646258	Average fitness:	320.1867482993197	Fitness standard deviation:	48.38755158180286	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	176	Best fitness:	163.32789115646258	Average fitness:	334.8158911564626	Fitness standard deviation:	46.6087103499957	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	192	Best fitness:	163.32789115646258	Average fitness:	332.48731972789125	Fitness standard deviation:	46.558019836565656	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	208	Best fitness:	163.32789115646258	Average fitness:	332.461605442177	Fitness standard deviation:	47.067761986831066	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	224	Best fitness:	163.32789115646258	Average fitness:	321.48731972789125	Fitness standard deviation:	44.19340133216861	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	240	Best fitness:	163.32789115646258	Average fitness:	332.8741768707483	Fitness standard deviation:	52.15584014963507	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	256	Best fitness:	163.32789115646258	Average fitness:	325.24731972789124	Fitness standard deviation:	43.00228363750949	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	272	Best fitness:	163.32789115646258	Average fitness:	319.4907482993197	Fitness standard deviation:	44.20925574896676	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	288	Best fitness:	163.32789115646258	Average fitness:	315.9216054421769	Fitness standard deviation:	39.166806975461526	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	304	Best fitness:	163.32789115646258	Average fitness:	331.3558911564627	Fitness standard deviation:	52.16910196345601	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	320	Best fitness:	163.32789115646258	Average fitness:	328.4456054421768	Fitness standard deviation:	42.58268217125313	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	336	Best fitness:	163.32789115646258	Average fitness:	323.1461768707483	Fitness standard deviation:	47.69264993129851	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	352	Best fitness:	163.32789115646258	Average fitness:	316.22903401360554	Fitness standard deviation:	46.193205334789674	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	368	Best fitness:	163.32789115646258	Average fitness:	327.75303401360526	Fitness standard deviation:	43.816432530198874	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	384	Best fitness:	163.32789115646258	Average fitness:	324.78560544217703	Fitness standard deviation:	40.8964735728385	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	400	Best fitness:	163.32789115646258	Average fitness:	324.85817687074837	Fitness standard deviation:	48.8215687229674	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	416	Best fitness:	163.32789115646258	Average fitness:	320.6730340136055	Fitness standard deviation:	46.91942545014196	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	432	Best fitness:	163.32789115646258	Average fitness:	318.3050340136055	Fitness standard deviation:	42.28296863673001	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	448	Best fitness:	163.32789115646258	Average fitness:	334.9307482993199	Fitness standard deviation:	48.072389716564174	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A16	E5	N12	A6	E3	A15	A12	
Generation:	464	Best fitness:	158.32789115646258	Average fitness:	322.59703401360554	Fitness standard deviation:	38.42577710074213	Best genome:	A13	N9	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	E4	A6	A16	E5	N12	E3	A15	A12	
Generation:	480	Best fitness:	145.87074829931973	Average fitness:	319.59189115646245	Fitness standard deviation:	43.32133096114313	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	496	Best fitness:	145.87074829931973	Average fitness:	319.52960544217694	Fitness standard deviation:	50.99763913223067	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	512	Best fitness:	145.87074829931973	Average fitness:	309.3353197278911	Fitness standard deviation:	38.40777039153639	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	528	Best fitness:	145.87074829931973	Average fitness:	316.97874829931965	Fitness standard deviation:	49.88989715404128	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	544	Best fitness:	145.87074829931973	Average fitness:	321.6856054421769	Fitness standard deviation:	38.93967966913305	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	560	Best fitness:	145.87074829931973	Average fitness:	308.840462585034	Fitness standard deviation:	47.83946979775813	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	576	Best fitness:	145.87074829931973	Average fitness:	321.37646258503406	Fitness standard deviation:	48.96521855941653	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	592	Best fitness:	145.87074829931973	Average fitness:	322.94731972789117	Fitness standard deviation:	46.36987109082354	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	608	Best fitness:	145.87074829931973	Average fitness:	318.86331972789117	Fitness standard deviation:	46.938674297601615	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	624	Best fitness:	145.87074829931973	Average fitness:	327.65303401360535	Fitness standard deviation:	46.424613770661594	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	640	Best fitness:	145.87074829931973	Average fitness:	324.1438911564626	Fitness standard deviation:	45.17239509583124	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	656	Best fitness:	145.87074829931973	Average fitness:	319.1278911564625	Fitness standard deviation:	47.11383106425352	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	672	Best fitness:	145.87074829931973	Average fitness:	315.5176054421769	Fitness standard deviation:	46.74355003328572	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	688	Best fitness:	145.87074829931973	Average fitness:	317.9261768707483	Fitness standard deviation:	47.60819459903507	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	704	Best fitness:	145.87074829931973	Average fitness:	316.22160544217695	Fitness standard deviation:	49.23179826585452	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A6	A16	E5	N12	E3	A15	A12	N9	
Generation:	720	Best fitness:	130.87074829931973	Average fitness:	329.4467482993198	Fitness standard deviation:	55.518278324184664	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	736	Best fitness:	130.87074829931973	Average fitness:	326.84903401360543	Fitness standard deviation:	46.28327808756217	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
