Generation:	16	Best fitness:	238.29931972789115	Average fitness:	339.3850340136055	Fitness standard deviation:	30.412244580237143	Best genome:	N9	N3	N5	E3	A15	A12	A14	N7	N6	A9	A16	E5	N12	A13	A11	A6	E4	A7	A17	A10	A8	
Generation:	32	Best fitness:	172.8421768707483	Average fitness:	330.05017687074826	Fitness standard deviation:	47.475038524879324	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	48	Best fitness:	172.8421768707483	Average fitness:	320.0878911564627	Fitness standard deviation:	43.65696073260441	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	64	Best fitness:	172.8421768707483	Average fitness:	326.21417687074836	Fitness standard deviation:	38.36506212050496	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	80	Best fitness:	172.8421768707483	Average fitness:	327.460462585034	Fitness standard deviation:	44.74363099494994	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	96	Best fitness:	172.8421768707483	Average fitness:	330.052462585034	Fitness standard deviation:	38.713889617372764	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	112	Best fitness:	172.8421768707483	Average fitness:	326.5421768707483	Fitness standard deviation:	41.87450571136845	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	128	Best fitness:	172.8421768707483	Average fitness:	335.32674829931966	Fitness standard deviation:	42.52146289648491	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	144	Best fitness:	172.8421768707483	Average fitness:	325.2313197278912	Fitness standard deviation:	42.53575644090511	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	160	Best fitness:	172.8421768707483	Average fitness:	330.20789115646267	Fitness standard deviation:	43.9572148195706	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	176	Best fitness:	172.8421768707483	Average fitness:	333.20160544217697	Fitness standard deviation:	47.323633338180315	Best genome:	A9	N3	N5	E3	A15	A12	A14	N7	N6	A16	E5	N12	A11	A6	E4	A7	A17	A10	A8	N9	A13	
Generation:	192	Best fitness:	170.8421768707483	Average fitness:	323.9541768707483	Fitness standard deviation:	48.40868832120524	Best genome:	A9	N3	N5	E4	A11	E5	A16	N6	N12	E3	A6	A12	A7	N7	A14	A15	A17	A10	A8	N9	A13	
Generation:	208	Best fitness:	170.8421768707483	Average fitness:	330.00103401360536	Fitness standard deviation:	45.37613043647239	Best genome:	A9	N3	N5	E4	A11	E5	A16	N6	N12	E3	A6	A12	A7	N7	A14	A15	A17	A10	A8	N9	A13	
