Generation:	16	Best fitness:	239.81360544217688	Average fitness:	335.61874829931963	Fitness standard deviation:	35.95893516845263	Best genome:	A17	A9	N5	A10	A12	A14	A6	N12	A7	A11	E3	E4	N3	A16	E5	N6	N7	A15	N9	A13	A8	
Generation:	32	Best fitness:	214.81360544217688	Average fitness:	327.1427482993198	Fitness standard deviation:	41.72967827162176	Best genome:	A9	A13	A16	E5	N6	A11	N7	A6	A10	A14	A12	E4	N3	N5	E3	A7	A17	A15	N9	N12	A8	
Generation:	48	Best fitness:	197.81360544217688	Average fitness:	318.8496054421769	Fitness standard deviation:	39.31783655476149	Best genome:	A13	A16	E5	N6	A11	N7	A6	A14	A10	N12	A12	A7	E3	N3	N5	E4	A15	A17	N9	A8	A9	
Generation:	64	Best fitness:	138.6421768707483	Average fitness:	328.204462585034	Fitness standard deviation:	56.38023895816328	Best genome:	A13	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	
Generation:	80	Best fitness:	138.6421768707483	Average fitness:	316.7130340136054	Fitness standard deviation:	51.58314492632061	Best genome:	A13	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	
Generation:	96	Best fitness:	138.6421768707483	Average fitness:	317.90103401360545	Fitness standard deviation:	46.72459839335602	Best genome:	A13	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	
Generation:	112	Best fitness:	138.61360544217686	Average fitness:	321.79303401360534	Fitness standard deviation:	48.76363919385602	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	128	Best fitness:	138.61360544217686	Average fitness:	331.0107482993197	Fitness standard deviation:	49.95510090193442	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	144	Best fitness:	138.61360544217686	Average fitness:	328.79074829931983	Fitness standard deviation:	44.44019324339403	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	160	Best fitness:	138.61360544217686	Average fitness:	326.61360544217683	Fitness standard deviation:	47.92556405297613	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	176	Best fitness:	138.61360544217686	Average fitness:	314.8781768707484	Fitness standard deviation:	45.02773415102641	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
