Generation:	16	Best fitness:	239.52789115646257	Average fitness:	347.40574829931995	Fitness standard deviation:	35.89886860106783	Best genome:	N3	A14	A15	N7	E3	N6	A8	A13	N9	A9	A11	N12	N5	A10	E5	A16	A12	A6	A17	E4	A7	
Generation:	32	Best fitness:	173.32789115646258	Average fitness:	344.07089115646284	Fitness standard deviation:	37.12395249645684	Best genome:	A13	N9	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	E3	A10	A9	N3	A7	N7	A11	N12	A8	
Generation:	48	Best fitness:	173.32789115646258	Average fitness:	342.10731972789125	Fitness standard deviation:	40.212890831936285	Best genome:	A13	N9	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	E3	A10	A9	N3	A7	N7	A11	N12	A8	
Generation:	64	Best fitness:	173.32789115646258	Average fitness:	342.3243197278914	Fitness standard deviation:	37.75152479012724	Best genome:	A13	N9	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	E3	A10	A9	N3	A7	N7	A11	N12	A8	
Generation:	80	Best fitness:	173.32789115646258	Average fitness:	343.19831972789126	Fitness standard deviation:	34.846258942177805	Best genome:	A13	N9	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	E3	A10	A9	N3	A7	N7	A11	N12	A8	
Generation:	96	Best fitness:	165.87074829931973	Average fitness:	346.06389115646283	Fitness standard deviation:	35.51675525720219	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	112	Best fitness:	165.87074829931973	Average fitness:	341.66146258503426	Fitness standard deviation:	34.72114428866488	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	128	Best fitness:	165.87074829931973	Average fitness:	340.8681768707486	Fitness standard deviation:	36.62097594415039	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	144	Best fitness:	165.87074829931973	Average fitness:	343.876462585034	Fitness standard deviation:	33.22625283643975	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	160	Best fitness:	165.87074829931973	Average fitness:	339.76189115646275	Fitness standard deviation:	38.630205839260995	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	176	Best fitness:	165.87074829931973	Average fitness:	342.46517687074845	Fitness standard deviation:	36.72443814021238	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	192	Best fitness:	165.87074829931973	Average fitness:	339.8848911564626	Fitness standard deviation:	34.801304338387396	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	208	Best fitness:	165.87074829931973	Average fitness:	339.89603401360574	Fitness standard deviation:	35.048171651925834	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	224	Best fitness:	165.87074829931973	Average fitness:	341.8998911564628	Fitness standard deviation:	38.00019806178245	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	240	Best fitness:	165.87074829931973	Average fitness:	336.60374829932	Fitness standard deviation:	37.7891369335643	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	256	Best fitness:	165.87074829931973	Average fitness:	344.66631972789133	Fitness standard deviation:	33.61713194160965	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	272	Best fitness:	165.87074829931973	Average fitness:	340.29117687074836	Fitness standard deviation:	38.39617204320542	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	288	Best fitness:	165.87074829931973	Average fitness:	343.02203401360583	Fitness standard deviation:	37.13429140763209	Best genome:	N6	N5	E4	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	304	Best fitness:	156.87074829931973	Average fitness:	339.43303401360566	Fitness standard deviation:	37.15795657482159	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	320	Best fitness:	156.87074829931973	Average fitness:	341.27774829931974	Fitness standard deviation:	39.73079970095682	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	336	Best fitness:	156.87074829931973	Average fitness:	340.6116054421771	Fitness standard deviation:	34.46964479547956	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	352	Best fitness:	156.87074829931973	Average fitness:	339.4884625850344	Fitness standard deviation:	37.16914691141632	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	368	Best fitness:	156.87074829931973	Average fitness:	343.2846054421768	Fitness standard deviation:	37.287396784972806	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	384	Best fitness:	156.87074829931973	Average fitness:	342.48074829932006	Fitness standard deviation:	36.64360497705276	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	400	Best fitness:	156.87074829931973	Average fitness:	340.8296054421769	Fitness standard deviation:	36.799736427627536	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	416	Best fitness:	156.87074829931973	Average fitness:	340.252605442177	Fitness standard deviation:	37.714467767688305	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	432	Best fitness:	156.87074829931973	Average fitness:	340.9884625850342	Fitness standard deviation:	36.62521263405573	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
