Generation:	16	Best fitness:	238.32789115646258	Average fitness:	343.32931972789135	Fitness standard deviation:	31.94999316534053	Best genome:	A12	N9	A16	A9	N3	A8	A13	A15	A14	E4	A7	N7	A11	E5	N12	N5	A6	N6	A10	E3	A17	
Generation:	32	Best fitness:	208.87074829931973	Average fitness:	339.13974829931993	Fitness standard deviation:	34.42360880386647	Best genome:	A9	E4	N5	N3	A14	A17	A7	A12	A6	A10	N6	A13	A16	E5	E3	N12	A11	A8	A15	N7	N9	
Generation:	48	Best fitness:	196.87074829931973	Average fitness:	343.50074829932	Fitness standard deviation:	35.83344791944976	Best genome:	A9	E4	N5	N3	A14	A17	A7	A12	A6	A10	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	64	Best fitness:	196.87074829931973	Average fitness:	341.88560544217705	Fitness standard deviation:	37.46536315596264	Best genome:	A9	E4	N5	N3	A14	A17	A7	A12	A6	A10	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	80	Best fitness:	196.87074829931973	Average fitness:	344.1174625850342	Fitness standard deviation:	32.774417746038395	Best genome:	A9	E4	N5	N3	A14	A17	A7	A12	A6	A10	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	96	Best fitness:	171.87074829931973	Average fitness:	345.77531972789126	Fitness standard deviation:	35.65587605808316	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	112	Best fitness:	171.87074829931973	Average fitness:	343.47189115646256	Fitness standard deviation:	35.523809186263236	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	128	Best fitness:	171.87074829931973	Average fitness:	343.4716054421771	Fitness standard deviation:	39.619038807118976	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	144	Best fitness:	171.87074829931973	Average fitness:	341.71489115646295	Fitness standard deviation:	33.60745942434781	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	160	Best fitness:	171.87074829931973	Average fitness:	340.9431768707486	Fitness standard deviation:	37.927153255972705	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	176	Best fitness:	171.87074829931973	Average fitness:	347.0720340136057	Fitness standard deviation:	33.08623689415778	Best genome:	A9	E4	N5	N3	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	192	Best fitness:	166.87074829931973	Average fitness:	337.33274829932003	Fitness standard deviation:	39.94753182434607	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	208	Best fitness:	166.87074829931973	Average fitness:	341.06831972789126	Fitness standard deviation:	39.29673297709964	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
