"id","length","mandatory","start","slutt","fart","enveiskjørt","sperret"
200425255,34.4980057495476,f,9455,8522,40,,f
245435321,7.02699082258416,f,8993,8282,50,,f
146194457,28.8861766096538,f,324,10420,50,-1,f
146194646,2.65067915498267,f,8487,8485,50,1,f
146151174,46.9668274355461,f,3833,20683,30,,f
146135169,45.1319249308347,t,6877,6871,40,,f
245435412,30.2670782180046,f,527,8446,40,-1,f
445524739,157.389572046976,f,9654,10425,50,1,f
522201206,5.98732576100187,f,10024,5035,50,1,f
587955082,11.3296407645229,f,8158,11426,40,,f
146190770,10.8154155925584,f,6360,6687,40,,f
480919591,2.54434667611107,f,8282,21612,50,,f
255035016,36.5171842355602,f,139,153,50,-1,f
445524723,14.0171608933775,f,326,327,50,,f
146136355,212.758403317029,f,7539,12277,30,,f
587955086,7.52407468443932,f,3843,9657,40,,f
146134938,22.9002958529683,f,9580,11672,40,,f
146138003,46.9032080865253,f,3247,11768,40,-1,f
146135111,82.9182472934896,f,10309,3550,40,1,f
146132874,103.939250091589,f,2808,6906,40,,f
146133567,4.42943252840405,t,11004,9660,40,,f
146193295,7.59901308449805,f,9649,3804,50,,f
146133717,31.7116970757825,t,7015,6492,40,1,f
146136060,60.434571603966,t,291,20057,40,,f
146137229,47.2131662990679,f,9827,12523,30,-1,f
146136311,63.1133895740259,t,4653,6893,40,,f
146133810,71.2389090745425,t,8517,9422,40,,f
276818324,3.95236638151264,f,186,12418,30,,f
146132893,5.10392156142729,t,6870,12944,40,-1,f
146181192,35.201758890153,f,10447,12348,40,,f
523405427,6.10175383603707,f,6680,20487,50,,f
255034991,4.26523152765064,f,139,20030,50,,f
146135189,36.5763095963424,t,7196,6885,40,-1,f
146151096,15.8832348419203,f,7765,10113,30,,f
146181193,53.3397973013782,f,12348,431,50,,f
245609102,8.40948273037246,f,7404,21228,40,,t
146132890,100.705599078282,t,6898,6879,40,-1,f
146134941,55.1549083284706,f,9450,9451,40,1,f
146181185,5.78312953188618,f,3112,11667,50,,f
146181577,21.6983369197533,f,11790,6685,50,1,f
522201211,6.49175863907329,f,4094,3802,50,1,f
245609105,158.56006532242,f,9460,7791,30,,f
146135459,9.59909285599501,f,4486,8427,40,,f
245626970,39.7035262964674,f,3246,8518,40,,f
146133498,57.8725321794904,f,8516,11716,40,,f
146138048,105.695300430403,f,11674,11702,40,1,f
146151148,52.2800633035408,f,6004,21114,30,,f
564309443,20.7505354906034,f,4114,672,50,-1,f
146134228,56.7632511832989,f,3829,11006,30,,f
200425241,2.22533694914664,f,8521,9446,40,-1,f
146136312,108.706899029344,t,6893,6876,40,,f
146181227,59.8833206719188,f,10445,430,50,,f
245435411,121.072726752917,f,10501,527,40,-1,f
146135178,73.0283184903081,t,6881,6360,40,1,f
202478944,12.0276888848751,f,6903,297,40,,f
480919620,88.0354920616838,f,8238,8204,40,,f
146181191,21.6053636147511,f,10027,10447,40,,f
255034981,67.6684401771192,f,8943,5487,50,,f
202478949,35.3252145460026,f,7030,8018,50,1,f
481687766,67.0065021657687,f,2809,22109,40,,f
480919588,15.1791359090187,f,6677,8275,50,,f
255034994,23.0347635377858,f,162,116,50,,f
146139249,107.976896637897,f,525,11020,40,,f
146135322,40.6432304263738,t,6888,6869,40,,f
146137959,68.7786919539954,t,6897,3112,40,,f
146195469,53.8420225611679,f,4567,140,50,,f
146135187,45.3072502545455,t,6890,6880,40,,f
255034988,20.4022716500944,f,9348,8281,50,,f
146136058,79.8854087158985,t,6894,11671,40,,f
146190774,27.3540639818825,f,12341,9028,50,,f
200425264,2.02247373042785,f,7868,9455,40,,f
245435376,30.2768323995322,f,8126,9656,40,1,f
245609097,4.24057779044494,f,9741,4565,40,,f
202478942,20.774677387153,f,6911,9585,40,,f
200425247,39.2562479257519,f,1333,7562,30,,f
523405423,6.38392512695937,f,5035,20918,50,1,f
146149315,65.4305803789116,f,8528,8266,30,,f
146181201,27.1929235041491,f,171,20037,30,,f
245609099,10.7960826050433,f,6418,6883,40,,f
146136770,26.1986992574166,f,6895,6896,40,,f
146183948,4.17882758261842,f,3834,1074,40,,f
146194005,55.0450648124684,f,11171,1074,40,1,f
146195270,19.6406477403589,f,3840,7582,40,1,f
146139271,19.207037329734,f,2817,21846,40,,f
146139206,70.3981527600207,f,8528,11625,30,,f
523405430,6.83772622891631,f,4939,11920,50,,f
146181186,57.1049361738402,f,11667,7773,40,,f
146136056,33.4389003145401,t,10250,9584,40,,f
255035028,2.95787085746812,f,9348,22307,50,1,f
146133714,43.7926492891856,t,7377,7376,40,1,f
255035025,31.5256479820316,f,8263,21670,50,-1,f
146181199,42.5952780206068,f,9334,174,40,,f
146194473,4.87819574087823,f,312,9456,50,-1,f
523405422,38.9276429817689,f,116,20918,50,1,f
255035021,46.7301513272888,f,5487,5068,50,-1,f
200425256,2.18020640981126,f,5405,20056,40,,f
146181579,6.12034250872788,f,6684,11920,50,1,f
255035023,46.984461758496,f,5487,20462,50,1,f
200425244,6.33043441862966,t,3101,22152,40,,f
146133119,39.1491147023225,f,2823,8517,40,,f
146183947,101.281094090777,f,3834,11014,40,,f
564309436,22.6378062244512,f,750,10677,50,1,f
146134153,133.649088517506,f,9660,9472,40,,f
146137860,113.659744454898,f,6976,9652,30,,f
146132779,83.0826526973053,f,9727,8179,40,1,f
146193297,25.4154369159313,f,430,11561,50,1,f
146135171,23.5381227092625,t,6411,5986,40,,f
146135199,70.4234149299055,t,12050,22276,40,,f
200425250,75.1275540406377,f,6901,8522,40,,f
146151082,15.748249634574,f,1052,20682,30,,f
146133812,20.7433616996387,t,10027,1531,40,,f
146190746,22.0416704082042,f,270,7030,50,,f
146193279,7.78021874304459,f,431,20086,50,1,f
146149228,22.7601999167567,f,8524,2294,30,,f
255035015,36.3978410159719,f,139,153,50,1,f
146132889,61.6841284344455,f,11959,6898,40,-1,f
146136314,62.2086721556391,t,11702,6901,40,1,f
146136132,68.9671924772942,f,7524,12277,30,,f
200425246,3.1426899317574,f,1333,20206,30,,f
146135173,82.1708171944983,t,11211,9576,40,1,f
146135323,9.6379236748848,t,6869,2211,40,,f
245609092,39.9615405533926,f,4684,9658,40,,t
218464315,57.8757285355626,f,10420,20400,50,-1,f
200425251,68.6331228691495,f,8522,3112,40,,f
587955084,3.76085096824552,f,8230,10687,40,,f
146132701,13.9589761283329,f,6869,9081,40,,f
146136893,41.3905498472605,f,6899,21313,40,,f
146134528,84.0429381356439,f,3836,11005,40,,f
245609089,52.3154623914818,f,11672,12049,40,,f
146194470,26.4184745547196,f,430,10455,50,-1,f
146193966,7.98138849045861,f,11171,1054,40,,f
146193283,23.0690001424928,f,150,5485,50,1,f
146135181,63.9043168735259,t,10970,11258,40,,f
202478958,62.5474700632999,f,8446,5720,40,-1,f
245609107,47.8292421155061,f,6896,21992,40,,f
245435377,12.532972454132,f,3840,20684,40,1,f
587955093,83.9250105941812,f,3845,7980,40,1,f
245609106,7.35485552856436,f,7791,7539,30,,t
146193298,75.2613093170507,f,11561,311,50,1,f
146135180,28.8711366467429,t,8944,10970,40,,f
245609101,36.975862966396,f,6499,21228,40,,f
200425242,28.156239974036,t,1531,20059,40,,f
146151084,11.1943825038859,f,426,384,50,,f
146194469,11.6555064162026,f,3351,429,50,-1,f
146132892,56.0270151433124,t,9581,6870,40,-1,f
200425245,67.4344437829463,t,3101,3245,40,,f
146181217,80.8077240098822,f,113,154,50,,f
200425253,25.2005734073059,f,6900,9579,40,,f
146135172,60.1509278216176,t,5986,11211,40,,f
486443017,4.88451635447629,f,10430,12792,50,,f
146135192,81.5221202963598,t,12051,2801,40,1,f
200425243,2.03354370277817,t,2827,20059,40,,f
